Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1816,0.3524,0.2432,0.09128,0.09176,0.1292,0.04177,0.02451,0.02871,0.03580,0.01951,0.03725,0.06644,0.09353,0.09111,0.04790,0.05935,0.07531
0.1816, 1.000,0.07692,0.1440,0.1406,0.1816,0.5298,0.02419,0.02838,0.02161,0.02096,0.02096,0.05677,0.1517,0.1010,0.1459,0.03274,0.07128,0.06644
0.3524,0.07692, 1.000,0.1298,0.04773,0.04677,0.06289,0.08160,0.02242,0.04725,0.04096,0.02935,0.02209,0.05273,0.08660,0.05160,0.05080,0.03757,0.05402
0.2432,0.1440,0.1298, 1.000,0.2466,0.1555,0.1090,0.02919,0.02500,0.02564,0.02371,0.02967,0.05128,0.05999,0.08160,0.09692,0.1024,0.1051,0.2948
0.09128,0.1406,0.04773,0.2466, 1.000,0.3654,0.1382,0.02225,0.01919,0.03048,0.02048,0.02677,0.09031,0.06805,0.07434,0.05983,0.07080,0.1764,0.2246
0.09176,0.1816,0.04677,0.1555,0.3654, 1.000,0.2216,0.02629,0.02064,0.02822,0.02129,0.02645,0.1190,0.09966,0.07321,0.05773,0.04015,0.2030,0.1337
0.1292,0.5298,0.06289,0.1090,0.1382,0.2216, 1.000,0.02774,0.03016,0.01855,0.01806,0.02919,0.06563,0.2432,0.08821,0.08579,0.02790,0.07757,0.05612
0.04177,0.02419,0.08160,0.02919,0.02225,0.02629,0.02774, 1.000,0.02919,0.06483,0.07483,0.03145,0.03451,0.03064,0.04854,0.06628,0.03048,0.01726,0.02612
0.02451,0.02838,0.02242,0.02500,0.01919,0.02064,0.03016,0.02919, 1.000,0.02064,0.02048,0.03741,0.02193,0.03112,0.02113,0.02306,0.02677,0.02000,0.03064
0.02871,0.02161,0.04725,0.02564,0.03048,0.02822,0.01855,0.06483,0.02064, 1.000,0.02871,0.02096,0.02516,0.01774,0.02225,0.02048,0.01935,0.02806,0.02242
0.03580,0.02096,0.04096,0.02371,0.02048,0.02129,0.01806,0.07483,0.02048,0.02871, 1.000,0.04064,0.02451,0.01774,0.02403,0.02693,0.02871,0.01726,0.02113
0.01951,0.02096,0.02935,0.02967,0.02677,0.02645,0.02919,0.03145,0.03741,0.02096,0.04064, 1.000,0.02564,0.03532,0.01935,0.02258,0.08612,0.02580,0.02741
0.03725,0.05677,0.02209,0.05128,0.09031,0.1190,0.06563,0.03451,0.02193,0.02516,0.02451,0.02564, 1.000,0.06047,0.02790,0.02419,0.02177,0.3551,0.05983
0.06644,0.1517,0.05273,0.05999,0.06805,0.09966,0.2432,0.03064,0.03112,0.01774,0.01774,0.03532,0.06047, 1.000,0.07547,0.04306,0.02209,0.05999,0.03822
0.09353,0.1010,0.08660,0.08160,0.07434,0.07321,0.08821,0.04854,0.02113,0.02225,0.02403,0.01935,0.02790,0.07547, 1.000,0.06950,0.02919,0.03693,0.04515
0.09111,0.1459,0.05160,0.09692,0.05983,0.05773,0.08579,0.06628,0.02306,0.02048,0.02693,0.02258,0.02419,0.04306,0.06950, 1.000,0.05789,0.03161,0.07918
0.04790,0.03274,0.05080,0.1024,0.07080,0.04015,0.02790,0.03048,0.02677,0.01935,0.02871,0.08612,0.02177,0.02209,0.02919,0.05789, 1.000,0.03661,0.1401
0.05935,0.07128,0.03757,0.1051,0.1764,0.2030,0.07757,0.01726,0.02000,0.02806,0.01726,0.02580,0.3551,0.05999,0.03693,0.03161,0.03661, 1.000,0.1540
0.07531,0.06644,0.05402,0.2948,0.2246,0.1337,0.05612,0.02612,0.03064,0.02242,0.02113,0.02741,0.05983,0.03822,0.04515,0.07918,0.1401,0.1540, 1.000
