Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.09153,0.08927,0.06441,0.08588,0.009040,0.04746,0.05424,0.06667,0.05424,0.03390,0.02825,0.04294,0.07232,0.05537,0.1571,0.04859,0.06554,0.1051
0.09153, 1.000,0.09153,0.01582,0.02825,0.04972,0.05989,0.03616,0.07571,0.02938,0.02260,0.04407,0.05198,0.1390,0.1706,0.03503,0.02938,0.1480,0.03616
0.08927,0.09153, 1.000,0.03164,0.01695,0.01243,0.1153,0.1209,0.03503,0.08362,0.04746,0.03503,0.04746,0.02599,0.09153,0.05763,0.02825,0.05650,0.02712
0.06441,0.01582,0.03164, 1.000,0.1706,0.02825,0.04407,0.02260,0.08701,0.02373,0.04520,0.04407,0.04294,0.02260,0.03051,0.06102,0.08814,0.03051,0.09153
0.08588,0.02825,0.01695,0.1706, 1.000,0.005650,0.04633,0.02260,0.08023,0.03729,0.03390,0.02373,0.02486,0.02034,0.04181,0.05989,0.06780,0.02938,0.09944
0.009040,0.04972,0.01243,0.02825,0.005650, 1.000,0.001130,0.02486,0.02486,0.02486,0.03616,0.03503,0.03616,0.03955,0.03955,0.02486,0.04294,0.09040,0.02034
0.04746,0.05989,0.1153,0.04407,0.04633,0.001130, 1.000,0.01921,0.06102,0.04746,0.03164,0.07232,0.04746,0.07571,0.1006,0.02599,0.03390,0.05537,0.02486
0.05424,0.03616,0.1209,0.02260,0.02260,0.02486,0.01921, 1.000,0.02486,0.02938,0.05311,0.01356,0.07119,0.01469,0.03842,0.08362,0.05311,0.03503,0.05085
0.06667,0.07571,0.03503,0.08701,0.08023,0.02486,0.06102,0.02486, 1.000,0.03955,0.02825,0.06667,0.04181,0.04294,0.08701,0.02147,0.07345,0.04181,0.05876
0.05424,0.02938,0.08362,0.02373,0.03729,0.02486,0.04746,0.02938,0.03955, 1.000,0.06102,0.02712,0.04746,0.02712,0.01921,0.02260,0.01921,0.08475,0.03164
0.03390,0.02260,0.04746,0.04520,0.03390,0.03616,0.03164,0.05311,0.02825,0.06102, 1.000,0.006780,0.04407,0.02486,0.03164,0.09153,0.02486,0.04633,0.01808
0.02825,0.04407,0.03503,0.04407,0.02373,0.03503,0.07232,0.01356,0.06667,0.02712,0.006780, 1.000,0.04859,0.05198,0.05424,0.01582,0.04181,0.04520,0.02373
0.04294,0.05198,0.04746,0.04294,0.02486,0.03616,0.04746,0.07119,0.04181,0.04746,0.04407,0.04859, 1.000,0.05537,0.01921,0.03164,0.04068,0.1401,0.04520
0.07232,0.1390,0.02599,0.02260,0.02034,0.03955,0.07571,0.01469,0.04294,0.02712,0.02486,0.05198,0.05537, 1.000,0.1130,0.03503,0.03051,0.08701,0.04407
0.05537,0.1706,0.09153,0.03051,0.04181,0.03955,0.1006,0.03842,0.08701,0.01921,0.03164,0.05424,0.01921,0.1130, 1.000,0.03955,0.02373,0.08475,0.01356
0.1571,0.03503,0.05763,0.06102,0.05989,0.02486,0.02599,0.08362,0.02147,0.02260,0.09153,0.01582,0.03164,0.03503,0.03955, 1.000,0.03390,0.02825,0.08588
0.04859,0.02938,0.02825,0.08814,0.06780,0.04294,0.03390,0.05311,0.07345,0.01921,0.02486,0.04181,0.04068,0.03051,0.02373,0.03390, 1.000,0.02712,0.08249
0.06554,0.1480,0.05650,0.03051,0.02938,0.09040,0.05537,0.03503,0.04181,0.08475,0.04633,0.04520,0.1401,0.08701,0.08475,0.02825,0.02712, 1.000,0.04520
0.1051,0.03616,0.02712,0.09153,0.09944,0.02034,0.02486,0.05085,0.05876,0.03164,0.01808,0.02373,0.04520,0.04407,0.01356,0.08588,0.08249,0.04520, 1.000
