Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2397,0.04492,0.03990,0.06452,0.02652,0.04994,0.02461,0.02342,0.02461,0.02294,0.02652,0.02748,0.03202,0.04205,0.03967,0.03178,0.04038,0.03178
0.2397, 1.000,0.02557,0.02533,0.04946,0.03967,0.1240,0.02103,0.02342,0.01864,0.02318,0.03226,0.02676,0.03704,0.03369,0.04014,0.03059,0.04253,0.03106
0.04492,0.02557, 1.000,0.03321,0.02652,0.02079,0.02700,0.03035,0.02437,0.01959,0.02270,0.02294,0.02079,0.02342,0.03226,0.03489,0.02628,0.02581,0.02509
0.03990,0.02533,0.03321, 1.000,0.05329,0.02724,0.01912,0.02318,0.02270,0.02079,0.01840,0.03059,0.02366,0.02748,0.02796,0.02963,0.03465,0.02796,0.02987
0.06452,0.04946,0.02652,0.05329, 1.000,0.05520,0.01959,0.02294,0.02127,0.02079,0.02294,0.03369,0.03584,0.03250,0.02772,0.02318,0.03513,0.03417,0.02700
0.02652,0.03967,0.02079,0.02724,0.05520, 1.000,0.03130,0.02366,0.02007,0.02557,0.02557,0.02485,0.02796,0.03202,0.02294,0.02342,0.02772,0.02652,0.02820
0.04994,0.1240,0.02700,0.01912,0.01959,0.03130, 1.000,0.01912,0.02461,0.02366,0.02127,0.02127,0.02820,0.03895,0.03321,0.02843,0.02079,0.03082,0.02485
0.02461,0.02103,0.03035,0.02318,0.02294,0.02366,0.01912, 1.000,0.02151,0.02437,0.02485,0.02103,0.03417,0.02533,0.02748,0.02437,0.02843,0.02389,0.03154
0.02342,0.02342,0.02437,0.02270,0.02127,0.02007,0.02461,0.02151, 1.000,0.03417,0.02366,0.02389,0.01864,0.01983,0.02581,0.02198,0.02772,0.02605,0.03441
0.02461,0.01864,0.01959,0.02079,0.02079,0.02557,0.02366,0.02437,0.03417, 1.000,0.02724,0.02342,0.02294,0.01983,0.02270,0.02198,0.02748,0.01983,0.01935
0.02294,0.02318,0.02270,0.01840,0.02294,0.02557,0.02127,0.02485,0.02366,0.02724, 1.000,0.02652,0.01744,0.01625,0.02127,0.02342,0.02198,0.02437,0.01935
0.02652,0.03226,0.02294,0.03059,0.03369,0.02485,0.02127,0.02103,0.02389,0.02342,0.02652, 1.000,0.02485,0.02127,0.02151,0.01935,0.03560,0.02198,0.02557
0.02748,0.02676,0.02079,0.02366,0.03584,0.02796,0.02820,0.03417,0.01864,0.02294,0.01744,0.02485, 1.000,0.08363,0.02366,0.02198,0.02485,0.03297,0.02366
0.03202,0.03704,0.02342,0.02748,0.03250,0.03202,0.03895,0.02533,0.01983,0.01983,0.01625,0.02127,0.08363, 1.000,0.03178,0.02007,0.02007,0.02461,0.02222
0.04205,0.03369,0.03226,0.02796,0.02772,0.02294,0.03321,0.02748,0.02581,0.02270,0.02127,0.02151,0.02366,0.03178, 1.000,0.03656,0.02079,0.02652,0.02318
0.03967,0.04014,0.03489,0.02963,0.02318,0.02342,0.02843,0.02437,0.02198,0.02198,0.02342,0.01935,0.02198,0.02007,0.03656, 1.000,0.03226,0.02389,0.02772
0.03178,0.03059,0.02628,0.03465,0.03513,0.02772,0.02079,0.02843,0.02772,0.02748,0.02198,0.03560,0.02485,0.02007,0.02079,0.03226, 1.000,0.02533,0.03728
0.04038,0.04253,0.02581,0.02796,0.03417,0.02652,0.03082,0.02389,0.02605,0.01983,0.02437,0.02198,0.03297,0.02461,0.02652,0.02389,0.02533, 1.000,0.2595
0.03178,0.03106,0.02509,0.02987,0.02700,0.02820,0.02485,0.03154,0.03441,0.01935,0.01935,0.02557,0.02366,0.02222,0.02318,0.02772,0.03728,0.2595, 1.000
