Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.6132,0.3675,0.3278,0.1687,0.1518,0.2712,0.02208,0.02622,0.03175,0.03451,0.02553,0.08454,0.1353,0.2063,0.2457,0.06867,0.1522,0.1749
0.6132, 1.000,0.2595,0.3547,0.2267,0.2409,0.4655,0.02657,0.02415,0.03934,0.04417,0.02692,0.1266,0.1829,0.2215,0.2136,0.06246,0.2139,0.2074
0.3675,0.2595, 1.000,0.2150,0.09455,0.07695,0.1360,0.02622,0.02692,0.02346,0.02553,0.02346,0.04486,0.09144,0.2260,0.3182,0.06970,0.08696,0.1014
0.3278,0.3547,0.2150, 1.000,0.3320,0.2757,0.2063,0.02105,0.03002,0.04520,0.03865,0.02139,0.1063,0.09489,0.1259,0.2909,0.1259,0.2657,0.3347
0.1687,0.2267,0.09455,0.3320, 1.000,0.5024,0.1791,0.03727,0.03244,0.08178,0.09317,0.02312,0.1843,0.07453,0.08040,0.1329,0.1159,0.4876,0.5248
0.1518,0.2409,0.07695,0.2757,0.5024, 1.000,0.2547,0.04417,0.02381,0.06522,0.09800,0.02553,0.2498,0.1059,0.08765,0.1108,0.08178,0.4865,0.3768
0.2712,0.4655,0.1360,0.2063,0.1791,0.2547, 1.000,0.03244,0.02070,0.03037,0.04969,0.03589,0.1843,0.2750,0.1812,0.1132,0.04313,0.2012,0.1536
0.02208,0.02657,0.02622,0.02105,0.03727,0.04417,0.03244, 1.000,0.02036,0.05487,0.1163,0.02692,0.07108,0.02933,0.02899,0.02346,0.02450,0.04313,0.03451
0.02622,0.02415,0.02692,0.03002,0.03244,0.02381,0.02070,0.02036, 1.000,0.07591,0.03002,0.1094,0.02277,0.03106,0.03175,0.03382,0.06280,0.02174,0.02899
0.03175,0.03934,0.02346,0.04520,0.08178,0.06522,0.03037,0.05487,0.07591, 1.000,0.1639,0.03416,0.05832,0.02312,0.02726,0.03002,0.06625,0.07902,0.07833
0.03451,0.04417,0.02553,0.03865,0.09317,0.09800,0.04969,0.1163,0.03002,0.1639, 1.000,0.03002,0.1373,0.03520,0.02622,0.02899,0.03347,0.09731,0.07074
0.02553,0.02692,0.02346,0.02139,0.02312,0.02553,0.03589,0.02692,0.1094,0.03416,0.03002, 1.000,0.03796,0.05763,0.03347,0.02657,0.04486,0.02519,0.02381
0.08454,0.1266,0.04486,0.1063,0.1843,0.2498,0.1843,0.07108,0.02277,0.05832,0.1373,0.03796, 1.000,0.1097,0.05556,0.05072,0.03692,0.2595,0.1556
0.1353,0.1829,0.09144,0.09489,0.07453,0.1059,0.2750,0.02933,0.03106,0.02312,0.03520,0.05763,0.1097, 1.000,0.2164,0.05866,0.02381,0.07695,0.06453
0.2063,0.2215,0.2260,0.1259,0.08040,0.08765,0.1812,0.02899,0.03175,0.02726,0.02622,0.03347,0.05556,0.2164, 1.000,0.1394,0.03278,0.07005,0.06970
0.2457,0.2136,0.3182,0.2909,0.1329,0.1108,0.1132,0.02346,0.03382,0.03002,0.02899,0.02657,0.05072,0.05866,0.1394, 1.000,0.1480,0.1042,0.1473
0.06867,0.06246,0.06970,0.1259,0.1159,0.08178,0.04313,0.02450,0.06280,0.06625,0.03347,0.04486,0.03692,0.02381,0.03278,0.1480, 1.000,0.09041,0.1467
0.1522,0.2139,0.08696,0.2657,0.4876,0.4865,0.2012,0.04313,0.02174,0.07902,0.09731,0.02519,0.2595,0.07695,0.07005,0.1042,0.09041, 1.000,0.5204
0.1749,0.2074,0.1014,0.3347,0.5248,0.3768,0.1536,0.03451,0.02899,0.07833,0.07074,0.02381,0.1556,0.06453,0.06970,0.1473,0.1467,0.5204, 1.000
