Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.4828,0.2045,0.1913,0.08728,0.08180,0.1233,0.02480,0.02770,0.02287,0.02222,0.02576,0.06216,0.08535,0.1230,0.1259,0.06538,0.1024,0.1211
0.4828, 1.000,0.1395,0.2209,0.1420,0.1498,0.2760,0.03188,0.02254,0.02480,0.02351,0.02770,0.1079,0.1391,0.1295,0.1163,0.05636,0.1881,0.1884
0.2045,0.1395, 1.000,0.1156,0.03929,0.03736,0.05185,0.02673,0.02029,0.02222,0.02383,0.02254,0.03027,0.04477,0.1424,0.2010,0.06634,0.03736,0.05636
0.1913,0.2209,0.1156, 1.000,0.1749,0.1459,0.09308,0.02609,0.02931,0.03639,0.02705,0.02158,0.07182,0.05604,0.06731,0.1478,0.1134,0.1556,0.2216
0.08728,0.1420,0.03929,0.1749, 1.000,0.2779,0.09726,0.04444,0.02576,0.07568,0.06280,0.02222,0.1192,0.05797,0.04863,0.06860,0.07085,0.3021,0.3198
0.08180,0.1498,0.03736,0.1459,0.2779, 1.000,0.1617,0.05507,0.02254,0.06473,0.07214,0.02093,0.1733,0.08341,0.04444,0.04799,0.04992,0.3195,0.2351
0.1233,0.2760,0.05185,0.09308,0.09726,0.1617, 1.000,0.05314,0.03027,0.02544,0.03092,0.03704,0.1501,0.1797,0.09533,0.04638,0.03317,0.1575,0.1118
0.02480,0.03188,0.02673,0.02609,0.04444,0.05507,0.05314, 1.000,0.03156,0.04992,0.1043,0.04412,0.1688,0.03897,0.02126,0.02287,0.02544,0.06763,0.03929
0.02770,0.02254,0.02029,0.02931,0.02576,0.02254,0.03027,0.03156, 1.000,0.05475,0.02963,0.08148,0.02383,0.03671,0.02738,0.03156,0.07118,0.02738,0.03446
0.02287,0.02480,0.02222,0.03639,0.07568,0.06473,0.02544,0.04992,0.05475, 1.000,0.1275,0.02415,0.05185,0.02190,0.01997,0.02738,0.03833,0.06731,0.06731
0.02222,0.02351,0.02383,0.02705,0.06280,0.07214,0.03092,0.1043,0.02963,0.1275, 1.000,0.03543,0.07794,0.02480,0.02222,0.02029,0.02029,0.07987,0.05056
0.02576,0.02770,0.02254,0.02158,0.02222,0.02093,0.03704,0.04412,0.08148,0.02415,0.03543, 1.000,0.04026,0.05990,0.02899,0.03060,0.07633,0.02544,0.02222
0.06216,0.1079,0.03027,0.07182,0.1192,0.1733,0.1501,0.1688,0.02383,0.05185,0.07794,0.04026, 1.000,0.07536,0.03349,0.02576,0.02738,0.1907,0.09340
0.08535,0.1391,0.04477,0.05604,0.05797,0.08341,0.1797,0.03897,0.03671,0.02190,0.02480,0.05990,0.07536, 1.000,0.1250,0.03253,0.02222,0.06184,0.04670
0.1230,0.1295,0.1424,0.06731,0.04863,0.04444,0.09533,0.02126,0.02738,0.01997,0.02222,0.02899,0.03349,0.1250, 1.000,0.09179,0.03478,0.03736,0.04219
0.1259,0.1163,0.2010,0.1478,0.06860,0.04799,0.04638,0.02287,0.03156,0.02738,0.02029,0.03060,0.02576,0.03253,0.09179, 1.000,0.1523,0.05926,0.08599
0.06538,0.05636,0.06634,0.1134,0.07085,0.04992,0.03317,0.02544,0.07118,0.03833,0.02029,0.07633,0.02738,0.02222,0.03478,0.1523, 1.000,0.05411,0.1021
0.1024,0.1881,0.03736,0.1556,0.3021,0.3195,0.1575,0.06763,0.02738,0.06731,0.07987,0.02544,0.1907,0.06184,0.03736,0.05926,0.05411, 1.000,0.3662
0.1211,0.1884,0.05636,0.2216,0.3198,0.2351,0.1118,0.03929,0.03446,0.06731,0.05056,0.02222,0.09340,0.04670,0.04219,0.08599,0.1021,0.3662, 1.000
