Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2361,0.1188,0.2466,0.6291,0.09925,0.1604,0.2962,0.1163,0.2381,0.2742,0.2912,0.6732,0.2942,0.2827,0.2566,0.2531,0.6481,0.3704
0.2361, 1.000,0.09373,0.1248,0.1830,0.09273,0.1469,0.2201,0.1008,0.1233,0.1268,0.1248,0.2085,0.1323,0.1363,0.1348,0.1328,0.2366,0.1920
0.1188,0.09373, 1.000,0.2762,0.1238,0.1348,0.1609,0.1825,0.2541,0.2842,0.2526,0.2421,0.1353,0.2301,0.2361,0.2361,0.2486,0.1293,0.1855
0.2466,0.1248,0.2762, 1.000,0.2682,0.09073,0.1865,0.3644,0.1409,0.9138,0.8837,0.7825,0.3278,0.7649,0.7759,0.7905,0.8331,0.2591,0.5283
0.6291,0.1830,0.1238,0.2682, 1.000,0.1018,0.1689,0.2767,0.1178,0.2622,0.2977,0.3103,0.6591,0.3098,0.3008,0.2832,0.2797,0.5764,0.3880
0.09925,0.09273,0.1348,0.09073,0.1018, 1.000,0.1734,0.09173,0.1313,0.08972,0.08872,0.09273,0.1078,0.08571,0.09073,0.09073,0.08972,0.1038,0.1228
0.1604,0.1469,0.1609,0.1865,0.1689,0.1734, 1.000,0.1328,0.1153,0.1840,0.1830,0.1915,0.1880,0.1769,0.1850,0.1860,0.1805,0.1599,0.2231
0.2962,0.2201,0.1825,0.3644,0.2767,0.09173,0.1328, 1.000,0.1629,0.3609,0.3664,0.3464,0.3729,0.3684,0.3674,0.3624,0.3644,0.3669,0.3990
0.1163,0.1008,0.2541,0.1409,0.1178,0.1313,0.1153,0.1629, 1.000,0.1484,0.1293,0.1298,0.1308,0.1168,0.1183,0.1213,0.1233,0.1368,0.1519
0.2381,0.1233,0.2842,0.9138,0.2622,0.08972,0.1840,0.3609,0.1484, 1.000,0.8491,0.7669,0.3158,0.7038,0.7173,0.7363,0.7779,0.2541,0.5228
0.2742,0.1268,0.2526,0.8837,0.2977,0.08872,0.1830,0.3664,0.1293,0.8491, 1.000,0.8712,0.3629,0.8160,0.8160,0.7769,0.7990,0.2737,0.5464
0.2912,0.1248,0.2421,0.7825,0.3103,0.09273,0.1915,0.3464,0.1298,0.7669,0.8712, 1.000,0.3820,0.7619,0.7414,0.6837,0.7008,0.2702,0.5439
0.6732,0.2085,0.1353,0.3278,0.6591,0.1078,0.1880,0.3729,0.1308,0.3158,0.3629,0.3820, 1.000,0.3925,0.3799,0.3474,0.3409,0.6491,0.5343
0.2942,0.1323,0.2301,0.7649,0.3098,0.08571,0.1769,0.3684,0.1168,0.7038,0.8160,0.7619,0.3925, 1.000,0.9268,0.8100,0.8301,0.2852,0.5338
0.2827,0.1363,0.2361,0.7759,0.3008,0.09073,0.1850,0.3674,0.1183,0.7173,0.8160,0.7414,0.3799,0.9268, 1.000,0.8717,0.8802,0.2812,0.5479
0.2566,0.1348,0.2361,0.7905,0.2832,0.09073,0.1860,0.3624,0.1213,0.7363,0.7769,0.6837,0.3474,0.8100,0.8717, 1.000,0.9308,0.2762,0.5504
0.2531,0.1328,0.2486,0.8331,0.2797,0.08972,0.1805,0.3644,0.1233,0.7779,0.7990,0.7008,0.3409,0.8301,0.8802,0.9308, 1.000,0.2682,0.5449
0.6481,0.2366,0.1293,0.2591,0.5764,0.1038,0.1599,0.3669,0.1368,0.2541,0.2737,0.2702,0.6491,0.2852,0.2812,0.2762,0.2682, 1.000,0.4622
0.3704,0.1920,0.1855,0.5283,0.3880,0.1228,0.2231,0.3990,0.1519,0.5228,0.5464,0.5439,0.5343,0.5338,0.5479,0.5504,0.5449,0.4622, 1.000
