Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2531,0.1253,0.3459,0.7193,0.06266,0.1253,0.3810,0.1028,0.3358,0.3759,0.3960,0.7343,0.4060,0.3634,0.3283,0.3258,0.6992,0.5063
0.2531, 1.000,0.1203,0.1253,0.2005,0.08521,0.09774,0.2130,0.07018,0.1153,0.1253,0.1228,0.2256,0.1378,0.1228,0.1178,0.1178,0.2732,0.1930
0.1253,0.1203, 1.000,0.3233,0.1278,0.1479,0.2180,0.1579,0.2757,0.3459,0.2957,0.2857,0.1529,0.2682,0.2807,0.2782,0.2882,0.1178,0.1955
0.3459,0.1253,0.3233, 1.000,0.3860,0.1128,0.2231,0.4436,0.1754,0.9198,0.9123,0.7995,0.4386,0.8321,0.8271,0.8371,0.8747,0.3509,0.5564
0.7193,0.2005,0.1278,0.3860, 1.000,0.08772,0.1704,0.3383,0.1028,0.3734,0.4060,0.4286,0.7368,0.4361,0.4010,0.3734,0.3684,0.6491,0.5213
0.06266,0.08521,0.1479,0.1128,0.08772, 1.000,0.1880,0.09273,0.1328,0.1103,0.1203,0.1278,0.08020,0.1203,0.1253,0.1203,0.1178,0.06767,0.08271
0.1253,0.09774,0.2180,0.2231,0.1704,0.1880, 1.000,0.1429,0.09524,0.2256,0.2206,0.2306,0.1805,0.2180,0.2206,0.2105,0.2080,0.1353,0.2306
0.3810,0.2130,0.1579,0.4436,0.3383,0.09273,0.1429, 1.000,0.1479,0.4461,0.4612,0.4436,0.4361,0.4737,0.4536,0.4411,0.4486,0.4561,0.5038
0.1028,0.07018,0.2757,0.1754,0.1028,0.1328,0.09524,0.1479, 1.000,0.1855,0.1554,0.1554,0.1078,0.1303,0.1429,0.1529,0.1654,0.1103,0.1328
0.3358,0.1153,0.3459,0.9198,0.3734,0.1103,0.2256,0.4461,0.1855, 1.000,0.8772,0.7995,0.4361,0.7794,0.7744,0.7794,0.8145,0.3434,0.5539
0.3759,0.1253,0.2957,0.9123,0.4060,0.1203,0.2206,0.4612,0.1554,0.8772, 1.000,0.8647,0.4687,0.8647,0.8546,0.8321,0.8596,0.3609,0.5714
0.3960,0.1228,0.2857,0.7995,0.4286,0.1278,0.2306,0.4436,0.1554,0.7995,0.8647, 1.000,0.4862,0.8145,0.7794,0.7243,0.7494,0.3584,0.5840
0.7343,0.2256,0.1529,0.4386,0.7368,0.08020,0.1805,0.4361,0.1078,0.4361,0.4687,0.4862, 1.000,0.4912,0.4561,0.4261,0.4311,0.7143,0.6617
0.4060,0.1378,0.2682,0.8321,0.4361,0.1203,0.2180,0.4737,0.1303,0.7794,0.8647,0.8145,0.4912, 1.000,0.9273,0.8421,0.8496,0.3835,0.5714
0.3634,0.1228,0.2807,0.8271,0.4010,0.1253,0.2206,0.4536,0.1429,0.7744,0.8546,0.7794,0.4561,0.9273, 1.000,0.9098,0.8997,0.3634,0.5564
0.3283,0.1178,0.2782,0.8371,0.3734,0.1203,0.2105,0.4411,0.1529,0.7794,0.8321,0.7243,0.4261,0.8421,0.9098, 1.000,0.9549,0.3434,0.5564
0.3258,0.1178,0.2882,0.8747,0.3684,0.1178,0.2080,0.4486,0.1654,0.8145,0.8596,0.7494,0.4311,0.8496,0.8997,0.9549, 1.000,0.3383,0.5589
0.6992,0.2732,0.1178,0.3509,0.6491,0.06767,0.1353,0.4561,0.1103,0.3434,0.3609,0.3584,0.7143,0.3835,0.3634,0.3434,0.3383, 1.000,0.5539
0.5063,0.1930,0.1955,0.5564,0.5213,0.08271,0.2306,0.5038,0.1328,0.5539,0.5714,0.5840,0.6617,0.5714,0.5564,0.5564,0.5589,0.5539, 1.000
