Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.04344,0.09231,0.05792,0.02443,0.02443,0.03258,0.02534,0.02353,0.02896,0.03077,0.03348,0.03167,0.03077,0.06063,0.04615,0.03620,0.02715,0.03529
0.04344, 1.000,0.01900,0.07692,0.03620,0.01900,0.04253,0.03258,0.02624,0.02715,0.06335,0.02172,0.06787,0.04253,0.06516,0.09321,0.05611,0.09412,0.06606
0.09231,0.01900, 1.000,0.05430,0.02172,0.02986,0.04163,0.03348,0.01719,0.03620,0.01086,0.03891,0.03077,0.05339,0.02896,0.01719,0.02805,0.02896,0.04615
0.05792,0.07692,0.05430, 1.000,0.05882,0.04163,0.04072,0.02534,0.02353,0.04344,0.04977,0.02443,0.08235,0.05701,0.08507,0.06335,0.1005,0.06516,0.1050
0.02443,0.03620,0.02172,0.05882, 1.000,0.03710,0.03620,0.03710,0.02262,0.03529,0.06335,0.02805,0.06968,0.03529,0.01629,0.05520,0.04706,0.06787,0.04072
0.02443,0.01900,0.02986,0.04163,0.03710, 1.000,0.01900,0.03710,0.05158,0.04344,0.04977,0.02172,0.04434,0.01991,0.02081,0.03529,0.03077,0.05158,0.03801
0.03258,0.04253,0.04163,0.04072,0.03620,0.01900, 1.000,0.02896,0.01629,0.03982,0.01719,0.02986,0.03529,0.04163,0.04525,0.05249,0.05520,0.03258,0.03077
0.02534,0.03258,0.03348,0.02534,0.03710,0.03710,0.02896, 1.000,0.03529,0.01719,0.03620,0.04615,0.04434,0.02624,0.02805,0.02081,0.02986,0.01719,0.02534
0.02353,0.02624,0.01719,0.02353,0.02262,0.05158,0.01629,0.03529, 1.000,0.02353,0.01357,0.04525,0.03891,0.02262,0.02262,0.008145,0.02896,0.01991,0.03529
0.02896,0.02715,0.03620,0.04344,0.03529,0.04344,0.03982,0.01719,0.02353, 1.000,0.04706,0.02443,0.05068,0.04072,0.01900,0.02896,0.05339,0.1104,0.09140
0.03077,0.06335,0.01086,0.04977,0.06335,0.04977,0.01719,0.03620,0.01357,0.04706, 1.000,0.01719,0.06697,0.02172,0.04525,0.05339,0.09140,0.06606,0.03439
0.03348,0.02172,0.03891,0.02443,0.02805,0.02172,0.02986,0.04615,0.04525,0.02443,0.01719, 1.000,0.02443,0.01810,0.01810,0.01629,0.01719,0.03348,0.01357
0.03167,0.06787,0.03077,0.08235,0.06968,0.04434,0.03529,0.04434,0.03891,0.05068,0.06697,0.02443, 1.000,0.04615,0.05068,0.05068,0.04977,0.06516,0.06968
0.03077,0.04253,0.05339,0.05701,0.03529,0.01991,0.04163,0.02624,0.02262,0.04072,0.02172,0.01810,0.04615, 1.000,0.02805,0.03258,0.03167,0.04615,0.02896
0.06063,0.06516,0.02896,0.08507,0.01629,0.02081,0.04525,0.02805,0.02262,0.01900,0.04525,0.01810,0.05068,0.02805, 1.000,0.04072,0.04706,0.02805,0.04887
0.04615,0.09321,0.01719,0.06335,0.05520,0.03529,0.05249,0.02081,0.008145,0.02896,0.05339,0.01629,0.05068,0.03258,0.04072, 1.000,0.05520,0.04525,0.03529
0.03620,0.05611,0.02805,0.1005,0.04706,0.03077,0.05520,0.02986,0.02896,0.05339,0.09140,0.01719,0.04977,0.03167,0.04706,0.05520, 1.000,0.06063,0.07692
0.02715,0.09412,0.02896,0.06516,0.06787,0.05158,0.03258,0.01719,0.01991,0.1104,0.06606,0.03348,0.06516,0.04615,0.02805,0.04525,0.06063, 1.000,0.09140
0.03529,0.06606,0.04615,0.1050,0.04072,0.03801,0.03077,0.02534,0.03529,0.09140,0.03439,0.01357,0.06968,0.02896,0.04887,0.03529,0.07692,0.09140, 1.000
