Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.4356,0.2121,0.2035,0.1375,0.05961,0.1418,0.05424,0.03115,0.02900,0.04834,0.06767,0.08915,0.1568,0.3947,0.4522,0.3351,0.2111,0.2787
0.4356, 1.000,0.1230,0.1670,0.1536,0.08593,0.1896,0.03974,0.03652,0.03813,0.04243,0.04350,0.1294,0.1429,0.3115,0.2723,0.2234,0.2427,0.2884
0.2121,0.1230, 1.000,0.08861,0.06284,0.03276,0.04350,0.1729,0.02846,0.05102,0.07680,0.06821,0.03061,0.1015,0.1772,0.3008,0.1493,0.07143,0.08271
0.2035,0.1670,0.08861, 1.000,0.2766,0.07035,0.06660,0.04189,0.02739,0.02309,0.03545,0.07250,0.09936,0.1171,0.1520,0.1466,0.2213,0.1794,0.2191
0.1375,0.1536,0.06284,0.2766, 1.000,0.1606,0.08593,0.03276,0.02417,0.03115,0.03706,0.03813,0.1627,0.09721,0.1214,0.1020,0.1439,0.2046,0.2299
0.05961,0.08593,0.03276,0.07035,0.1606, 1.000,0.09398,0.02900,0.02202,0.05424,0.05102,0.03276,0.1992,0.08271,0.05800,0.04296,0.05908,0.1525,0.1251
0.1418,0.1896,0.04350,0.06660,0.08593,0.09398, 1.000,0.02363,0.02900,0.02256,0.03115,0.02578,0.1472,0.1869,0.1343,0.08163,0.06552,0.2261,0.1810
0.05424,0.03974,0.1729,0.04189,0.03276,0.02900,0.02363, 1.000,0.03383,0.05908,0.1568,0.07358,0.02470,0.03383,0.05854,0.07948,0.04941,0.03383,0.03061
0.03115,0.03652,0.02846,0.02739,0.02417,0.02202,0.02900,0.03383, 1.000,0.03276,0.02524,0.02095,0.02900,0.03813,0.03383,0.02685,0.02417,0.01719,0.03008
0.02900,0.03813,0.05102,0.02309,0.03115,0.05424,0.02256,0.05908,0.03276, 1.000,0.1090,0.02900,0.04350,0.02900,0.03276,0.03706,0.02363,0.03061,0.02632
0.04834,0.04243,0.07680,0.03545,0.03706,0.05102,0.03115,0.1568,0.02524,0.1090, 1.000,0.06606,0.03652,0.03759,0.04941,0.04995,0.04941,0.03437,0.03813
0.06767,0.04350,0.06821,0.07250,0.03813,0.03276,0.02578,0.07358,0.02095,0.02900,0.06606, 1.000,0.03276,0.03061,0.04565,0.06874,0.07197,0.04082,0.03813
0.08915,0.1294,0.03061,0.09936,0.1627,0.1992,0.1472,0.02470,0.02900,0.04350,0.03652,0.03276, 1.000,0.1369,0.07035,0.05156,0.05478,0.2309,0.1520
0.1568,0.1429,0.1015,0.1171,0.09721,0.08271,0.1869,0.03383,0.03813,0.02900,0.03759,0.03061,0.1369, 1.000,0.1992,0.1262,0.09184,0.1907,0.1745
0.3947,0.3115,0.1772,0.1520,0.1214,0.05800,0.1343,0.05854,0.03383,0.03276,0.04941,0.04565,0.07035,0.1992, 1.000,0.3480,0.2223,0.1982,0.2395
0.4522,0.2723,0.3008,0.1466,0.1020,0.04296,0.08163,0.07948,0.02685,0.03706,0.04995,0.06874,0.05156,0.1262,0.3480, 1.000,0.3072,0.1203,0.1660
0.3351,0.2234,0.1493,0.2213,0.1439,0.05908,0.06552,0.04941,0.02417,0.02363,0.04941,0.07197,0.05478,0.09184,0.2223,0.3072, 1.000,0.1498,0.2111
0.2111,0.2427,0.07143,0.1794,0.2046,0.1525,0.2261,0.03383,0.01719,0.03061,0.03437,0.04082,0.2309,0.1907,0.1982,0.1203,0.1498, 1.000,0.4296
0.2787,0.2884,0.08271,0.2191,0.2299,0.1251,0.1810,0.03061,0.03008,0.02632,0.03813,0.03813,0.1520,0.1745,0.2395,0.1660,0.2111,0.4296, 1.000
