Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3920,0.3637,0.3235,0.2100,0.1137,0.07542,0.03021,0.02627,0.02395,0.02395,0.03825,0.1964,0.1759,0.2663,0.3055,0.2799,0.2197,0.2014
0.3920, 1.000,0.1428,0.1712,0.2086,0.1587,0.2181,0.06756,0.02341,0.02431,0.02055,0.02627,0.2254,0.2667,0.3199,0.1896,0.1469,0.2286,0.1648
0.3637,0.1428, 1.000,0.2806,0.1630,0.05719,0.03878,0.02270,0.02198,0.02252,0.02502,0.06273,0.09991,0.08543,0.1592,0.1893,0.2032,0.1373,0.1421
0.3235,0.1712,0.2806, 1.000,0.3600,0.1122,0.05130,0.02341,0.03128,0.02770,0.02252,0.03038,0.1705,0.1535,0.1517,0.3060,0.2259,0.2887,0.2899
0.2100,0.2086,0.1630,0.3600, 1.000,0.1618,0.08704,0.03271,0.02538,0.03396,0.02717,0.02288,0.2088,0.2109,0.2359,0.2080,0.1349,0.4581,0.3158
0.1137,0.1587,0.05719,0.1122,0.1618, 1.000,0.1228,0.08257,0.02395,0.02985,0.03235,0.02395,0.1764,0.1507,0.1244,0.09562,0.07328,0.2057,0.1542
0.07542,0.2181,0.03878,0.05130,0.08704,0.1228, 1.000,0.1403,0.02466,0.02395,0.02091,0.02431,0.1106,0.1103,0.1006,0.06506,0.04629,0.1026,0.09044
0.03021,0.06756,0.02270,0.02341,0.03271,0.08257,0.1403, 1.000,0.03664,0.02752,0.03360,0.06935,0.06559,0.06953,0.04093,0.02395,0.01984,0.04325,0.03110
0.02627,0.02341,0.02198,0.03128,0.02538,0.02395,0.02466,0.03664, 1.000,0.04093,0.02449,0.03021,0.02645,0.02109,0.02198,0.02413,0.02824,0.02627,0.02681
0.02395,0.02431,0.02252,0.02770,0.03396,0.02985,0.02395,0.02752,0.04093, 1.000,0.04486,0.02288,0.03003,0.02413,0.02073,0.02413,0.02788,0.03592,0.03557
0.02395,0.02055,0.02502,0.02252,0.02717,0.03235,0.02091,0.03360,0.02449,0.04486, 1.000,0.07113,0.02484,0.02413,0.02198,0.02252,0.02431,0.02735,0.02538
0.03825,0.02627,0.06273,0.03038,0.02288,0.02395,0.02431,0.06935,0.03021,0.02288,0.07113, 1.000,0.02359,0.02324,0.02270,0.03664,0.05469,0.02216,0.02931
0.1964,0.2254,0.09991,0.1705,0.2088,0.1764,0.1106,0.06559,0.02645,0.03003,0.02484,0.02359, 1.000,0.1939,0.1573,0.1113,0.08007,0.2220,0.1551
0.1759,0.2667,0.08543,0.1535,0.2109,0.1507,0.1103,0.06953,0.02109,0.02413,0.02413,0.02324,0.1939, 1.000,0.1800,0.1080,0.08561,0.1641,0.1122
0.2663,0.3199,0.1592,0.1517,0.2359,0.1244,0.1006,0.04093,0.02198,0.02073,0.02198,0.02270,0.1573,0.1800, 1.000,0.1802,0.1224,0.1707,0.1366
0.3055,0.1896,0.1893,0.3060,0.2080,0.09562,0.06506,0.02395,0.02413,0.02413,0.02252,0.03664,0.1113,0.1080,0.1802, 1.000,0.2214,0.1839,0.1989
0.2799,0.1469,0.2032,0.2259,0.1349,0.07328,0.04629,0.01984,0.02824,0.02788,0.02431,0.05469,0.08007,0.08561,0.1224,0.2214, 1.000,0.1673,0.2127
0.2197,0.2286,0.1373,0.2887,0.4581,0.2057,0.1026,0.04325,0.02627,0.03592,0.02735,0.02216,0.2220,0.1641,0.1707,0.1839,0.1673, 1.000,0.3307
0.2014,0.1648,0.1421,0.2899,0.3158,0.1542,0.09044,0.03110,0.02681,0.03557,0.02538,0.02931,0.1551,0.1122,0.1366,0.1989,0.2127,0.3307, 1.000
