Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.6399,0.1348,0.1186,0.1229,0.1667,0.1269,0.02176,0.03616,0.03003,0.01992,0.03432,0.1370,0.2691,0.2574,0.2666,0.1594,0.09960,0.03310
0.6399, 1.000,0.09838,0.08857,0.1057,0.1836,0.1851,0.02237,0.03126,0.02819,0.01594,0.02911,0.1355,0.2911,0.2538,0.2314,0.1370,0.1011,0.03432
0.1348,0.09838, 1.000,0.1358,0.07233,0.04076,0.02881,0.07907,0.04352,0.03095,0.04045,0.04076,0.04321,0.09684,0.1499,0.2112,0.1036,0.03586,0.01931
0.1186,0.08857,0.1358, 1.000,0.3196,0.1263,0.03095,0.01992,0.1339,0.05915,0.02207,0.05118,0.1459,0.1318,0.09286,0.1827,0.1891,0.1652,0.03739
0.1229,0.1057,0.07233,0.3196, 1.000,0.2066,0.03463,0.02544,0.1211,0.08091,0.01747,0.03831,0.2623,0.1719,0.09225,0.1597,0.1597,0.2599,0.06221
0.1667,0.1836,0.04076,0.1263,0.2066, 1.000,0.07968,0.01900,0.05424,0.07233,0.02207,0.02789,0.3077,0.2657,0.1082,0.1272,0.1257,0.2489,0.06528
0.1269,0.1851,0.02881,0.03095,0.03463,0.07968, 1.000,0.02513,0.02268,0.03065,0.03279,0.03402,0.06068,0.1140,0.08949,0.06926,0.04137,0.03984,0.04536
0.02176,0.02237,0.07907,0.01992,0.02544,0.01900,0.02513, 1.000,0.02605,0.03310,0.1299,0.05455,0.02482,0.02482,0.05455,0.03739,0.02298,0.02482,0.06160
0.03616,0.03126,0.04352,0.1339,0.1211,0.05424,0.02268,0.02605, 1.000,0.1796,0.01900,0.06620,0.06957,0.04597,0.03218,0.04995,0.08121,0.1002,0.04750
0.03003,0.02819,0.03095,0.05915,0.08091,0.07233,0.03065,0.03310,0.1796, 1.000,0.04566,0.03494,0.07079,0.03371,0.03249,0.04076,0.04597,0.09562,0.05945
0.01992,0.01594,0.04045,0.02207,0.01747,0.02207,0.03279,0.1299,0.01900,0.04566, 1.000,0.02636,0.02942,0.01900,0.02728,0.02390,0.02390,0.02973,0.03800
0.03432,0.02911,0.04076,0.05118,0.03831,0.02789,0.03402,0.05455,0.06620,0.03494,0.02636, 1.000,0.02360,0.02513,0.02237,0.04566,0.05884,0.02115,0.02329
0.1370,0.1355,0.04321,0.1459,0.2623,0.3077,0.06068,0.02482,0.06957,0.07079,0.02942,0.02360, 1.000,0.2731,0.07907,0.09071,0.09194,0.4061,0.1189
0.2691,0.2911,0.09684,0.1318,0.1719,0.2657,0.1140,0.02482,0.04597,0.03371,0.01900,0.02513,0.2731, 1.000,0.2044,0.1839,0.09623,0.1569,0.05394
0.2574,0.2538,0.1499,0.09286,0.09225,0.1082,0.08949,0.05455,0.03218,0.03249,0.02728,0.02237,0.07907,0.2044, 1.000,0.2620,0.07968,0.06099,0.03678
0.2666,0.2314,0.2112,0.1827,0.1597,0.1272,0.06926,0.03739,0.04995,0.04076,0.02390,0.04566,0.09071,0.1839,0.2620, 1.000,0.2439,0.08029,0.02942
0.1594,0.1370,0.1036,0.1891,0.1597,0.1257,0.04137,0.02298,0.08121,0.04597,0.02390,0.05884,0.09194,0.09623,0.07968,0.2439, 1.000,0.1076,0.03555
0.09960,0.1011,0.03586,0.1652,0.2599,0.2489,0.03984,0.02482,0.1002,0.09562,0.02973,0.02115,0.4061,0.1569,0.06099,0.08029,0.1076, 1.000,0.1318
0.03310,0.03432,0.01931,0.03739,0.06221,0.06528,0.04536,0.06160,0.04750,0.05945,0.03800,0.02329,0.1189,0.05394,0.03678,0.02942,0.03555,0.1318, 1.000
