Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.02936,0.03454,0.03800,0.02418,0.02418,0.02591,0.05872,0.02763,0.04145,0.05181,0.02763,0.03282,0.01036,0.03972,0.02936,0.02418,0.02763,0.008636
0.02936, 1.000,0.1313,0.1261,0.1485,0.1364,0.5458,0.02073,0.03972,0.02763,0.07945,0.2055,0.08290,0.1451,0.1416,0.1019,0.06563,0.1347,0.1468
0.03454,0.1313, 1.000,0.4024,0.2090,0.08290,0.08463,0.08290,0.02245,0.07254,0.07427,0.03627,0.08117,0.1313,0.1744,0.1796,0.05181,0.1226,0.1606
0.03800,0.1261,0.4024, 1.000,0.3558,0.1347,0.09672,0.05527,0.04145,0.1054,0.05872,0.04663,0.09672,0.1036,0.1347,0.1623,0.1399,0.2107,0.2694
0.02418,0.1485,0.2090,0.3558, 1.000,0.2142,0.1434,0.02418,0.05009,0.06045,0.06563,0.05872,0.1157,0.07427,0.1036,0.1002,0.1036,0.1934,0.2073
0.02418,0.1364,0.08290,0.1347,0.2142, 1.000,0.1606,0.02418,0.02763,0.04318,0.05009,0.06908,0.1019,0.08290,0.06563,0.04491,0.06045,0.1313,0.1140
0.02591,0.5458,0.08463,0.09672,0.1434,0.1606, 1.000,0.02245,0.03282,0.02936,0.1002,0.2211,0.1347,0.2159,0.08981,0.06218,0.06045,0.1554,0.1071
0.05872,0.02073,0.08290,0.05527,0.02418,0.02418,0.02245, 1.000,0.04318,0.02418,0.07254,0.01900,0.05527,0.03454,0.08808,0.09154,0.03972,0.03454,0.03454
0.02763,0.03972,0.02245,0.04145,0.05009,0.02763,0.03282,0.04318, 1.000,0.04663,0.01209,0.1036,0.03109,0.03282,0.01727,0.02073,0.08981,0.01554,0.04318
0.04145,0.02763,0.07254,0.1054,0.06045,0.04318,0.02936,0.02418,0.04663, 1.000,0.05699,0.05699,0.06045,0.03454,0.02763,0.02073,0.1295,0.06908,0.07945
0.05181,0.07945,0.07427,0.05872,0.06563,0.05009,0.1002,0.07254,0.01209,0.05699, 1.000,0.04318,0.1848,0.07772,0.03800,0.02591,0.02591,0.1520,0.06563
0.02763,0.2055,0.03627,0.04663,0.05872,0.06908,0.2211,0.01900,0.1036,0.05699,0.04318, 1.000,0.06736,0.1157,0.07081,0.04145,0.07254,0.04491,0.07081
0.03282,0.08290,0.08117,0.09672,0.1157,0.1019,0.1347,0.05527,0.03109,0.06045,0.1848,0.06736, 1.000,0.1157,0.03800,0.05181,0.02591,0.1831,0.07427
0.01036,0.1451,0.1313,0.1036,0.07427,0.08290,0.2159,0.03454,0.03282,0.03454,0.07772,0.1157,0.1157, 1.000,0.1088,0.03627,0.02591,0.1002,0.04663
0.03972,0.1416,0.1744,0.1347,0.1036,0.06563,0.08981,0.08808,0.01727,0.02763,0.03800,0.07081,0.03800,0.1088, 1.000,0.1762,0.04663,0.05872,0.08636
0.02936,0.1019,0.1796,0.1623,0.1002,0.04491,0.06218,0.09154,0.02073,0.02073,0.02591,0.04145,0.05181,0.03627,0.1762, 1.000,0.1071,0.06908,0.1330
0.02418,0.06563,0.05181,0.1399,0.1036,0.06045,0.06045,0.03972,0.08981,0.1295,0.02591,0.07254,0.02591,0.02591,0.04663,0.1071, 1.000,0.06218,0.2971
0.02763,0.1347,0.1226,0.2107,0.1934,0.1313,0.1554,0.03454,0.01554,0.06908,0.1520,0.04491,0.1831,0.1002,0.05872,0.06908,0.06218, 1.000,0.2107
0.008636,0.1468,0.1606,0.2694,0.2073,0.1140,0.1071,0.03454,0.04318,0.07945,0.06563,0.07081,0.07427,0.04663,0.08636,0.1330,0.2971,0.2107, 1.000
