Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.6914,0.6251,0.5575,0.4473,0.5366,0.5987,0.02804,0.03072,0.07947,0.05119,0.04266,0.4573,0.4610,0.2404,0.5622,0.4610,0.3713,0.4118
0.6914, 1.000,0.6270,0.5119,0.4398,0.5417,0.6724,0.02755,0.02999,0.07167,0.05558,0.03998,0.4371,0.4893,0.2587,0.6104,0.4425,0.3452,0.3876
0.6251,0.6270, 1.000,0.4298,0.3269,0.4096,0.7813,0.02901,0.02804,0.05900,0.04412,0.04022,0.3418,0.5512,0.3503,0.6928,0.3530,0.2523,0.2879
0.5575,0.5119,0.4298, 1.000,0.4854,0.4469,0.3788,0.02925,0.03218,0.08459,0.05948,0.04583,0.4476,0.3303,0.1782,0.4369,0.4990,0.3903,0.4369
0.4473,0.4398,0.3269,0.4854, 1.000,0.4271,0.3315,0.02828,0.03145,0.09191,0.06143,0.05241,0.4924,0.2674,0.1455,0.3113,0.4459,0.4405,0.4486
0.5366,0.5417,0.4096,0.4469,0.4271, 1.000,0.4415,0.02682,0.03340,0.07460,0.05924,0.04193,0.4371,0.3791,0.1994,0.4247,0.4147,0.3401,0.3774
0.5987,0.6724,0.7813,0.3788,0.3315,0.4415, 1.000,0.02779,0.02779,0.05924,0.04632,0.03730,0.3608,0.5702,0.3469,0.6599,0.3384,0.2540,0.2813
0.02804,0.02755,0.02901,0.02925,0.02828,0.02682,0.02779, 1.000,0.05656,0.07314,0.05997,0.07435,0.03096,0.02292,0.02804,0.02779,0.03169,0.02901,0.02877
0.03072,0.02999,0.02804,0.03218,0.03145,0.03340,0.02779,0.05656, 1.000,0.05851,0.03584,0.09093,0.02828,0.03047,0.03096,0.02852,0.03267,0.03510,0.03389
0.07947,0.07167,0.05900,0.08459,0.09191,0.07460,0.05924,0.07314,0.05851, 1.000,0.07216,0.1316,0.09898,0.05266,0.03901,0.05753,0.09483,0.1273,0.1092
0.05119,0.05558,0.04412,0.05948,0.06143,0.05924,0.04632,0.05997,0.03584,0.07216, 1.000,0.04876,0.06363,0.04900,0.03901,0.04534,0.05729,0.07679,0.07289
0.04266,0.03998,0.04022,0.04583,0.05241,0.04193,0.03730,0.07435,0.09093,0.1316,0.04876, 1.000,0.04266,0.03681,0.03681,0.03535,0.04754,0.06826,0.05900
0.4573,0.4371,0.3418,0.4476,0.4924,0.4371,0.3608,0.03096,0.02828,0.09898,0.06363,0.04266, 1.000,0.2955,0.1451,0.3372,0.4181,0.3779,0.4193
0.4610,0.4893,0.5512,0.3303,0.2674,0.3791,0.5702,0.02292,0.03047,0.05266,0.04900,0.03681,0.2955, 1.000,0.3571,0.4771,0.2660,0.2009,0.2216
0.2404,0.2587,0.3503,0.1782,0.1455,0.1994,0.3469,0.02804,0.03096,0.03901,0.03901,0.03681,0.1451,0.3571, 1.000,0.3454,0.1380,0.1078,0.1175
0.5622,0.6104,0.6928,0.4369,0.3113,0.4247,0.6599,0.02779,0.02852,0.05753,0.04534,0.03535,0.3372,0.4771,0.3454, 1.000,0.3337,0.2411,0.2611
0.4610,0.4425,0.3530,0.4990,0.4459,0.4147,0.3384,0.03169,0.03267,0.09483,0.05729,0.04754,0.4181,0.2660,0.1380,0.3337, 1.000,0.4705,0.4939
0.3713,0.3452,0.2523,0.3903,0.4405,0.3401,0.2540,0.02901,0.03510,0.1273,0.07679,0.06826,0.3779,0.2009,0.1078,0.2411,0.4705, 1.000,0.6565
0.4118,0.3876,0.2879,0.4369,0.4486,0.3774,0.2813,0.02877,0.03389,0.1092,0.07289,0.05900,0.4193,0.2216,0.1175,0.2611,0.4939,0.6565, 1.000
