Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.05972,0.03268,0.05577,0.06930,0.06986,0.04338,0.02479,0.01746,0.07775,0.03606,0.02648,0.06817,0.09915,0.07831,0.05634,0.05183,0.04676,0.06535
0.05972, 1.000,0.05465,0.1685,0.2901,0.2214,0.05746,0.03324,0.02254,0.08676,0.03324,0.03831,0.07944,0.07887,0.2715,0.1690,0.1538,0.4321,0.3741
0.03268,0.05465, 1.000,0.09690,0.05915,0.02535,0.04845,0.1876,0.05577,0.04789,0.04563,0.1149,0.03211,0.03099,0.06704,0.1099,0.1837,0.05859,0.08845
0.05577,0.1685,0.09690, 1.000,0.2715,0.06366,0.04901,0.04394,0.04901,0.09070,0.02141,0.06197,0.04845,0.03437,0.1487,0.2332,0.3138,0.1487,0.2986
0.06930,0.2901,0.05915,0.2715, 1.000,0.1504,0.07887,0.02310,0.03099,0.1352,0.03268,0.03268,0.1206,0.08000,0.1397,0.1358,0.1532,0.2496,0.2659
0.06986,0.2214,0.02535,0.06366,0.1504, 1.000,0.1149,0.03268,0.02592,0.06366,0.09690,0.03042,0.1397,0.1234,0.1256,0.05690,0.06310,0.1555,0.1296
0.04338,0.05746,0.04845,0.04901,0.07887,0.1149, 1.000,0.07324,0.02817,0.05690,0.1352,0.04451,0.08507,0.1425,0.02535,0.02873,0.02366,0.07606,0.02930
0.02479,0.03324,0.1876,0.04394,0.02310,0.03268,0.07324, 1.000,0.03606,0.01352,0.1211,0.1324,0.03042,0.02930,0.03099,0.05634,0.07211,0.04676,0.03380
0.01746,0.02254,0.05577,0.04901,0.03099,0.02592,0.02817,0.03606, 1.000,0.07662,0.02986,0.09972,0.03268,0.03493,0.02592,0.08000,0.06648,0.02761,0.03549
0.07775,0.08676,0.04789,0.09070,0.1352,0.06366,0.05690,0.01352,0.07662, 1.000,0.05690,0.04225,0.06592,0.1065,0.05634,0.07268,0.08901,0.08451,0.08282
0.03606,0.03324,0.04563,0.02141,0.03268,0.09690,0.1352,0.1211,0.02986,0.05690, 1.000,0.04676,0.1054,0.07211,0.02197,0.03268,0.03606,0.03775,0.01577
0.02648,0.03831,0.1149,0.06197,0.03268,0.03042,0.04451,0.1324,0.09972,0.04225,0.04676, 1.000,0.02986,0.03437,0.02592,0.05183,0.08789,0.04000,0.03380
0.06817,0.07944,0.03211,0.04845,0.1206,0.1397,0.08507,0.03042,0.03268,0.06592,0.1054,0.02986, 1.000,0.08563,0.03211,0.03380,0.03493,0.07268,0.05352
0.09915,0.07887,0.03099,0.03437,0.08000,0.1234,0.1425,0.02930,0.03493,0.1065,0.07211,0.03437,0.08563, 1.000,0.02479,0.02648,0.03099,0.09746,0.04225
0.07831,0.2715,0.06704,0.1487,0.1397,0.1256,0.02535,0.03099,0.02592,0.05634,0.02197,0.02592,0.03211,0.02479, 1.000,0.2439,0.1606,0.1611,0.3606
0.05634,0.1690,0.1099,0.2332,0.1358,0.05690,0.02873,0.05634,0.08000,0.07268,0.03268,0.05183,0.03380,0.02648,0.2439, 1.000,0.3803,0.1262,0.2896
0.05183,0.1538,0.1837,0.3138,0.1532,0.06310,0.02366,0.07211,0.06648,0.08901,0.03606,0.08789,0.03493,0.03099,0.1606,0.3803, 1.000,0.1239,0.2913
0.04676,0.4321,0.05859,0.1487,0.2496,0.1555,0.07606,0.04676,0.02761,0.08451,0.03775,0.04000,0.07268,0.09746,0.1611,0.1262,0.1239, 1.000,0.2197
0.06535,0.3741,0.08845,0.2986,0.2659,0.1296,0.02930,0.03380,0.03549,0.08282,0.01577,0.03380,0.05352,0.04225,0.3606,0.2896,0.2913,0.2197, 1.000
