Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1625,0.07670,0.1026,0.06424,0.05657,0.07191,0.03404,0.03164,0.02924,0.02589,0.03835,0.03931,0.1035,0.1496,0.08581,0.02924,0.04890,0.05609
0.1625, 1.000,0.02924,0.05609,0.05417,0.1894,0.2311,0.02013,0.03260,0.02637,0.03212,0.04267,0.06328,0.1913,0.1002,0.04219,0.02205,0.07383,0.04602
0.07670,0.02924, 1.000,0.04458,0.02876,0.02780,0.02397,0.1472,0.02397,0.04938,0.04938,0.01582,0.03979,0.03260,0.06616,0.1601,0.03404,0.02397,0.05177
0.1026,0.05609,0.04458, 1.000,0.2148,0.06472,0.03356,0.02589,0.04554,0.03260,0.02493,0.02589,0.03931,0.02397,0.04842,0.06663,0.07526,0.06088,0.1769
0.06424,0.05417,0.02876,0.2148, 1.000,0.1323,0.01822,0.03452,0.02780,0.06759,0.03691,0.02013,0.08293,0.03068,0.02685,0.02493,0.04698,0.09923,0.08389
0.05657,0.1894,0.02780,0.06472,0.1323, 1.000,0.1093,0.03116,0.02733,0.03404,0.04986,0.02349,0.1083,0.06663,0.04075,0.02733,0.02828,0.1500,0.06232
0.07191,0.2311,0.02397,0.03356,0.01822,0.1093, 1.000,0.02253,0.03452,0.02301,0.03020,0.1088,0.03787,0.2071,0.09060,0.03643,0.02589,0.06136,0.02733
0.03404,0.02013,0.1472,0.02589,0.03452,0.03116,0.02253, 1.000,0.02349,0.04842,0.03404,0.01486,0.08198,0.02301,0.03883,0.06376,0.02589,0.02493,0.02301
0.03164,0.03260,0.02397,0.04554,0.02780,0.02733,0.03452,0.02349, 1.000,0.08198,0.03020,0.08821,0.02061,0.06280,0.03595,0.03643,0.08725,0.02301,0.03931
0.02924,0.02637,0.04938,0.03260,0.06759,0.03404,0.02301,0.04842,0.08198, 1.000,0.06424,0.04362,0.03739,0.02541,0.04267,0.03787,0.03212,0.03595,0.01678
0.02589,0.03212,0.04938,0.02493,0.03691,0.04986,0.03020,0.03404,0.03020,0.06424, 1.000,0.02493,0.1616,0.02685,0.02349,0.03835,0.02637,0.1146,0.02349
0.03835,0.04267,0.01582,0.02589,0.02013,0.02349,0.1088,0.01486,0.08821,0.04362,0.02493, 1.000,0.02685,0.1165,0.07574,0.03308,0.03212,0.03308,0.01342
0.03931,0.06328,0.03979,0.03931,0.08293,0.1083,0.03787,0.08198,0.02061,0.03739,0.1616,0.02685, 1.000,0.04602,0.03260,0.03356,0.02397,0.1989,0.03068
0.1035,0.1913,0.03260,0.02397,0.03068,0.06663,0.2071,0.02301,0.06280,0.02541,0.02685,0.1165,0.04602, 1.000,0.1059,0.03020,0.02493,0.05081,0.02349
0.1496,0.1002,0.06616,0.04842,0.02685,0.04075,0.09060,0.03883,0.03595,0.04267,0.02349,0.07574,0.03260,0.1059, 1.000,0.1064,0.01870,0.02828,0.03260
0.08581,0.04219,0.1601,0.06663,0.02493,0.02733,0.03643,0.06376,0.03643,0.03787,0.03835,0.03308,0.03356,0.03020,0.1064, 1.000,0.04746,0.03116,0.07143
0.02924,0.02205,0.03404,0.07526,0.04698,0.02828,0.02589,0.02589,0.08725,0.03212,0.02637,0.03212,0.02397,0.02493,0.01870,0.04746, 1.000,0.02780,0.08150
0.04890,0.07383,0.02397,0.06088,0.09923,0.1500,0.06136,0.02493,0.02301,0.03595,0.1146,0.03308,0.1989,0.05081,0.02828,0.03116,0.02780, 1.000,0.06663
0.05609,0.04602,0.05177,0.1769,0.08389,0.06232,0.02733,0.02301,0.03931,0.01678,0.02349,0.01342,0.03068,0.02349,0.03260,0.07143,0.08150,0.06663, 1.000
