Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1844,0.3426,0.5102,0.1825,0.07821,0.05028,0.08566,0.03538,0.03352,0.02607,0.06890,0.03724,0.07821,0.1527,0.1862,0.09870,0.07821,0.1155
0.1844, 1.000,0.04097,0.1490,0.1862,0.2775,0.09497,0.02421,0.02048,0.03352,0.03352,0.04283,0.1881,0.2533,0.1657,0.06331,0.05773,0.3017,0.06704
0.3426,0.04097, 1.000,0.2849,0.07821,0.02048,0.07449,0.2048,0.03724,0.01862,0.06518,0.07449,0.02607,0.02421,0.1043,0.2384,0.1061,0.02421,0.08007
0.5102,0.1490,0.2849, 1.000,0.2682,0.1043,0.05773,0.06331,0.05959,0.04097,0.02980,0.07263,0.04655,0.09125,0.09311,0.1117,0.1341,0.08194,0.1173
0.1825,0.1862,0.07821,0.2682, 1.000,0.3054,0.03911,0.03352,0.04097,0.03911,0.02980,0.04842,0.1508,0.1322,0.08939,0.04283,0.06890,0.1881,0.1117
0.07821,0.2775,0.02048,0.1043,0.3054, 1.000,0.08380,0.02980,0.02421,0.04842,0.05959,0.05773,0.3184,0.2886,0.06890,0.03166,0.05214,0.2719,0.05028
0.05028,0.09497,0.07449,0.05773,0.03911,0.08380, 1.000,0.08939,0.05028,0.03166,0.1266,0.3687,0.08007,0.1210,0.05959,0.04283,0.05400,0.06704,0.04469
0.08566,0.02421,0.2048,0.06331,0.03352,0.02980,0.08939, 1.000,0.07635,0.04283,0.2086,0.05587,0.06331,0.03911,0.05214,0.2104,0.08752,0.02793,0.04097
0.03538,0.02048,0.03724,0.05959,0.04097,0.02421,0.05028,0.07635, 1.000,0.07449,0.03911,0.07635,0.03166,0.04655,0.01676,0.02793,0.2253,0.02607,0.06518
0.03352,0.03352,0.01862,0.04097,0.03911,0.04842,0.03166,0.04283,0.07449, 1.000,0.08380,0.05773,0.08007,0.02607,0.03911,0.05959,0.1210,0.07635,0.06704
0.02607,0.03352,0.06518,0.02980,0.02980,0.05959,0.1266,0.2086,0.03911,0.08380, 1.000,0.08194,0.1155,0.04469,0.02048,0.06331,0.05773,0.03724,0.06890
0.06890,0.04283,0.07449,0.07263,0.04842,0.05773,0.3687,0.05587,0.07635,0.05773,0.08194, 1.000,0.02980,0.07635,0.04842,0.03538,0.1136,0.03724,0.04097
0.03724,0.1881,0.02607,0.04655,0.1508,0.3184,0.08007,0.06331,0.03166,0.08007,0.1155,0.02980, 1.000,0.1266,0.02980,0.03724,0.03166,0.3147,0.04097
0.07821,0.2533,0.02421,0.09125,0.1322,0.2886,0.1210,0.03911,0.04655,0.02607,0.04469,0.07635,0.1266, 1.000,0.1378,0.03538,0.06518,0.1229,0.02793
0.1527,0.1657,0.1043,0.09311,0.08939,0.06890,0.05959,0.05214,0.01676,0.03911,0.02048,0.04842,0.02980,0.1378, 1.000,0.1210,0.06331,0.06518,0.02235
0.1862,0.06331,0.2384,0.1117,0.04283,0.03166,0.04283,0.2104,0.02793,0.05959,0.06331,0.03538,0.03724,0.03538,0.1210, 1.000,0.07635,0.04469,0.09497
0.09870,0.05773,0.1061,0.1341,0.06890,0.05214,0.05400,0.08752,0.2253,0.1210,0.05773,0.1136,0.03166,0.06518,0.06331,0.07635, 1.000,0.04469,0.08194
0.07821,0.3017,0.02421,0.08194,0.1881,0.2719,0.06704,0.02793,0.02607,0.07635,0.03724,0.03724,0.3147,0.1229,0.06518,0.04469,0.04469, 1.000,0.1210
0.1155,0.06704,0.08007,0.1173,0.1117,0.05028,0.04469,0.04097,0.06518,0.06704,0.06890,0.04097,0.04097,0.02793,0.02235,0.09497,0.08194,0.1210, 1.000
