Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.09333,0.09275,0.2557,0.1791,0.03478,0.02493,0.02261,0.02667,0.02087,0.01797,0.03362,0.03710,0.04580,0.05855,0.07072,0.03826,0.04174,0.06667
0.09333, 1.000,0.02377,0.03304,0.1345,0.2725,0.1426,0.02609,0.02899,0.01739,0.02609,0.03362,0.05565,0.09217,0.06841,0.04754,0.03710,0.05507,0.04986
0.09275,0.02377, 1.000,0.1090,0.02667,0.01739,0.02087,0.1200,0.02435,0.02725,0.03826,0.03536,0.02319,0.02667,0.04928,0.05739,0.02145,0.01449,0.04000
0.2557,0.03304,0.1090, 1.000,0.1270,0.02783,0.03130,0.02493,0.03594,0.02783,0.03130,0.04638,0.02493,0.02551,0.03884,0.05449,0.04000,0.04928,0.04812
0.1791,0.1345,0.02667,0.1270, 1.000,0.09797,0.02957,0.02841,0.02377,0.03188,0.01449,0.02783,0.06087,0.04464,0.04116,0.04870,0.03536,0.08580,0.05043
0.03478,0.2725,0.01739,0.02783,0.09797, 1.000,0.1414,0.03594,0.03188,0.02087,0.03652,0.03304,0.07420,0.05971,0.03884,0.02725,0.04754,0.08696,0.05101
0.02493,0.1426,0.02087,0.03130,0.02957,0.1414, 1.000,0.03478,0.05217,0.03072,0.03072,0.09391,0.04232,0.04870,0.03942,0.02609,0.01739,0.03884,0.02783
0.02261,0.02609,0.1200,0.02493,0.02841,0.03594,0.03478, 1.000,0.02957,0.03304,0.05391,0.04348,0.05101,0.03246,0.03362,0.03188,0.02667,0.02551,0.02203
0.02667,0.02899,0.02435,0.03594,0.02377,0.03188,0.05217,0.02957, 1.000,0.03014,0.03014,0.06899,0.02609,0.03942,0.02145,0.02899,0.02957,0.03478,0.03072
0.02087,0.01739,0.02725,0.02783,0.03188,0.02087,0.03072,0.03304,0.03014, 1.000,0.02783,0.03478,0.02377,0.01971,0.04348,0.02319,0.03304,0.02319,0.02899
0.01797,0.02609,0.03826,0.03130,0.01449,0.03652,0.03072,0.05391,0.03014,0.02783, 1.000,0.03768,0.03826,0.03014,0.02145,0.06145,0.02435,0.03014,0.02957
0.03362,0.03362,0.03536,0.04638,0.02783,0.03304,0.09391,0.04348,0.06899,0.03478,0.03768, 1.000,0.02667,0.04174,0.02261,0.02725,0.01739,0.02435,0.02725
0.03710,0.05565,0.02319,0.02493,0.06087,0.07420,0.04232,0.05101,0.02609,0.02377,0.03826,0.02667, 1.000,0.09681,0.02667,0.02667,0.01913,0.1032,0.02029
0.04580,0.09217,0.02667,0.02551,0.04464,0.05971,0.04870,0.03246,0.03942,0.01971,0.03014,0.04174,0.09681, 1.000,0.05681,0.02609,0.02029,0.08174,0.02261
0.05855,0.06841,0.04928,0.03884,0.04116,0.03884,0.03942,0.03362,0.02145,0.04348,0.02145,0.02261,0.02667,0.05681, 1.000,0.07362,0.01333,0.03246,0.02899
0.07072,0.04754,0.05739,0.05449,0.04870,0.02725,0.02609,0.03188,0.02899,0.02319,0.06145,0.02725,0.02667,0.02609,0.07362, 1.000,0.03420,0.02319,0.06725
0.03826,0.03710,0.02145,0.04000,0.03536,0.04754,0.01739,0.02667,0.02957,0.03304,0.02435,0.01739,0.01913,0.02029,0.01333,0.03420, 1.000,0.04638,0.2186
0.04174,0.05507,0.01449,0.04928,0.08580,0.08696,0.03884,0.02551,0.03478,0.02319,0.03014,0.02435,0.1032,0.08174,0.03246,0.02319,0.04638, 1.000,0.08580
0.06667,0.04986,0.04000,0.04812,0.05043,0.05101,0.02783,0.02203,0.03072,0.02899,0.02957,0.02725,0.02029,0.02261,0.02899,0.06725,0.2186,0.08580, 1.000
