Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.08059,0.05570,0.1224,0.05274,0.05063,0.03207,0.02236,0.02152,0.02743,0.03502,0.02447,0.03502,0.05148,0.1316,0.1359,0.1232,0.07004,0.1169
0.08059, 1.000,0.02743,0.02996,0.03460,0.09325,0.07046,0.03249,0.04219,0.02532,0.02068,0.01688,0.04557,0.05949,0.04135,0.04641,0.05316,0.03671,0.03882
0.05570,0.02743, 1.000,0.02321,0.02574,0.02827,0.01983,0.06203,0.02616,0.02954,0.04430,0.03080,0.01983,0.02363,0.04051,0.04599,0.04430,0.02743,0.03840
0.1224,0.02996,0.02321, 1.000,0.1329,0.03840,0.02363,0.03038,0.03966,0.03080,0.02827,0.04051,0.02785,0.02574,0.05949,0.08819,0.08059,0.08819,0.1451
0.05274,0.03460,0.02574,0.1329, 1.000,0.1236,0.02447,0.02321,0.02827,0.04262,0.02110,0.01730,0.03249,0.03038,0.03207,0.03755,0.04726,0.07595,0.06751
0.05063,0.09325,0.02827,0.03840,0.1236, 1.000,0.04177,0.05190,0.02827,0.02574,0.02236,0.02447,0.05949,0.05570,0.04051,0.03038,0.02954,0.07215,0.05148
0.03207,0.07046,0.01983,0.02363,0.02447,0.04177, 1.000,0.04726,0.02363,0.02363,0.02152,0.02996,0.1346,0.05316,0.03249,0.02996,0.02025,0.02827,0.02532
0.02236,0.03249,0.06203,0.03038,0.02321,0.05190,0.04726, 1.000,0.03755,0.01477,0.04895,0.05359,0.03882,0.03080,0.02405,0.02489,0.02194,0.02321,0.03460
0.02152,0.04219,0.02616,0.03966,0.02827,0.02827,0.02363,0.03755, 1.000,0.03333,0.02785,0.03544,0.02574,0.03797,0.02658,0.02152,0.02363,0.02321,0.03038
0.02743,0.02532,0.02954,0.03080,0.04262,0.02574,0.02363,0.01477,0.03333, 1.000,0.02700,0.02489,0.02068,0.02278,0.02785,0.02110,0.02152,0.03249,0.02869
0.03502,0.02068,0.04430,0.02827,0.02110,0.02236,0.02152,0.04895,0.02785,0.02700, 1.000,0.08059,0.03165,0.02321,0.02658,0.03586,0.02869,0.02996,0.02447
0.02447,0.01688,0.03080,0.04051,0.01730,0.02447,0.02996,0.05359,0.03544,0.02489,0.08059, 1.000,0.02658,0.03207,0.02489,0.03966,0.06582,0.01941,0.03502
0.03502,0.04557,0.01983,0.02785,0.03249,0.05949,0.1346,0.03882,0.02574,0.02068,0.03165,0.02658, 1.000,0.09198,0.03207,0.02194,0.01730,0.08101,0.03418
0.05148,0.05949,0.02363,0.02574,0.03038,0.05570,0.05316,0.03080,0.03797,0.02278,0.02321,0.03207,0.09198, 1.000,0.07595,0.02363,0.02068,0.06835,0.03671
0.1316,0.04135,0.04051,0.05949,0.03207,0.04051,0.03249,0.02405,0.02658,0.02785,0.02658,0.02489,0.03207,0.07595, 1.000,0.09367,0.03376,0.04262,0.05443
0.1359,0.04641,0.04599,0.08819,0.03755,0.03038,0.02996,0.02489,0.02152,0.02110,0.03586,0.03966,0.02194,0.02363,0.09367, 1.000,0.2051,0.03080,0.1004
0.1232,0.05316,0.04430,0.08059,0.04726,0.02954,0.02025,0.02194,0.02363,0.02152,0.02869,0.06582,0.01730,0.02068,0.03376,0.2051, 1.000,0.04895,0.1688
0.07004,0.03671,0.02743,0.08819,0.07595,0.07215,0.02827,0.02321,0.02321,0.03249,0.02996,0.01941,0.08101,0.06835,0.04262,0.03080,0.04895, 1.000,0.1363
0.1169,0.03882,0.03840,0.1451,0.06751,0.05148,0.02532,0.03460,0.03038,0.02869,0.02447,0.03502,0.03418,0.03671,0.05443,0.1004,0.1688,0.1363, 1.000
