Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1356,0.07324,0.3223,0.1474,0.1062,0.05063,0.01763,0.01808,0.01763,0.02351,0.02758,0.03029,0.05787,0.1397,0.1316,0.09132,0.07052,0.1297
0.1356, 1.000,0.02170,0.06555,0.1239,0.2821,0.1352,0.01763,0.02984,0.02441,0.02667,0.02351,0.06239,0.06374,0.06781,0.06465,0.05335,0.09448,0.06962
0.07324,0.02170, 1.000,0.06103,0.02080,0.02351,0.01944,0.1094,0.02622,0.04430,0.04069,0.02260,0.02893,0.03255,0.07369,0.08635,0.04295,0.03074,0.04656
0.3223,0.06555,0.06103, 1.000,0.2202,0.07640,0.02893,0.02622,0.02486,0.02532,0.03165,0.02486,0.02486,0.03571,0.09765,0.1216,0.1175,0.08454,0.2288
0.1474,0.1239,0.02080,0.2202, 1.000,0.2446,0.03978,0.01763,0.02080,0.02848,0.03029,0.02577,0.04747,0.05063,0.07459,0.06148,0.06826,0.1587,0.1637
0.1062,0.2821,0.02351,0.07640,0.2446, 1.000,0.09991,0.02215,0.02125,0.03436,0.02984,0.03436,0.07459,0.08183,0.08409,0.05108,0.04295,0.1478,0.1067
0.05063,0.1352,0.01944,0.02893,0.03978,0.09991, 1.000,0.03119,0.03255,0.02939,0.02803,0.03707,0.07731,0.08002,0.05515,0.03843,0.02758,0.05877,0.03843
0.01763,0.01763,0.1094,0.02622,0.01763,0.02215,0.03119, 1.000,0.04747,0.03210,0.05967,0.04250,0.03255,0.02170,0.03119,0.04747,0.02712,0.01808,0.03255
0.01808,0.02984,0.02622,0.02486,0.02080,0.02125,0.03255,0.04747, 1.000,0.03843,0.03526,0.05787,0.02893,0.02577,0.02532,0.04747,0.05922,0.02125,0.03617
0.01763,0.02441,0.04430,0.02532,0.02848,0.03436,0.02939,0.03210,0.03843, 1.000,0.04837,0.02441,0.02441,0.01854,0.04114,0.02577,0.02125,0.03029,0.02803
0.02351,0.02667,0.04069,0.03165,0.03029,0.02984,0.02803,0.05967,0.03526,0.04837, 1.000,0.1053,0.04973,0.01944,0.02260,0.03391,0.04295,0.03210,0.02125
0.02758,0.02351,0.02260,0.02486,0.02577,0.03436,0.03707,0.04250,0.05787,0.02441,0.1053, 1.000,0.03119,0.03843,0.03571,0.03933,0.05922,0.01854,0.02034
0.03029,0.06239,0.02893,0.02486,0.04747,0.07459,0.07731,0.03255,0.02893,0.02441,0.04973,0.03119, 1.000,0.1058,0.02712,0.01808,0.02396,0.1216,0.01808
0.05787,0.06374,0.03255,0.03571,0.05063,0.08183,0.08002,0.02170,0.02577,0.01854,0.01944,0.03843,0.1058, 1.000,0.09177,0.02080,0.01627,0.1225,0.03029
0.1397,0.06781,0.07369,0.09765,0.07459,0.08409,0.05515,0.03119,0.02532,0.04114,0.02260,0.03571,0.02712,0.09177, 1.000,0.1505,0.04656,0.04430,0.09222
0.1316,0.06465,0.08635,0.1216,0.06148,0.05108,0.03843,0.04747,0.04747,0.02577,0.03391,0.03933,0.01808,0.02080,0.1505, 1.000,0.1582,0.02577,0.1257
0.09132,0.05335,0.04295,0.1175,0.06826,0.04295,0.02758,0.02712,0.05922,0.02125,0.04295,0.05922,0.02396,0.01627,0.04656,0.1582, 1.000,0.03391,0.1560
0.07052,0.09448,0.03074,0.08454,0.1587,0.1478,0.05877,0.01808,0.02125,0.03029,0.03210,0.01854,0.1216,0.1225,0.04430,0.02577,0.03391, 1.000,0.09946
0.1297,0.06962,0.04656,0.2288,0.1637,0.1067,0.03843,0.03255,0.03617,0.02803,0.02125,0.02034,0.01808,0.03029,0.09222,0.1257,0.1560,0.09946, 1.000
