Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2617,0.1803,0.1310,0.1525,0.07263,0.06070,0.03346,0.03035,0.03087,0.03658,0.02231,0.03735,0.04825,0.07497,0.07601,0.03554,0.03735,0.06148
0.2617, 1.000,0.06770,0.06329,0.1318,0.1463,0.1559,0.02620,0.02542,0.02983,0.03398,0.02438,0.03917,0.05318,0.07808,0.06070,0.03113,0.04851,0.06485
0.1803,0.06770, 1.000,0.2314,0.06355,0.03813,0.03917,0.07860,0.02802,0.03424,0.03528,0.02516,0.02853,0.04099,0.06537,0.1048,0.04073,0.03450,0.06433
0.1310,0.06329,0.2314, 1.000,0.1336,0.04851,0.03320,0.06485,0.04021,0.02983,0.03035,0.01946,0.03684,0.03217,0.05110,0.08042,0.04747,0.05551,0.1043
0.1525,0.1318,0.06355,0.1336, 1.000,0.1735,0.05266,0.02672,0.02387,0.03372,0.03217,0.02335,0.06381,0.04773,0.05162,0.05655,0.04747,0.07393,0.09442
0.07263,0.1463,0.03813,0.04851,0.1735, 1.000,0.1100,0.02594,0.02594,0.02594,0.03217,0.02724,0.05396,0.06200,0.05240,0.03787,0.03191,0.05759,0.08119
0.06070,0.1559,0.03917,0.03320,0.05266,0.1100, 1.000,0.02646,0.03009,0.02905,0.02594,0.07730,0.04125,0.06122,0.06719,0.03969,0.02490,0.04125,0.04202
0.03346,0.02620,0.07860,0.06485,0.02672,0.02594,0.02646, 1.000,0.07652,0.02776,0.04150,0.02724,0.02542,0.02438,0.03787,0.06719,0.02931,0.01971,0.03709
0.03035,0.02542,0.02802,0.04021,0.02387,0.02594,0.03009,0.07652, 1.000,0.03424,0.02179,0.04410,0.02724,0.03969,0.02827,0.03061,0.04176,0.03139,0.05110
0.03087,0.02983,0.03424,0.02983,0.03372,0.02594,0.02905,0.02776,0.03424, 1.000,0.05318,0.02257,0.04669,0.02568,0.04125,0.03372,0.03217,0.05396,0.04150
0.03658,0.03398,0.03528,0.03035,0.03217,0.03217,0.02594,0.04150,0.02179,0.05318, 1.000,0.03346,0.03658,0.02983,0.02776,0.05188,0.02049,0.03320,0.02672
0.02231,0.02438,0.02516,0.01946,0.02335,0.02724,0.07730,0.02724,0.04410,0.02257,0.03346, 1.000,0.03061,0.05162,0.03243,0.02335,0.03087,0.02335,0.02153
0.03735,0.03917,0.02853,0.03684,0.06381,0.05396,0.04125,0.02542,0.02724,0.04669,0.03658,0.03061, 1.000,0.08249,0.02490,0.02620,0.02075,0.3276,0.02957
0.04825,0.05318,0.04099,0.03217,0.04773,0.06200,0.06122,0.02438,0.03969,0.02568,0.02983,0.05162,0.08249, 1.000,0.04929,0.02646,0.03009,0.07782,0.02361
0.07497,0.07808,0.06537,0.05110,0.05162,0.05240,0.06719,0.03787,0.02827,0.04125,0.02776,0.03243,0.02490,0.04929, 1.000,0.08093,0.02490,0.02724,0.03787
0.07601,0.06070,0.1048,0.08042,0.05655,0.03787,0.03969,0.06719,0.03061,0.03372,0.05188,0.02335,0.02620,0.02646,0.08093, 1.000,0.05992,0.02257,0.07834
0.03554,0.03113,0.04073,0.04747,0.04747,0.03191,0.02490,0.02931,0.04176,0.03217,0.02049,0.03087,0.02075,0.03009,0.02490,0.05992, 1.000,0.02309,0.1206
0.03735,0.04851,0.03450,0.05551,0.07393,0.05759,0.04125,0.01971,0.03139,0.05396,0.03320,0.02335,0.3276,0.07782,0.02724,0.02257,0.02309, 1.000,0.06122
0.06148,0.06485,0.06433,0.1043,0.09442,0.08119,0.04202,0.03709,0.05110,0.04150,0.02672,0.02153,0.02957,0.02361,0.03787,0.07834,0.1206,0.06122, 1.000
