Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1119,0.3449,0.1000,0.04153,0.02712,0.03814,0.05339,0.03136,0.02966,0.03220,0.01441,0.02288,0.02797,0.1127,0.1280,0.05254,0.04153,0.08136
0.1119, 1.000,0.05593,0.04831,0.03898,0.07458,0.1805,0.01695,0.01610,0.01271,0.03390,0.02881,0.02627,0.07542,0.08644,0.05508,0.05000,0.03220,0.05085
0.3449,0.05593, 1.000,0.1025,0.04322,0.02203,0.02797,0.1017,0.04068,0.01780,0.05254,0.02966,0.01356,0.02881,0.07881,0.1288,0.05424,0.03729,0.07203
0.1000,0.04831,0.1025, 1.000,0.1559,0.04492,0.02797,0.05508,0.05000,0.02712,0.02712,0.04068,0.04915,0.02373,0.06186,0.1144,0.1449,0.08644,0.1051
0.04153,0.03898,0.04322,0.1559, 1.000,0.1305,0.03729,0.03305,0.02712,0.04831,0.04576,0.02288,0.06864,0.05678,0.04661,0.06186,0.1017,0.07542,0.06949
0.02712,0.07458,0.02203,0.04492,0.1305, 1.000,0.07542,0.06102,0.02373,0.02203,0.04915,0.03136,0.09322,0.05339,0.04322,0.03729,0.07288,0.08390,0.05424
0.03814,0.1805,0.02797,0.02797,0.03729,0.07542, 1.000,0.03729,0.06102,0.03559,0.02797,0.09576,0.05339,0.1051,0.1178,0.04576,0.04068,0.06186,0.03051
0.05339,0.01695,0.1017,0.05508,0.03305,0.06102,0.03729, 1.000,0.03051,0.02881,0.07542,0.02881,0.05339,0.03051,0.03305,0.06525,0.02203,0.01102,0.02881
0.03136,0.01610,0.04068,0.05000,0.02712,0.02373,0.06102,0.03051, 1.000,0.08475,0.01356,0.1059,0.02203,0.06102,0.02542,0.01441,0.06017,0.02542,0.02881
0.02966,0.01271,0.01780,0.02712,0.04831,0.02203,0.03559,0.02881,0.08475, 1.000,0.05085,0.06525,0.03814,0.02288,0.05000,0.02119,0.02203,0.02458,0.02458
0.03220,0.03390,0.05254,0.02712,0.04576,0.04915,0.02797,0.07542,0.01356,0.05085, 1.000,0.01695,0.04068,0.01271,0.03051,0.04746,0.03220,0.009322,0.03390
0.01441,0.02881,0.02966,0.04068,0.02288,0.03136,0.09576,0.02881,0.1059,0.06525,0.01695, 1.000,0.04576,0.07881,0.04237,0.006780,0.09153,0.03305,0.03644
0.02288,0.02627,0.01356,0.04915,0.06864,0.09322,0.05339,0.05339,0.02203,0.03814,0.04068,0.04576, 1.000,0.07373,0.01610,0.03814,0.03220,0.1136,0.01610
0.02797,0.07542,0.02881,0.02373,0.05678,0.05339,0.1051,0.03051,0.06102,0.02288,0.01271,0.07881,0.07373, 1.000,0.1280,0.04322,0.02203,0.05000,0.03305
0.1127,0.08644,0.07881,0.06186,0.04661,0.04322,0.1178,0.03305,0.02542,0.05000,0.03051,0.04237,0.01610,0.1280, 1.000,0.1008,0.04492,0.04492,0.05000
0.1280,0.05508,0.1288,0.1144,0.06186,0.03729,0.04576,0.06525,0.01441,0.02119,0.04746,0.006780,0.03814,0.04322,0.1008, 1.000,0.1093,0.03305,0.1381
0.05254,0.05000,0.05424,0.1449,0.1017,0.07288,0.04068,0.02203,0.06017,0.02203,0.03220,0.09153,0.03220,0.02203,0.04492,0.1093, 1.000,0.03814,0.1059
0.04153,0.03220,0.03729,0.08644,0.07542,0.08390,0.06186,0.01102,0.02542,0.02458,0.009322,0.03305,0.1136,0.05000,0.04492,0.03305,0.03814, 1.000,0.07881
0.08136,0.05085,0.07203,0.1051,0.06949,0.05424,0.03051,0.02881,0.02881,0.02458,0.03390,0.03644,0.01610,0.03305,0.05000,0.1381,0.1059,0.07881, 1.000
