Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.06804,0.1856,0.2392,0.03711,0.03505,0.03299,0.06392,0.02371,0.01546,0.04227,0.02062,0.04330,0.08351,0.09381,0.2381,0.06701,0.07113,0.04536
0.06804, 1.000,0.03299,0.02990,0.07113,0.08454,0.1247,0.02165,0.01959,0.02474,0.01753,0.03814,0.03814,0.1113,0.05979,0.07113,0.02474,0.07320,0.04639
0.1856,0.03299, 1.000,0.09485,0.01753,0.02474,0.02887,0.2412,0.01959,0.02371,0.07526,0.02887,0.02165,0.01959,0.07113,0.1680,0.05361,0.03608,0.03608
0.2392,0.02990,0.09485, 1.000,0.07732,0.03505,0.01134,0.03814,0.06082,0.01649,0.02268,0.03402,0.009278,0.04639,0.04948,0.09175,0.09278,0.05052,0.1021
0.03711,0.07113,0.01753,0.07732, 1.000,0.1000,0.02784,0.02165,0.02680,0.06804,0.03505,0.02268,0.02474,0.02680,0.01443,0.01856,0.05567,0.06804,0.1031
0.03505,0.08454,0.02474,0.03505,0.1000, 1.000,0.05464,0.04330,0.01959,0.03814,0.06495,0.02680,0.1041,0.06289,0.01649,0.02577,0.02887,0.08144,0.04330
0.03299,0.1247,0.02887,0.01134,0.02784,0.05464, 1.000,0.02371,0.06082,0.01237,0.02062,0.1567,0.04845,0.1082,0.05464,0.03814,0.01443,0.02474,0.01959
0.06392,0.02165,0.2412,0.03814,0.02165,0.04330,0.02371, 1.000,0.03711,0.06804,0.1196,0.02887,0.04021,0.02784,0.05567,0.05979,0.04124,0.02990,0.01649
0.02371,0.01959,0.01959,0.06082,0.02680,0.01959,0.06082,0.03711, 1.000,0.07010,0.02062,0.1196,0.03093,0.04536,0.04124,0.02268,0.09072,0.03196,0.05155
0.01546,0.02474,0.02371,0.01649,0.06804,0.03814,0.01237,0.06804,0.07010, 1.000,0.06392,0.04227,0.03711,0.01443,0.07732,0.03196,0.03402,0.01237,0.04639
0.04227,0.01753,0.07526,0.02268,0.03505,0.06495,0.02062,0.1196,0.02062,0.06392, 1.000,0.03918,0.06082,0.02577,0.03918,0.05567,0.03299,0.04227,0.02577
0.02062,0.03814,0.02887,0.03402,0.02268,0.02680,0.1567,0.02887,0.1196,0.04227,0.03918, 1.000,0.03608,0.04124,0.02990,0.02474,0.04021,0.02784,0.02371
0.04330,0.03814,0.02165,0.009278,0.02474,0.1041,0.04845,0.04021,0.03093,0.03711,0.06082,0.03608, 1.000,0.05773,0.01649,0.03299,0.01340,0.1072,0.02887
0.08351,0.1113,0.01959,0.04639,0.02680,0.06289,0.1082,0.02784,0.04536,0.01443,0.02577,0.04124,0.05773, 1.000,0.05464,0.03814,0.03608,0.09072,0.04227
0.09381,0.05979,0.07113,0.04948,0.01443,0.01649,0.05464,0.05567,0.04124,0.07732,0.03918,0.02990,0.01649,0.05464, 1.000,0.1268,0.02680,0.03402,0.03093
0.2381,0.07113,0.1680,0.09175,0.01856,0.02577,0.03814,0.05979,0.02268,0.03196,0.05567,0.02474,0.03299,0.03814,0.1268, 1.000,0.07526,0.01753,0.07835
0.06701,0.02474,0.05361,0.09278,0.05567,0.02887,0.01443,0.04124,0.09072,0.03402,0.03299,0.04021,0.01340,0.03608,0.02680,0.07526, 1.000,0.02474,0.1082
0.07113,0.07320,0.03608,0.05052,0.06804,0.08144,0.02474,0.02990,0.03196,0.01237,0.04227,0.02784,0.1072,0.09072,0.03402,0.01753,0.02474, 1.000,0.09897
0.04536,0.04639,0.03608,0.1021,0.1031,0.04330,0.01959,0.01649,0.05155,0.04639,0.02577,0.02371,0.02887,0.04227,0.03093,0.07835,0.1082,0.09897, 1.000
