Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.4623,0.1101,0.1761,0.08176,0.1604,0.2547,0.02830,0.01887,0.04403,0.01258,0.04088,0.04403,0.2421,0.2704,0.1698,0.06918,0.05031,0.09119
0.4623, 1.000,0.07547,0.1038,0.1447,0.3176,0.3365,0.05031,0.04088,0.02516,0.01572,0.04403,0.08176,0.3711,0.1698,0.1352,0.03145,0.09748,0.1069
0.1101,0.07547, 1.000,0.05031,0.009434,0.01572,0.08805,0.04717,0.01258,0.07862,0.03774,0.02830,0.01572,0.05346,0.1226,0.1258,0.01572,0.009434,0.03145
0.1761,0.1038,0.05031, 1.000,0.07233,0.06918,0.05975,0.02201,0.04717,0.04403,0.009434,0.07862,0.03145,0.05346,0.06918,0.1855,0.1509,0.01887,0.09748
0.08176,0.1447,0.009434,0.07233, 1.000,0.3239,0.09119,0.05346,0.02201,0.04088,0.03459,0.02201,0.09748,0.1006,0.05031,0.05660,0.08491,0.1069,0.1415
0.1604,0.3176,0.01572,0.06918,0.3239, 1.000,0.1226,0.03459,0.01887,0.009434,0.04403,0.02201,0.1635,0.1321,0.09119,0.06918,0.04403,0.2170,0.1478
0.2547,0.3365,0.08805,0.05975,0.09119,0.1226, 1.000,0.04403,0.06289,0.02201,0.01887,0.09119,0.05031,0.3302,0.1226,0.1038,0.05346,0.03459,0.05660
0.02830,0.05031,0.04717,0.02201,0.05346,0.03459,0.04403, 1.000,0.05031,0.09119,0.1069,0.04403,0.09748,0.06289,0.02830,0.05975,0.02516,0.05346,0.03145
0.01887,0.04088,0.01258,0.04717,0.02201,0.01887,0.06289,0.05031, 1.000,0.02201,0.02201,0.1038,0.02516,0.05975,0.02516,0.01887,0.07547,0.01258,0.02516
0.04403,0.02516,0.07862,0.04403,0.04088,0.009434,0.02201,0.09119,0.02201, 1.000,0.05660,0.05346,0.04088,0.04088,0.02516,0.04717,0.04717,0.02516,0.03774
0.01258,0.01572,0.03774,0.009434,0.03459,0.04403,0.01887,0.1069,0.02201,0.05660, 1.000,0.01887,0.1258,0.03145,0.03459,0.03145,0.01572,0.1038,0.05346
0.04088,0.04403,0.02830,0.07862,0.02201,0.02201,0.09119,0.04403,0.1038,0.05346,0.01887, 1.000,0.03774,0.09119,0.06918,0.02830,0.1761,0.02201,0.03774
0.04403,0.08176,0.01572,0.03145,0.09748,0.1635,0.05031,0.09748,0.02516,0.04088,0.1258,0.03774, 1.000,0.1384,0.05031,0.01572,0.01887,0.4591,0.1195
0.2421,0.3711,0.05346,0.05346,0.1006,0.1321,0.3302,0.06289,0.05975,0.04088,0.03145,0.09119,0.1384, 1.000,0.1352,0.05660,0.02516,0.1006,0.03459
0.2704,0.1698,0.1226,0.06918,0.05031,0.09119,0.1226,0.02830,0.02516,0.02516,0.03459,0.06918,0.05031,0.1352, 1.000,0.1226,0.05346,0.04088,0.03459
0.1698,0.1352,0.1258,0.1855,0.05660,0.06918,0.1038,0.05975,0.01887,0.04717,0.03145,0.02830,0.01572,0.05660,0.1226, 1.000,0.1258,0.009434,0.1069
0.06918,0.03145,0.01572,0.1509,0.08491,0.04403,0.05346,0.02516,0.07547,0.04717,0.01572,0.1761,0.01887,0.02516,0.05346,0.1258, 1.000,0.009434,0.1289
0.05031,0.09748,0.009434,0.01887,0.1069,0.2170,0.03459,0.05346,0.01258,0.02516,0.1038,0.02201,0.4591,0.1006,0.04088,0.009434,0.009434, 1.000,0.1604
0.09119,0.1069,0.03145,0.09748,0.1415,0.1478,0.05660,0.03145,0.02516,0.03774,0.05346,0.03774,0.1195,0.03459,0.03459,0.1069,0.1289,0.1604, 1.000
