Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3260,0.2091,0.2477,0.1237,0.1007,0.1001,0.02922,0.02723,0.04255,0.03830,0.02184,0.02922,0.1095,0.2315,0.1396,0.03858,0.08340,0.08170
0.3260, 1.000,0.08652,0.09333,0.08823,0.2088,0.2902,0.02610,0.04057,0.04170,0.03319,0.02156,0.04454,0.1478,0.1730,0.08908,0.03064,0.09135,0.06610
0.2091,0.08652, 1.000,0.1016,0.03745,0.03121,0.03943,0.1064,0.02043,0.05901,0.06695,0.02809,0.02411,0.03404,0.09333,0.1279,0.04113,0.02809,0.04567
0.2477,0.09333,0.1016, 1.000,0.2865,0.06156,0.03035,0.02610,0.02553,0.02156,0.04057,0.02582,0.02922,0.05248,0.08936,0.1231,0.07206,0.08142,0.1172
0.1237,0.08823,0.03745,0.2865, 1.000,0.1265,0.03461,0.02695,0.02752,0.02156,0.02355,0.02496,0.05447,0.07489,0.06411,0.07518,0.04908,0.1489,0.1316
0.1007,0.2088,0.03121,0.06156,0.1265, 1.000,0.1194,0.02355,0.03574,0.02468,0.02752,0.02383,0.07234,0.1396,0.08652,0.05390,0.03007,0.1563,0.08312
0.1001,0.2902,0.03943,0.03035,0.03461,0.1194, 1.000,0.02723,0.05447,0.03830,0.01986,0.05248,0.04624,0.1197,0.1052,0.04199,0.02099,0.06270,0.03206
0.02922,0.02610,0.1064,0.02610,0.02695,0.02355,0.02723, 1.000,0.03234,0.03603,0.06411,0.03177,0.05730,0.02809,0.02582,0.04596,0.03035,0.03064,0.02809
0.02723,0.04057,0.02043,0.02553,0.02752,0.03574,0.05447,0.03234, 1.000,0.03348,0.02752,0.05645,0.03206,0.07035,0.03433,0.02298,0.03858,0.02213,0.02440
0.04255,0.04170,0.05901,0.02156,0.02156,0.02468,0.03830,0.03603,0.03348, 1.000,0.03348,0.03376,0.02411,0.02525,0.04255,0.02894,0.02894,0.02156,0.02099
0.03830,0.03319,0.06695,0.04057,0.02355,0.02752,0.01986,0.06411,0.02752,0.03348, 1.000,0.03348,0.03376,0.03149,0.03064,0.05390,0.02752,0.02270,0.01986
0.02184,0.02156,0.02809,0.02582,0.02496,0.02383,0.05248,0.03177,0.05645,0.03376,0.03348, 1.000,0.02865,0.04312,0.03007,0.02582,0.05872,0.02270,0.02582
0.02922,0.04454,0.02411,0.02922,0.05447,0.07234,0.04624,0.05730,0.03206,0.02411,0.03376,0.02865, 1.000,0.09021,0.02468,0.02014,0.02723,0.1623,0.03745
0.1095,0.1478,0.03404,0.05248,0.07489,0.1396,0.1197,0.02809,0.07035,0.02525,0.03149,0.04312,0.09021, 1.000,0.1030,0.02752,0.01901,0.1674,0.03121
0.2315,0.1730,0.09333,0.08936,0.06411,0.08652,0.1052,0.02582,0.03433,0.04255,0.03064,0.03007,0.02468,0.1030, 1.000,0.1030,0.02553,0.06099,0.05759
0.1396,0.08908,0.1279,0.1231,0.07518,0.05390,0.04199,0.04596,0.02298,0.02894,0.05390,0.02582,0.02014,0.02752,0.1030, 1.000,0.1027,0.03972,0.1427
0.03858,0.03064,0.04113,0.07206,0.04908,0.03007,0.02099,0.03035,0.03858,0.02894,0.02752,0.05872,0.02723,0.01901,0.02553,0.1027, 1.000,0.03915,0.2023
0.08340,0.09135,0.02809,0.08142,0.1489,0.1563,0.06270,0.03064,0.02213,0.02156,0.02270,0.02270,0.1623,0.1674,0.06099,0.03972,0.03915, 1.000,0.1265
0.08170,0.06610,0.04567,0.1172,0.1316,0.08312,0.03206,0.02809,0.02440,0.02099,0.01986,0.02582,0.03745,0.03121,0.05759,0.1427,0.2023,0.1265, 1.000
