Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.09558,0.3028,0.1622,0.1478,0.1116,0.03373,0.03373,0.01285,0.02892,0.03454,0.02169,0.03293,0.07871,0.08193,0.1390,0.06024,0.1004,0.1333
0.09558, 1.000,0.09639,0.03936,0.04337,0.1365,0.1711,0.03775,0.04659,0.03614,0.02169,0.04578,0.03855,0.1454,0.1446,0.09558,0.02169,0.06827,0.03695
0.3028,0.09639, 1.000,0.1839,0.1631,0.1855,0.02892,0.04257,0.03213,0.03052,0.03052,0.02972,0.02892,0.06506,0.08916,0.1960,0.08032,0.09478,0.1510
0.1622,0.03936,0.1839, 1.000,0.5325,0.09157,0.01526,0.03373,0.03213,0.04659,0.03133,0.03775,0.05221,0.05863,0.05542,0.07149,0.1068,0.1486,0.1663
0.1478,0.04337,0.1631,0.5325, 1.000,0.1213,0.01365,0.03454,0.02410,0.04980,0.02811,0.03373,0.04418,0.05382,0.05542,0.07550,0.1052,0.2056,0.2016
0.1116,0.1365,0.1855,0.09157,0.1213, 1.000,0.05542,0.02249,0.01606,0.02892,0.02731,0.01847,0.05622,0.1462,0.1357,0.1076,0.02570,0.2378,0.1245
0.03373,0.1711,0.02892,0.01526,0.01365,0.05542, 1.000,0.03936,0.08112,0.06024,0.03052,0.07309,0.02410,0.09639,0.1133,0.02570,0.01285,0.04016,0.02651
0.03373,0.03775,0.04257,0.03373,0.03454,0.02249,0.03936, 1.000,0.05221,0.04739,0.02169,0.04016,0.04177,0.02169,0.04498,0.08434,0.04257,0.01446,0.02731
0.01285,0.04659,0.03213,0.03213,0.02410,0.01606,0.08112,0.05221, 1.000,0.09558,0.02008,0.1390,0.02490,0.05622,0.03213,0.01687,0.02570,0.02410,0.02651
0.02892,0.03614,0.03052,0.04659,0.04980,0.02892,0.06024,0.04739,0.09558, 1.000,0.06024,0.04337,0.03534,0.03775,0.04096,0.01365,0.03936,0.04257,0.03855
0.03454,0.02169,0.03052,0.03133,0.02811,0.02731,0.03052,0.02169,0.02008,0.06024, 1.000,0.05462,0.02972,0.03213,0.03614,0.05060,0.01285,0.03293,0.02651
0.02169,0.04578,0.02972,0.03775,0.03373,0.01847,0.07309,0.04016,0.1390,0.04337,0.05462, 1.000,0.02570,0.05221,0.03534,0.03052,0.06827,0.02169,0.03614
0.03293,0.03855,0.02892,0.05221,0.04418,0.05622,0.02410,0.04177,0.02490,0.03534,0.02972,0.02570, 1.000,0.06908,0.03052,0.01446,0.02008,0.1414,0.02249
0.07871,0.1454,0.06506,0.05863,0.05382,0.1462,0.09639,0.02169,0.05622,0.03775,0.03213,0.05221,0.06908, 1.000,0.1904,0.05783,0.02731,0.1076,0.03936
0.08193,0.1446,0.08916,0.05542,0.05542,0.1357,0.1133,0.04498,0.03213,0.04096,0.03614,0.03534,0.03052,0.1904, 1.000,0.1293,0.04016,0.08594,0.09558
0.1390,0.09558,0.1960,0.07149,0.07550,0.1076,0.02570,0.08434,0.01687,0.01365,0.05060,0.03052,0.01446,0.05783,0.1293, 1.000,0.08032,0.04418,0.1518
0.06024,0.02169,0.08032,0.1068,0.1052,0.02570,0.01285,0.04257,0.02570,0.03936,0.01285,0.06827,0.02008,0.02731,0.04016,0.08032, 1.000,0.05382,0.2378
0.1004,0.06827,0.09478,0.1486,0.2056,0.2378,0.04016,0.01446,0.02410,0.04257,0.03293,0.02169,0.1414,0.1076,0.08594,0.04418,0.05382, 1.000,0.1454
0.1333,0.03695,0.1510,0.1663,0.2016,0.1245,0.02651,0.02731,0.02651,0.03855,0.02651,0.03614,0.02249,0.03936,0.09558,0.1518,0.2378,0.1454, 1.000
