Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2768,0.1556,0.2263,0.06061,0.05253,0.01616,0.08283,0.01818,0.03030,0.08081,0.02424,0.02828,0.02424,0.04444,0.1980,0.07475,0.04242,0.1091
0.2768, 1.000,0.04646,0.1798,0.1010,0.1152,0.09697,0.03838,0.03030,0.01616,0.03636,0.03232,0.05253,0.09495,0.1232,0.1717,0.04848,0.1071,0.1838
0.1556,0.04646, 1.000,0.07879,0.06263,0.03636,0.02424,0.1818,0.01010,0.07677,0.1859,0.03232,0.05455,0.03434,0.05455,0.1232,0.06869,0.06061,0.07677
0.2263,0.1798,0.07879, 1.000,0.1677,0.06869,0.01616,0.05455,0.01818,0.03434,0.05859,0.06061,0.03838,0.02626,0.01414,0.1333,0.08081,0.08081,0.1576
0.06061,0.1010,0.06263,0.1677, 1.000,0.3333,0.05253,0.04848,0.01818,0.03636,0.06263,0.02222,0.1091,0.08889,0.05051,0.06263,0.04242,0.2646,0.1798
0.05253,0.1152,0.03636,0.06869,0.3333, 1.000,0.1111,0.02828,0.01818,0.02020,0.02222,0.01212,0.1091,0.1758,0.08889,0.04040,0.03232,0.3980,0.1071
0.01616,0.09697,0.02424,0.01616,0.05253,0.1111, 1.000,0.006061,0.03636,0.01616,0.006061,0.08081,0.07677,0.1596,0.2465,0.03636,0.03636,0.04848,0.04040
0.08283,0.03838,0.1818,0.05455,0.04848,0.02828,0.006061, 1.000,0.02424,0.05051,0.09293,0.02626,0.09697,0.03030,0.02020,0.06263,0.03232,0.03838,0.05657
0.01818,0.03030,0.01010,0.01818,0.01818,0.01818,0.03636,0.02424, 1.000,0.01212,0.02020,0.1758,0.01212,0.02222,0.04040,0.03838,0.09293,0.01212,0.03030
0.03030,0.01616,0.07677,0.03434,0.03636,0.02020,0.01616,0.05051,0.01212, 1.000,0.1253,0.02828,0.03434,0.01414,0.03434,0.01818,0.01212,0.02424,0.02020
0.08081,0.03636,0.1859,0.05859,0.06263,0.02222,0.006061,0.09293,0.02020,0.1253, 1.000,0.02222,0.03838,0.02020,0.02828,0.03030,0.01010,0.02828,0.03434
0.02424,0.03232,0.03232,0.06061,0.02222,0.01212,0.08081,0.02626,0.1758,0.02828,0.02222, 1.000,0.03030,0.01414,0.06263,0.01616,0.05051,0.03636,0.03434
0.02828,0.05253,0.05455,0.03838,0.1091,0.1091,0.07677,0.09697,0.01212,0.03434,0.03838,0.03030, 1.000,0.07273,0.05051,0.02828,0.01818,0.09495,0.05051
0.02424,0.09495,0.03434,0.02626,0.08889,0.1758,0.1596,0.03030,0.02222,0.01414,0.02020,0.01414,0.07273, 1.000,0.1232,0.04242,0.03030,0.2040,0.06061
0.04444,0.1232,0.05455,0.01414,0.05051,0.08889,0.2465,0.02020,0.04040,0.03434,0.02828,0.06263,0.05051,0.1232, 1.000,0.1051,0.03838,0.05455,0.04848
0.1980,0.1717,0.1232,0.1333,0.06263,0.04040,0.03636,0.06263,0.03838,0.01818,0.03030,0.01616,0.02828,0.04242,0.1051, 1.000,0.1051,0.06869,0.2061
0.07475,0.04848,0.06869,0.08081,0.04242,0.03232,0.03636,0.03232,0.09293,0.01212,0.01010,0.05051,0.01818,0.03030,0.03838,0.1051, 1.000,0.02626,0.1535
0.04242,0.1071,0.06061,0.08081,0.2646,0.3980,0.04848,0.03838,0.01212,0.02424,0.02828,0.03636,0.09495,0.2040,0.05455,0.06869,0.02626, 1.000,0.1232
0.1091,0.1838,0.07677,0.1576,0.1798,0.1071,0.04040,0.05657,0.03030,0.02020,0.03434,0.03434,0.05051,0.06061,0.04848,0.2061,0.1535,0.1232, 1.000
