Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2097,0.09149,0.1407,0.06413,0.08480,0.06474,0.02614,0.02401,0.01763,0.02188,0.02553,0.03313,0.06717,0.1116,0.1088,0.05046,0.1012,0.08723
0.2097, 1.000,0.02675,0.05198,0.05228,0.1502,0.2650,0.02492,0.02523,0.01976,0.02097,0.02857,0.03830,0.09848,0.09544,0.07052,0.02705,0.1030,0.06383
0.09149,0.02675, 1.000,0.06140,0.02827,0.02857,0.01581,0.09301,0.02401,0.02827,0.06261,0.01733,0.02067,0.01398,0.04225,0.08571,0.05593,0.02614,0.04559
0.1407,0.05198,0.06140, 1.000,0.2550,0.05714,0.02128,0.01854,0.02523,0.02675,0.03009,0.02888,0.03100,0.03313,0.03556,0.06960,0.08267,0.09301,0.1277
0.06413,0.05228,0.02827,0.2550, 1.000,0.1143,0.02219,0.02523,0.02705,0.03252,0.02827,0.02219,0.04195,0.03647,0.03495,0.03708,0.03951,0.1325,0.09392
0.08480,0.1502,0.02857,0.05714,0.1143, 1.000,0.07751,0.02827,0.02979,0.01884,0.03283,0.01884,0.06353,0.08237,0.05623,0.04559,0.02492,0.1626,0.06717
0.06474,0.2650,0.01581,0.02128,0.02219,0.07751, 1.000,0.03343,0.03982,0.02675,0.02036,0.06809,0.04529,0.09392,0.07264,0.03343,0.02280,0.06839,0.04073
0.02614,0.02492,0.09301,0.01854,0.02523,0.02827,0.03343, 1.000,0.02888,0.03222,0.06170,0.03435,0.06991,0.02462,0.02492,0.02705,0.02644,0.02705,0.02857
0.02401,0.02523,0.02401,0.02523,0.02705,0.02979,0.03982,0.02888, 1.000,0.04590,0.02766,0.06201,0.02918,0.05137,0.03556,0.03556,0.03891,0.02614,0.02979
0.01763,0.01976,0.02827,0.02675,0.03252,0.01884,0.02675,0.03222,0.04590, 1.000,0.03222,0.03799,0.02492,0.02675,0.03040,0.03070,0.03131,0.02310,0.02614
0.02188,0.02097,0.06261,0.03009,0.02827,0.03283,0.02036,0.06170,0.02766,0.03222, 1.000,0.02371,0.04286,0.02219,0.02310,0.04316,0.02584,0.02280,0.02675
0.02553,0.02857,0.01733,0.02888,0.02219,0.01884,0.06809,0.03435,0.06201,0.03799,0.02371, 1.000,0.02888,0.04103,0.03283,0.02401,0.03070,0.03343,0.02644
0.03313,0.03830,0.02067,0.03100,0.04195,0.06353,0.04529,0.06991,0.02918,0.02492,0.04286,0.02888, 1.000,0.06748,0.02796,0.01702,0.02584,0.1210,0.02614
0.06717,0.09848,0.01398,0.03313,0.03647,0.08237,0.09392,0.02462,0.05137,0.02675,0.02219,0.04103,0.06748, 1.000,0.09392,0.03040,0.01368,0.09635,0.02584
0.1116,0.09544,0.04225,0.03556,0.03495,0.05623,0.07264,0.02492,0.03556,0.03040,0.02310,0.03283,0.02796,0.09392, 1.000,0.06201,0.01854,0.04711,0.02979
0.1088,0.07052,0.08571,0.06960,0.03708,0.04559,0.03343,0.02705,0.03556,0.03070,0.04316,0.02401,0.01702,0.03040,0.06201, 1.000,0.1006,0.03191,0.1568
0.05046,0.02705,0.05593,0.08267,0.03951,0.02492,0.02280,0.02644,0.03891,0.03131,0.02584,0.03070,0.02584,0.01368,0.01854,0.1006, 1.000,0.02766,0.2012
0.1012,0.1030,0.02614,0.09301,0.1325,0.1626,0.06839,0.02705,0.02614,0.02310,0.02280,0.03343,0.1210,0.09635,0.04711,0.03191,0.02766, 1.000,0.07751
0.08723,0.06383,0.04559,0.1277,0.09392,0.06717,0.04073,0.02857,0.02979,0.02614,0.02675,0.02644,0.02614,0.02584,0.02979,0.1568,0.2012,0.07751, 1.000
