Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1477,0.06610,0.2658,0.1252,0.08439,0.03094,0.007032,0.02110,0.03235,0.02672,0.02813,0.08579,0.07314,0.1181,0.1252,0.05907,0.09142,0.1139
0.1477, 1.000,0.01266,0.04501,0.1238,0.1969,0.1097,0.02391,0.02813,0.03376,0.02391,0.02532,0.07454,0.1139,0.07454,0.05345,0.02672,0.09705,0.09845
0.06610,0.01266, 1.000,0.09564,0.01547,0.01547,0.01547,0.2349,0.02532,0.03657,0.05767,0.02954,0.009845,0.02672,0.06048,0.06892,0.03938,0.01547,0.02954
0.2658,0.04501,0.09564, 1.000,0.2152,0.05485,0.02532,0.02813,0.06188,0.05907,0.05485,0.04079,0.04923,0.03938,0.05485,0.09423,0.09001,0.08861,0.1350
0.1252,0.1238,0.01547,0.2152, 1.000,0.2096,0.04219,0.02813,0.01406,0.06892,0.04501,0.02391,0.1238,0.07595,0.04782,0.04923,0.09001,0.1617,0.1575
0.08439,0.1969,0.01547,0.05485,0.2096, 1.000,0.1857,0.04782,0.04079,0.03938,0.06048,0.03516,0.1294,0.1083,0.08158,0.03094,0.04923,0.1758,0.1181
0.03094,0.1097,0.01547,0.02532,0.04219,0.1857, 1.000,0.03235,0.04501,0.04079,0.03797,0.08298,0.06892,0.09705,0.07173,0.02672,0.03657,0.06892,0.07032
0.007032,0.02391,0.2349,0.02813,0.02813,0.04782,0.03235, 1.000,0.01828,0.03094,0.1378,0.06329,0.02110,0.03094,0.02250,0.02672,0.03657,0.02532,0.01266
0.02110,0.02813,0.02532,0.06188,0.01406,0.04079,0.04501,0.01828, 1.000,0.05485,0.04501,0.1027,0.03235,0.04782,0.04782,0.02391,0.04219,0.04360,0.03657
0.03235,0.03376,0.03657,0.05907,0.06892,0.03938,0.04079,0.03094,0.05485, 1.000,0.05204,0.03797,0.05063,0.03938,0.05204,0.02391,0.01547,0.04782,0.03094
0.02672,0.02391,0.05767,0.05485,0.04501,0.06048,0.03797,0.1378,0.04501,0.05204, 1.000,0.06892,0.04501,0.03938,0.02391,0.04923,0.04641,0.03235,0.03235
0.02813,0.02532,0.02954,0.04079,0.02391,0.03516,0.08298,0.06329,0.1027,0.03797,0.06892, 1.000,0.03657,0.07173,0.03797,0.01688,0.04219,0.04079,0.007032
0.08579,0.07454,0.009845,0.04923,0.1238,0.1294,0.06892,0.02110,0.03235,0.05063,0.04501,0.03657, 1.000,0.1899,0.05063,0.01828,0.04923,0.2433,0.05345
0.07314,0.1139,0.02672,0.03938,0.07595,0.1083,0.09705,0.03094,0.04782,0.03938,0.03938,0.07173,0.1899, 1.000,0.1646,0.02532,0.02110,0.1378,0.05626
0.1181,0.07454,0.06048,0.05485,0.04782,0.08158,0.07173,0.02250,0.04782,0.05204,0.02391,0.03797,0.05063,0.1646, 1.000,0.1294,0.02391,0.06329,0.06751
0.1252,0.05345,0.06892,0.09423,0.04923,0.03094,0.02672,0.02672,0.02391,0.02391,0.04923,0.01688,0.01828,0.02532,0.1294, 1.000,0.1392,0.03938,0.1547
0.05907,0.02672,0.03938,0.09001,0.09001,0.04923,0.03657,0.03657,0.04219,0.01547,0.04641,0.04219,0.04923,0.02110,0.02391,0.1392, 1.000,0.05907,0.2419
0.09142,0.09705,0.01547,0.08861,0.1617,0.1758,0.06892,0.02532,0.04360,0.04782,0.03235,0.04079,0.2433,0.1378,0.06329,0.03938,0.05907, 1.000,0.1899
0.1139,0.09845,0.02954,0.1350,0.1575,0.1181,0.07032,0.01266,0.03657,0.03094,0.03235,0.007032,0.05345,0.05626,0.06751,0.1547,0.2419,0.1899, 1.000
