Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2622,0.2238,0.2200,0.08487,0.02893,0.05594,0.02511,0.03465,0.02034,0.02193,0.02193,0.03910,0.06929,0.1214,0.1755,0.07661,0.06675,0.08264
0.2622, 1.000,0.1268,0.08487,0.07470,0.06834,0.1275,0.02384,0.02924,0.02161,0.02034,0.02098,0.07088,0.09536,0.08837,0.1163,0.1227,0.09758,0.1214
0.2238,0.1268, 1.000,0.08296,0.03655,0.01526,0.04482,0.05118,0.02988,0.01621,0.03655,0.01526,0.02479,0.04514,0.1297,0.1481,0.04132,0.03719,0.04323
0.2200,0.08487,0.08296, 1.000,0.2422,0.03655,0.03592,0.02606,0.06484,0.04069,0.02543,0.02924,0.05340,0.02829,0.06135,0.07819,0.08837,0.07629,0.1132
0.08487,0.07470,0.03655,0.2422, 1.000,0.06802,0.03878,0.02479,0.04037,0.04228,0.03910,0.02225,0.07851,0.03846,0.03910,0.04355,0.08010,0.1103,0.1465
0.02893,0.06834,0.01526,0.03655,0.06802, 1.000,0.1519,0.02257,0.02861,0.03433,0.04482,0.02352,0.06548,0.07502,0.04164,0.03274,0.04291,0.08296,0.08900
0.05594,0.1275,0.04482,0.03592,0.03878,0.1519, 1.000,0.02289,0.02384,0.01971,0.02797,0.04482,0.08519,0.1621,0.1087,0.05118,0.03592,0.08868,0.07438
0.02511,0.02384,0.05118,0.02606,0.02479,0.02257,0.02289, 1.000,0.03020,0.03624,0.07343,0.02066,0.05340,0.02702,0.01939,0.02479,0.01399,0.01430,0.02289
0.03465,0.02924,0.02988,0.06484,0.04037,0.02861,0.02384,0.03020, 1.000,0.07120,0.02670,0.04673,0.02765,0.02193,0.02384,0.03242,0.06135,0.02829,0.04418
0.02034,0.02161,0.01621,0.04069,0.04228,0.03433,0.01971,0.03624,0.07120, 1.000,0.04259,0.03179,0.03210,0.02034,0.02638,0.02829,0.04005,0.03719,0.04069
0.02193,0.02034,0.03655,0.02543,0.03910,0.04482,0.02797,0.07343,0.02670,0.04259, 1.000,0.04037,0.04069,0.03401,0.02543,0.01844,0.02416,0.04259,0.03528
0.02193,0.02098,0.01526,0.02924,0.02225,0.02352,0.04482,0.02066,0.04673,0.03179,0.04037, 1.000,0.02352,0.04069,0.02734,0.02352,0.03592,0.02003,0.02797
0.03910,0.07088,0.02479,0.05340,0.07851,0.06548,0.08519,0.05340,0.02765,0.03210,0.04069,0.02352, 1.000,0.1154,0.03433,0.02924,0.02670,0.2451,0.07692
0.06929,0.09536,0.04514,0.02829,0.03846,0.07502,0.1621,0.02702,0.02193,0.02034,0.03401,0.04069,0.1154, 1.000,0.1195,0.03560,0.02670,0.1125,0.05054
0.1214,0.08837,0.1297,0.06135,0.03910,0.04164,0.1087,0.01939,0.02384,0.02638,0.02543,0.02734,0.03433,0.1195, 1.000,0.1100,0.03497,0.06198,0.06771
0.1755,0.1163,0.1481,0.07819,0.04355,0.03274,0.05118,0.02479,0.03242,0.02829,0.01844,0.02352,0.02924,0.03560,0.1100, 1.000,0.1141,0.04450,0.08296
0.07661,0.1227,0.04132,0.08837,0.08010,0.04291,0.03592,0.01399,0.06135,0.04005,0.02416,0.03592,0.02670,0.02670,0.03497,0.1141, 1.000,0.03878,0.1376
0.06675,0.09758,0.03719,0.07629,0.1103,0.08296,0.08868,0.01430,0.02829,0.03719,0.04259,0.02003,0.2451,0.1125,0.06198,0.04450,0.03878, 1.000,0.1682
0.08264,0.1214,0.04323,0.1132,0.1465,0.08900,0.07438,0.02289,0.04418,0.04069,0.03528,0.02797,0.07692,0.05054,0.06771,0.08296,0.1376,0.1682, 1.000
