Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1359,0.08101,0.07932,0.06414,0.04219,0.06751,0.02532,0.01688,0.03376,0.02532,0.01857,0.02785,0.07342,0.1089,0.1443,0.04810,0.07848,0.06414
0.1359, 1.000,0.02278,0.02700,0.03797,0.1257,0.2624,0.02363,0.03882,0.03038,0.02532,0.03207,0.06414,0.1586,0.09114,0.06920,0.02954,0.08945,0.04557
0.08101,0.02278, 1.000,0.04135,0.03544,0.01519,0.03882,0.1266,0.02363,0.04557,0.04304,0.04219,0.02869,0.02532,0.05654,0.08186,0.03376,0.02278,0.05232
0.07932,0.02700,0.04135, 1.000,0.1072,0.03122,0.03460,0.04051,0.05232,0.03207,0.02532,0.03882,0.05992,0.02532,0.03122,0.06667,0.09873,0.03713,0.08354
0.06414,0.03797,0.03544,0.1072, 1.000,0.09873,0.02616,0.04557,0.02363,0.03966,0.02194,0.05063,0.08354,0.03291,0.03629,0.03966,0.05570,0.08101,0.04557
0.04219,0.1257,0.01519,0.03122,0.09873, 1.000,0.07173,0.02954,0.02025,0.02869,0.03460,0.02194,0.1030,0.09114,0.04304,0.03544,0.02954,0.1713,0.02785
0.06751,0.2624,0.03882,0.03460,0.02616,0.07173, 1.000,0.01603,0.05907,0.02532,0.02532,0.09451,0.04641,0.1156,0.06582,0.03713,0.02194,0.04219,0.04473
0.02532,0.02363,0.1266,0.04051,0.04557,0.02954,0.01603, 1.000,0.01603,0.04641,0.06245,0.03460,0.05823,0.03629,0.03207,0.03882,0.02532,0.03713,0.02700
0.01688,0.03882,0.02363,0.05232,0.02363,0.02025,0.05907,0.01603, 1.000,0.06498,0.01857,0.09114,0.02869,0.05738,0.01603,0.02278,0.06160,0.03544,0.06160
0.03376,0.03038,0.04557,0.03207,0.03966,0.02869,0.02532,0.04641,0.06498, 1.000,0.03713,0.03291,0.01857,0.02447,0.03966,0.02700,0.04557,0.04641,0.05738
0.02532,0.02532,0.04304,0.02532,0.02194,0.03460,0.02532,0.06245,0.01857,0.03713, 1.000,0.02532,0.03122,0.02869,0.02194,0.04810,0.03966,0.03713,0.02532
0.01857,0.03207,0.04219,0.03882,0.05063,0.02194,0.09451,0.03460,0.09114,0.03291,0.02532, 1.000,0.03713,0.05485,0.02700,0.02025,0.04810,0.02025,0.03966
0.02785,0.06414,0.02869,0.05992,0.08354,0.1030,0.04641,0.05823,0.02869,0.01857,0.03122,0.03713, 1.000,0.09789,0.02785,0.02363,0.04304,0.2397,0.04304
0.07342,0.1586,0.02532,0.02532,0.03291,0.09114,0.1156,0.03629,0.05738,0.02447,0.02869,0.05485,0.09789, 1.000,0.1013,0.03544,0.02954,0.09958,0.02785
0.1089,0.09114,0.05654,0.03122,0.03629,0.04304,0.06582,0.03207,0.01603,0.03966,0.02194,0.02700,0.02785,0.1013, 1.000,0.09198,0.02532,0.03460,0.03713
0.1443,0.06920,0.08186,0.06667,0.03966,0.03544,0.03713,0.03882,0.02278,0.02700,0.04810,0.02025,0.02363,0.03544,0.09198, 1.000,0.05654,0.05401,0.1038
0.04810,0.02954,0.03376,0.09873,0.05570,0.02954,0.02194,0.02532,0.06160,0.04557,0.03966,0.04810,0.04304,0.02954,0.02532,0.05654, 1.000,0.06582,0.3494
0.07848,0.08945,0.02278,0.03713,0.08101,0.1713,0.04219,0.03713,0.03544,0.04641,0.03713,0.02025,0.2397,0.09958,0.03460,0.05401,0.06582, 1.000,0.06835
0.06414,0.04557,0.05232,0.08354,0.04557,0.02785,0.04473,0.02700,0.06160,0.05738,0.02532,0.03966,0.04304,0.02785,0.03713,0.1038,0.3494,0.06835, 1.000
