Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1331,0.08601,0.1100,0.06459,0.04512,0.05453,0.03019,0.02856,0.02564,0.03148,0.02661,0.03895,0.07887,0.09250,0.1321,0.03278,0.05388,0.03895
0.1331, 1.000,0.02207,0.02467,0.04576,0.1435,0.2278,0.02986,0.03181,0.01428,0.01688,0.03765,0.05842,0.1396,0.1022,0.05128,0.03538,0.07108,0.02726
0.08601,0.02207, 1.000,0.05940,0.01915,0.02110,0.03083,0.1149,0.02142,0.03343,0.04252,0.02986,0.02791,0.02726,0.04414,0.06913,0.03083,0.02045,0.03278
0.1100,0.02467,0.05940, 1.000,0.09510,0.02856,0.01623,0.02499,0.03019,0.02434,0.03246,0.04122,0.03376,0.02954,0.03895,0.06816,0.08406,0.03538,0.05290
0.06459,0.04576,0.01915,0.09510, 1.000,0.1289,0.02369,0.01947,0.03505,0.03570,0.02337,0.03700,0.05258,0.03668,0.03668,0.04382,0.06719,0.1113,0.06621
0.04512,0.1435,0.02110,0.02856,0.1289, 1.000,0.07076,0.04122,0.02207,0.02272,0.03376,0.02467,0.06946,0.06524,0.03992,0.03148,0.03830,0.1519,0.05875
0.05453,0.2278,0.03083,0.01623,0.02369,0.07076, 1.000,0.02175,0.03960,0.02726,0.01623,0.07887,0.04576,0.09477,0.06167,0.02759,0.02499,0.04998,0.01915
0.03019,0.02986,0.1149,0.02499,0.01947,0.04122,0.02175, 1.000,0.02434,0.03148,0.07855,0.03830,0.06167,0.01720,0.03051,0.03570,0.03570,0.03376,0.03213
0.02856,0.03181,0.02142,0.03019,0.03505,0.02207,0.03960,0.02434, 1.000,0.05226,0.03116,0.07205,0.02045,0.03895,0.02304,0.02142,0.05648,0.02012,0.05518
0.02564,0.01428,0.03343,0.02434,0.03570,0.02272,0.02726,0.03148,0.05226, 1.000,0.07076,0.03083,0.03083,0.02759,0.03505,0.01720,0.04057,0.03473,0.04057
0.03148,0.01688,0.04252,0.03246,0.02337,0.03376,0.01623,0.07855,0.03116,0.07076, 1.000,0.03213,0.04057,0.03019,0.01883,0.03019,0.02921,0.05323,0.03148
0.02661,0.03765,0.02986,0.04122,0.03700,0.02467,0.07887,0.03830,0.07205,0.03083,0.03213, 1.000,0.01980,0.03797,0.02110,0.02532,0.05777,0.01818,0.04252
0.03895,0.05842,0.02791,0.03376,0.05258,0.06946,0.04576,0.06167,0.02045,0.03083,0.04057,0.01980, 1.000,0.05648,0.03181,0.03538,0.02434,0.1977,0.03473
0.07887,0.1396,0.02726,0.02954,0.03668,0.06524,0.09477,0.01720,0.03895,0.02759,0.03019,0.03797,0.05648, 1.000,0.1035,0.02856,0.02434,0.06848,0.02369
0.09250,0.1022,0.04414,0.03895,0.03668,0.03992,0.06167,0.03051,0.02304,0.03505,0.01883,0.02110,0.03181,0.1035, 1.000,0.07238,0.03148,0.04057,0.02954
0.1321,0.05128,0.06913,0.06816,0.04382,0.03148,0.02759,0.03570,0.02142,0.01720,0.03019,0.02532,0.03538,0.02856,0.07238, 1.000,0.05972,0.03473,0.07692
0.03278,0.03538,0.03083,0.08406,0.06719,0.03830,0.02499,0.03570,0.05648,0.04057,0.02921,0.05777,0.02434,0.02434,0.03148,0.05972, 1.000,0.03927,0.3242
0.05388,0.07108,0.02045,0.03538,0.1113,0.1519,0.04998,0.03376,0.02012,0.03473,0.05323,0.01818,0.1977,0.06848,0.04057,0.03473,0.03927, 1.000,0.08374
0.03895,0.02726,0.03278,0.05290,0.06621,0.05875,0.01915,0.03213,0.05518,0.04057,0.03148,0.04252,0.03473,0.02369,0.02954,0.07692,0.3242,0.08374, 1.000
