Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1187,0.06738,0.3369,0.1091,0.06142,0.02982,0.03101,0.02803,0.02087,0.02862,0.03280,0.01968,0.04174,0.03936,0.06857,0.08885,0.07036,0.07633
0.1187, 1.000,0.01789,0.06857,0.1026,0.2266,0.07573,0.02504,0.04114,0.03697,0.01670,0.03280,0.05546,0.06798,0.04532,0.03220,0.01729,0.06738,0.03339
0.06738,0.01789, 1.000,0.04770,0.02266,0.02445,0.03160,0.1837,0.02326,0.02683,0.04055,0.04055,0.01968,0.02624,0.02624,0.04174,0.02982,0.02147,0.03936
0.3369,0.06857,0.04770, 1.000,0.1980,0.05963,0.03041,0.02922,0.03876,0.02445,0.03041,0.05903,0.03041,0.03041,0.01849,0.03578,0.07692,0.05367,0.06917
0.1091,0.1026,0.02266,0.1980, 1.000,0.2075,0.02683,0.03220,0.03936,0.03578,0.03101,0.03757,0.04711,0.03637,0.01550,0.02624,0.07036,0.07335,0.06321
0.06142,0.2266,0.02445,0.05963,0.2075, 1.000,0.04532,0.04770,0.03280,0.03578,0.03399,0.02206,0.06321,0.06977,0.02206,0.01849,0.02087,0.07812,0.04293
0.02982,0.07573,0.03160,0.03041,0.02683,0.04532, 1.000,0.03816,0.05903,0.03936,0.03041,0.1210,0.03339,0.03876,0.05426,0.05486,0.02803,0.03339,0.03459
0.03101,0.02504,0.1837,0.02922,0.03220,0.04770,0.03816, 1.000,0.02445,0.05188,0.05069,0.03578,0.05546,0.02922,0.01908,0.02982,0.02922,0.03518,0.02743
0.02803,0.04114,0.02326,0.03876,0.03936,0.03280,0.05903,0.02445, 1.000,0.04890,0.02266,0.07275,0.02504,0.03518,0.008348,0.01968,0.04651,0.01849,0.05546
0.02087,0.03697,0.02683,0.02445,0.03578,0.03578,0.03936,0.05188,0.04890, 1.000,0.04174,0.05188,0.03160,0.02624,0.04592,0.04472,0.04413,0.04592,0.03816
0.02862,0.01670,0.04055,0.03041,0.03101,0.03399,0.03041,0.05069,0.02266,0.04174, 1.000,0.03578,0.03936,0.02743,0.03041,0.03280,0.01670,0.02624,0.02922
0.03280,0.03280,0.04055,0.05903,0.03757,0.02206,0.1210,0.03578,0.07275,0.05188,0.03578, 1.000,0.02922,0.03757,0.02027,0.03041,0.07812,0.03220,0.04114
0.01968,0.05546,0.01968,0.03041,0.04711,0.06321,0.03339,0.05546,0.02504,0.03160,0.03936,0.02922, 1.000,0.07036,0.01908,0.02564,0.02862,0.1884,0.01789
0.04174,0.06798,0.02624,0.03041,0.03637,0.06977,0.03876,0.02922,0.03518,0.02624,0.02743,0.03757,0.07036, 1.000,0.06977,0.03339,0.02385,0.08527,0.02504
0.03936,0.04532,0.02624,0.01849,0.01550,0.02206,0.05426,0.01908,0.008348,0.04592,0.03041,0.02027,0.01908,0.06977, 1.000,0.1067,0.03339,0.02862,0.03160
0.06857,0.03220,0.04174,0.03578,0.02624,0.01849,0.05486,0.02982,0.01968,0.04472,0.03280,0.03041,0.02564,0.03339,0.1067, 1.000,0.06857,0.03101,0.1103
0.08885,0.01729,0.02982,0.07692,0.07036,0.02087,0.02803,0.02922,0.04651,0.04413,0.01670,0.07812,0.02862,0.02385,0.03339,0.06857, 1.000,0.03637,0.2457
0.07036,0.06738,0.02147,0.05367,0.07335,0.07812,0.03339,0.03518,0.01849,0.04592,0.02624,0.03220,0.1884,0.08527,0.02862,0.03101,0.03637, 1.000,0.04770
0.07633,0.03339,0.03936,0.06917,0.06321,0.04293,0.03459,0.02743,0.05546,0.03816,0.02922,0.04114,0.01789,0.02504,0.03160,0.1103,0.2457,0.04770, 1.000
