Fp1,Fp2,O2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.4613,0.04380,0.2803,0.1022,0.1080,0.1255,0.07445,0.04234,0.07007,0.1051,0.1007,0.01168,0.03942,0.1431,0.1372,0.1328,0.04526,0.05839
0.4613, 1.000,0.04234,0.2234,0.05109,0.06861,0.1431,0.1212,0.02920,0.07883,0.08905,0.06861,0.01460,0.03796,0.2117,0.1387,0.09927,0.02190,0.04088
0.04380,0.04234, 1.000,0.06715,0.1241,0.1226,0.1562,0.02336,0.03942,0.04672,0.07737,0.07007,0.002920,0.08905,0.03212,0.04818,0.04380,0.09197,0.1547
0.2803,0.2234,0.06715, 1.000,0.1022,0.05255,0.09635,0.08905,0.05693,0.09635,0.09343,0.1270,0.01460,0.02774,0.09197,0.1985,0.2204,0.06131,0.04964
0.1022,0.05109,0.1241,0.1022, 1.000,0.4613,0.2365,0.01022,0.02920,0.01606,0.02482,0.05985,0.007299,0.09051,0.06277,0.03942,0.1343,0.09051,0.1080
0.1080,0.06861,0.1226,0.05255,0.4613, 1.000,0.2248,0.02190,0.02336,0.03358,0.03942,0.05839,0.008759,0.1139,0.04818,0.04672,0.06715,0.07883,0.1591
0.1255,0.1431,0.1562,0.09635,0.2365,0.2248, 1.000,0.04234,0.007299,0.04818,0.02774,0.07591,0.01314,0.1212,0.1971,0.07153,0.09635,0.03796,0.1766
0.07445,0.1212,0.02336,0.08905,0.01022,0.02190,0.04234, 1.000,0.02774,0.1197,0.07883,0.02774,0.1255,0.02628,0.1212,0.1080,0.02774,0.01314,0.03796
0.04234,0.02920,0.03942,0.05693,0.02920,0.02336,0.007299,0.02774, 1.000,0.05693,0.02920,0.01898,0.03066,0.03504,0.01460,0.04672,0.1109,0.04526,0.04234
0.07007,0.07883,0.04672,0.09635,0.01606,0.03358,0.04818,0.1197,0.05693, 1.000,0.3299,0.06715,0.1182,0.01460,0.05985,0.05401,0.02628,0.05693,0.01606
0.1051,0.08905,0.07737,0.09343,0.02482,0.03942,0.02774,0.07883,0.02920,0.3299, 1.000,0.1328,0.07153,0.05401,0.04380,0.07445,0.02774,0.05839,0.04526
0.1007,0.06861,0.07007,0.1270,0.05985,0.05839,0.07591,0.02774,0.01898,0.06715,0.1328, 1.000,0.02774,0.1153,0.03650,0.04380,0.04672,0.04672,0.1328
0.01168,0.01460,0.002920,0.01460,0.007299,0.008759,0.01314,0.1255,0.03066,0.1182,0.07153,0.02774, 1.000,0.02044,0.02774,0.03650,0.01314,0.05255,0.01898
0.03942,0.03796,0.08905,0.02774,0.09051,0.1139,0.1212,0.02628,0.03504,0.01460,0.05401,0.1153,0.02044, 1.000,0.05255,0.02920,0.03504,0.02336,0.3255
0.1431,0.2117,0.03212,0.09197,0.06277,0.04818,0.1971,0.1212,0.01460,0.05985,0.04380,0.03650,0.02774,0.05255, 1.000,0.1504,0.08321,0.02044,0.04088
0.1372,0.1387,0.04818,0.1985,0.03942,0.04672,0.07153,0.1080,0.04672,0.05401,0.07445,0.04380,0.03650,0.02920,0.1504, 1.000,0.1314,0.02044,0.05109
0.1328,0.09927,0.04380,0.2204,0.1343,0.06715,0.09635,0.02774,0.1109,0.02628,0.02774,0.04672,0.01314,0.03504,0.08321,0.1314, 1.000,0.04818,0.03650
0.04526,0.02190,0.09197,0.06131,0.09051,0.07883,0.03796,0.01314,0.04526,0.05693,0.05839,0.04672,0.05255,0.02336,0.02044,0.02044,0.04818, 1.000,0.02336
0.05839,0.04088,0.1547,0.04964,0.1080,0.1591,0.1766,0.03796,0.04234,0.01606,0.04526,0.1328,0.01898,0.3255,0.04088,0.05109,0.03650,0.02336, 1.000
