Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.4220,0.1896,0.2599,0.1865,0.2324,0.1101,0.08869,0.02752,0.04281,0.02446,0.05199,0.03670,0.1101,0.1498,0.2018,0.1009,0.09480,0.1865
0.4220, 1.000,0.09480,0.1193,0.1590,0.3945,0.2018,0.07034,0.03670,0.03364,0.02446,0.1162,0.1040,0.2018,0.2722,0.1162,0.05810,0.1346,0.2049
0.1896,0.09480, 1.000,0.2446,0.03364,0.05505,0.04281,0.1682,0.1193,0.03364,0.03670,0.05199,0.03058,0.03976,0.08869,0.2080,0.1254,0.06422,0.1254
0.2599,0.1193,0.2446, 1.000,0.1957,0.1407,0.05199,0.07951,0.1070,0.03058,0.02141,0.04587,0.03058,0.07034,0.05810,0.2569,0.1284,0.07339,0.1774
0.1865,0.1590,0.03364,0.1957, 1.000,0.2263,0.03976,0.01835,0.02752,0.08563,0.02752,0.03058,0.03976,0.08257,0.1131,0.09174,0.07951,0.07339,0.1376
0.2324,0.3945,0.05505,0.1407,0.2263, 1.000,0.2538,0.06728,0.06116,0.03976,0.03058,0.06728,0.1254,0.1407,0.1682,0.1009,0.03976,0.1804,0.1927
0.1101,0.2018,0.04281,0.05199,0.03976,0.2538, 1.000,0.06422,0.07951,0.04281,0.02752,0.2446,0.1223,0.1468,0.1376,0.03364,0.01529,0.1101,0.07339
0.08869,0.07034,0.1682,0.07951,0.01835,0.06728,0.06422, 1.000,0.2018,0.01529,0.1804,0.1376,0.1835,0.09480,0.03364,0.1131,0.07339,0.03976,0.04281
0.02752,0.03670,0.1193,0.1070,0.02752,0.06116,0.07951,0.2018, 1.000,0.06116,0.06116,0.1376,0.07034,0.09480,0.03364,0.09174,0.08257,0.05199,0.05505
0.04281,0.03364,0.03364,0.03058,0.08563,0.03976,0.04281,0.01529,0.06116, 1.000,0.07951,0.03670,0.04587,0.03670,0.03364,0.03670,0.07645,0.04587,0.03670
0.02446,0.02446,0.03670,0.02141,0.02752,0.03058,0.02752,0.1804,0.06116,0.07951, 1.000,0.1101,0.1896,0.04587,0.006116,0.02752,0.01529,0.05505,0.009174
0.05199,0.1162,0.05199,0.04587,0.03058,0.06728,0.2446,0.1376,0.1376,0.03670,0.1101, 1.000,0.1437,0.1713,0.07645,0.03670,0.07645,0.03058,0.03976
0.03670,0.1040,0.03058,0.03058,0.03976,0.1254,0.1223,0.1835,0.07034,0.04587,0.1896,0.1437, 1.000,0.1437,0.03364,0.01529,0.01223,0.1131,0.06422
0.1101,0.2018,0.03976,0.07034,0.08257,0.1407,0.1468,0.09480,0.09480,0.03670,0.04587,0.1713,0.1437, 1.000,0.2416,0.02752,0.02446,0.1040,0.05810
0.1498,0.2722,0.08869,0.05810,0.1131,0.1682,0.1376,0.03364,0.03364,0.03364,0.006116,0.07645,0.03364,0.2416, 1.000,0.05199,0.02141,0.07645,0.1009
0.2018,0.1162,0.2080,0.2569,0.09174,0.1009,0.03364,0.1131,0.09174,0.03670,0.02752,0.03670,0.01529,0.02752,0.05199, 1.000,0.3394,0.04587,0.2110
0.1009,0.05810,0.1254,0.1284,0.07951,0.03976,0.01529,0.07339,0.08257,0.07645,0.01529,0.07645,0.01223,0.02446,0.02141,0.3394, 1.000,0.02446,0.1131
0.09480,0.1346,0.06422,0.07339,0.07339,0.1804,0.1101,0.03976,0.05199,0.04587,0.05505,0.03058,0.1131,0.1040,0.07645,0.04587,0.02446, 1.000,0.1865
0.1865,0.2049,0.1254,0.1774,0.1376,0.1927,0.07339,0.04281,0.05505,0.03670,0.009174,0.03976,0.06422,0.05810,0.1009,0.2110,0.1131,0.1865, 1.000
