Fp1,Fp2,O2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.05325,0.07429,0.1275,0.1788,0.06640,0.02827,0.02433,0.04799,0.01775,0.01972,0.01841,0.02038,0.05523,0.05457,0.1045,0.1315,0.03485,0.08744
0.05325, 1.000,0.03024,0.03485,0.03945,0.04274,0.1157,0.1289,0.04142,0.03090,0.02235,0.03616,0.04668,0.05786,0.09139,0.07692,0.05325,0.02367,0.03616
0.07429,0.03024, 1.000,0.04011,0.08087,0.1059,0.05720,0.02235,0.03813,0.02104,0.02630,0.03024,0.01644,0.05325,0.03156,0.01841,0.06114,0.2183,0.1026
0.1275,0.03485,0.04011, 1.000,0.05325,0.02104,0.01052,0.02564,0.1815,0.03945,0.04602,0.03156,0.03156,0.01775,0.04668,0.03879,0.05457,0.03616,0.03090
0.1788,0.03945,0.08087,0.05325, 1.000,0.08284,0.03550,0.01381,0.02104,0.01907,0.02367,0.03879,0.04668,0.06640,0.02696,0.02959,0.08481,0.07035,0.1361
0.06640,0.04274,0.1059,0.02104,0.08284, 1.000,0.1078,0.01775,0.02564,0.02104,0.03156,0.04405,0.02959,0.1381,0.03945,0.05588,0.03616,0.05325,0.1275
0.02827,0.1157,0.05720,0.01052,0.03550,0.1078, 1.000,0.04931,0.01183,0.02235,0.01052,0.03945,0.02761,0.1006,0.04076,0.04602,0.03945,0.05260,0.04668
0.02433,0.1289,0.02235,0.02564,0.01381,0.01775,0.04931, 1.000,0.04536,0.04076,0.03682,0.02038,0.08876,0.03090,0.1348,0.1137,0.04405,0.01841,0.02498
0.04799,0.04142,0.03813,0.1815,0.02104,0.02564,0.01183,0.04536, 1.000,0.02564,0.04471,0.05588,0.03090,0.02104,0.02959,0.03879,0.05720,0.03090,0.02959
0.01775,0.03090,0.02104,0.03945,0.01907,0.02104,0.02235,0.04076,0.02564, 1.000,0.03485,0.01249,0.09928,0.02564,0.02170,0.02367,0.02301,0.05786,0.02827
0.01972,0.02235,0.02630,0.04602,0.02367,0.03156,0.01052,0.03682,0.04471,0.03485, 1.000,0.04405,0.06903,0.02827,0.03156,0.04931,0.02433,0.02367,0.02761
0.01841,0.03616,0.03024,0.03156,0.03879,0.04405,0.03945,0.02038,0.05588,0.01249,0.04405, 1.000,0.01315,0.03682,0.02038,0.02038,0.03156,0.02498,0.02498
0.02038,0.04668,0.01644,0.03156,0.04668,0.02959,0.02761,0.08876,0.03090,0.09928,0.06903,0.01315, 1.000,0.03616,0.04274,0.04274,0.03287,0.06180,0.02696
0.05523,0.05786,0.05325,0.01775,0.06640,0.1381,0.1006,0.03090,0.02104,0.02564,0.02827,0.03682,0.03616, 1.000,0.05786,0.03945,0.02433,0.06114,0.2189
0.05457,0.09139,0.03156,0.04668,0.02696,0.03945,0.04076,0.1348,0.02959,0.02170,0.03156,0.02038,0.04274,0.05786, 1.000,0.2801,0.02630,0.02433,0.04405
0.1045,0.07692,0.01841,0.03879,0.02959,0.05588,0.04602,0.1137,0.03879,0.02367,0.04931,0.02038,0.04274,0.03945,0.2801, 1.000,0.06903,0.01578,0.03090
0.1315,0.05325,0.06114,0.05457,0.08481,0.03616,0.03945,0.04405,0.05720,0.02301,0.02433,0.03156,0.03287,0.02433,0.02630,0.06903, 1.000,0.05194,0.04668
0.03485,0.02367,0.2183,0.03616,0.07035,0.05325,0.05260,0.01841,0.03090,0.05786,0.02367,0.02498,0.06180,0.06114,0.02433,0.01578,0.05194, 1.000,0.04931
0.08744,0.03616,0.1026,0.03090,0.1361,0.1275,0.04668,0.02498,0.02959,0.02827,0.02761,0.02498,0.02696,0.2189,0.04405,0.03090,0.04668,0.04931, 1.000
