Fp1,Fp2,O2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.3335,0.1154,0.2398,0.2096,0.1263,0.1164,0.08988,0.06481,0.04778,0.02365,0.03595,0.03690,0.05298,0.07663,0.1045,0.1069,0.08940,0.07663
0.3335, 1.000,0.1022,0.1206,0.1121,0.1443,0.1670,0.1963,0.05913,0.05109,0.03453,0.03548,0.04636,0.06149,0.1154,0.08940,0.08184,0.06386,0.08562
0.1154,0.1022, 1.000,0.07474,0.1438,0.1282,0.09366,0.05724,0.04541,0.07474,0.04305,0.03027,0.02460,0.03122,0.04494,0.05251,0.1041,0.4130,0.06386
0.2398,0.1206,0.07474, 1.000,0.1433,0.07001,0.05393,0.04920,0.1712,0.04021,0.02129,0.03926,0.04163,0.03122,0.05866,0.09603,0.1211,0.08325,0.05014
0.2096,0.1121,0.1438,0.1433, 1.000,0.2190,0.08278,0.04352,0.04447,0.08278,0.04447,0.03500,0.02602,0.03642,0.05298,0.05156,0.08893,0.1206,0.07143
0.1263,0.1443,0.1282,0.07001,0.2190, 1.000,0.1840,0.06197,0.04068,0.06055,0.08657,0.03879,0.03027,0.06339,0.05866,0.06244,0.04778,0.08846,0.1112
0.1164,0.1670,0.09366,0.05393,0.08278,0.1840, 1.000,0.1651,0.02554,0.02838,0.05203,0.05913,0.04872,0.1050,0.08184,0.05440,0.05487,0.06339,0.1306
0.08988,0.1963,0.05724,0.04920,0.04352,0.06197,0.1651, 1.000,0.02933,0.03737,0.02886,0.02649,0.1036,0.06291,0.1159,0.06670,0.03879,0.03784,0.07096
0.06481,0.05913,0.04541,0.1712,0.04447,0.04068,0.02554,0.02933, 1.000,0.03832,0.02365,0.04588,0.01987,0.03075,0.03169,0.05061,0.08325,0.05771,0.02933
0.04778,0.05109,0.07474,0.04021,0.08278,0.06055,0.02838,0.03737,0.03832, 1.000,0.05109,0.03548,0.04588,0.02176,0.05251,0.02412,0.04210,0.09413,0.03264
0.02365,0.03453,0.04305,0.02129,0.04447,0.08657,0.05203,0.02886,0.02365,0.05109, 1.000,0.05582,0.02081,0.06055,0.02602,0.04352,0.02507,0.04068,0.05582
0.03595,0.03548,0.03027,0.03926,0.03500,0.03879,0.05913,0.02649,0.04588,0.03548,0.05582, 1.000,0.03737,0.07569,0.04115,0.04730,0.03974,0.03500,0.06291
0.03690,0.04636,0.02460,0.04163,0.02602,0.03027,0.04872,0.1036,0.01987,0.04588,0.02081,0.03737, 1.000,0.03217,0.1244,0.05203,0.02129,0.03027,0.04447
0.05298,0.06149,0.03122,0.03122,0.03642,0.06339,0.1050,0.06291,0.03075,0.02176,0.06055,0.07569,0.03217, 1.000,0.06291,0.03122,0.03169,0.02081,0.1788
0.07663,0.1154,0.04494,0.05866,0.05298,0.05866,0.08184,0.1159,0.03169,0.05251,0.02602,0.04115,0.1244,0.06291, 1.000,0.08798,0.04494,0.03359,0.09035
0.1045,0.08940,0.05251,0.09603,0.05156,0.06244,0.05440,0.06670,0.05061,0.02412,0.04352,0.04730,0.05203,0.03122,0.08798, 1.000,0.1400,0.04352,0.04447
0.1069,0.08184,0.1041,0.1211,0.08893,0.04778,0.05487,0.03879,0.08325,0.04210,0.02507,0.03974,0.02129,0.03169,0.04494,0.1400, 1.000,0.1026,0.02602
0.08940,0.06386,0.4130,0.08325,0.1206,0.08846,0.06339,0.03784,0.05771,0.09413,0.04068,0.03500,0.03027,0.02081,0.03359,0.04352,0.1026, 1.000,0.03974
0.07663,0.08562,0.06386,0.05014,0.07143,0.1112,0.1306,0.07096,0.02933,0.03264,0.05582,0.06291,0.04447,0.1788,0.09035,0.04447,0.02602,0.03974, 1.000
