Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1550,0.1641,0.2023,0.09744,0.05014,0.06325,0.02735,0.02507,0.02051,0.01994,0.01823,0.03248,0.04672,0.1368,0.1613,0.07464,0.04330,0.06496
0.1550, 1.000,0.04501,0.06211,0.1379,0.1470,0.2707,0.02564,0.02450,0.02165,0.02165,0.02792,0.03533,0.07179,0.1333,0.1185,0.06154,0.06268,0.07521
0.1641,0.04501, 1.000,0.1801,0.03362,0.02222,0.02393,0.03761,0.02336,0.02678,0.02621,0.02963,0.01994,0.02963,0.07521,0.08091,0.04330,0.01652,0.04786
0.2023,0.06211,0.1801, 1.000,0.1105,0.04274,0.02678,0.02735,0.02735,0.02906,0.01595,0.01994,0.02393,0.04672,0.06325,0.08832,0.06667,0.05299,0.07578
0.09744,0.1379,0.03362,0.1105, 1.000,0.1692,0.05755,0.02507,0.02279,0.04501,0.01823,0.02051,0.04672,0.05869,0.04843,0.05926,0.06325,0.09288,0.1026
0.05014,0.1470,0.02222,0.04274,0.1692, 1.000,0.1100,0.02678,0.02906,0.03875,0.03077,0.02393,0.05413,0.07009,0.05755,0.04786,0.04387,0.07692,0.06724
0.06325,0.2707,0.02393,0.02678,0.05755,0.1100, 1.000,0.01766,0.03077,0.02108,0.02336,0.06610,0.03020,0.08433,0.08376,0.05869,0.03704,0.04103,0.04217
0.02735,0.02564,0.03761,0.02735,0.02507,0.02678,0.01766, 1.000,0.02507,0.03476,0.04444,0.02621,0.05755,0.03020,0.03362,0.03989,0.02507,0.02621,0.02792
0.02507,0.02450,0.02336,0.02735,0.02279,0.02906,0.03077,0.02507, 1.000,0.03020,0.02678,0.03875,0.02108,0.02963,0.02450,0.03077,0.04558,0.01994,0.03191
0.02051,0.02165,0.02678,0.02906,0.04501,0.03875,0.02108,0.03476,0.03020, 1.000,0.04900,0.02507,0.04330,0.02165,0.02450,0.01880,0.03077,0.03875,0.03989
0.01994,0.02165,0.02621,0.01595,0.01823,0.03077,0.02336,0.04444,0.02678,0.04900, 1.000,0.01880,0.04160,0.02906,0.02393,0.02792,0.02450,0.04274,0.02336
0.01823,0.02792,0.02963,0.01994,0.02051,0.02393,0.06610,0.02621,0.03875,0.02507,0.01880, 1.000,0.02108,0.04103,0.02336,0.02222,0.03248,0.02621,0.02678
0.03248,0.03533,0.01994,0.02393,0.04672,0.05413,0.03020,0.05755,0.02108,0.04330,0.04160,0.02108, 1.000,0.1100,0.01595,0.02165,0.02336,0.1105,0.02279
0.04672,0.07179,0.02963,0.04672,0.05869,0.07009,0.08433,0.03020,0.02963,0.02165,0.02906,0.04103,0.1100, 1.000,0.02222,0.02222,0.02222,0.1105,0.03476
0.1368,0.1333,0.07521,0.06325,0.04843,0.05755,0.08376,0.03362,0.02450,0.02450,0.02393,0.02336,0.01595,0.02222, 1.000,0.3100,0.04900,0.03305,0.04957
0.1613,0.1185,0.08091,0.08832,0.05926,0.04786,0.05869,0.03989,0.03077,0.01880,0.02792,0.02222,0.02165,0.02222,0.3100, 1.000,0.1083,0.02792,0.09687
0.07464,0.06154,0.04330,0.06667,0.06325,0.04387,0.03704,0.02507,0.04558,0.03077,0.02450,0.03248,0.02336,0.02222,0.04900,0.1083, 1.000,0.03191,0.1350
0.04330,0.06268,0.01652,0.05299,0.09288,0.07692,0.04103,0.02621,0.01994,0.03875,0.04274,0.02621,0.1105,0.1105,0.03305,0.02792,0.03191, 1.000,0.07350
0.06496,0.07521,0.04786,0.07578,0.1026,0.06724,0.04217,0.02792,0.03191,0.03989,0.02336,0.02678,0.02279,0.03476,0.04957,0.09687,0.1350,0.07350, 1.000
