Fp1,Fp2,O2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.1407,0.07102,0.1111,0.1403,0.1678,0.1155,0.03529,0.02919,0.02963,0.04357,0.02527,0.01656,0.02876,0.05490,0.09978,0.1115,0.04532,0.04924
0.1407, 1.000,0.04575,0.03224,0.04052,0.07756,0.4375,0.1608,0.02309,0.02789,0.02527,0.08017,0.03442,0.02876,0.09891,0.07843,0.04401,0.03399,0.06841
0.07102,0.04575, 1.000,0.05185,0.08366,0.06536,0.06405,0.02658,0.02440,0.03704,0.05664,0.02919,0.02919,0.02963,0.02571,0.02745,0.05142,0.09412,0.07146
0.1111,0.03224,0.05185, 1.000,0.09455,0.04270,0.02571,0.02092,0.09107,0.06187,0.02571,0.02484,0.05577,0.02135,0.02135,0.05447,0.2039,0.06797,0.02440
0.1403,0.04052,0.08366,0.09455, 1.000,0.2340,0.05447,0.02702,0.02135,0.05577,0.1059,0.02309,0.04052,0.02963,0.02789,0.03791,0.06362,0.07146,0.05098
0.1678,0.07756,0.06536,0.04270,0.2340, 1.000,0.1294,0.02484,0.03399,0.02571,0.08932,0.03399,0.02179,0.05534,0.05011,0.03965,0.04096,0.06100,0.07800
0.1155,0.4375,0.06405,0.02571,0.05447,0.1294, 1.000,0.1220,0.02614,0.03268,0.04444,0.1059,0.02963,0.05098,0.09150,0.05185,0.03050,0.04314,0.1059
0.03529,0.1608,0.02658,0.02092,0.02702,0.02484,0.1220, 1.000,0.03224,0.05621,0.02179,0.1355,0.1438,0.03573,0.06580,0.04139,0.03094,0.02876,0.04270
0.02919,0.02309,0.02440,0.09107,0.02135,0.03399,0.02614,0.03224, 1.000,0.04139,0.03094,0.07102,0.04183,0.1129,0.02309,0.03312,0.05882,0.03050,0.03181
0.02963,0.02789,0.03704,0.06187,0.05577,0.02571,0.03268,0.05621,0.04139, 1.000,0.03007,0.02963,0.07887,0.03137,0.05272,0.03050,0.04009,0.04227,0.02832
0.04357,0.02527,0.05664,0.02571,0.1059,0.08932,0.04444,0.02179,0.03094,0.03007, 1.000,0.03312,0.02963,0.06623,0.03268,0.02658,0.02702,0.04357,0.05795
0.02527,0.08017,0.02919,0.02484,0.02309,0.03399,0.1059,0.1355,0.07102,0.02963,0.03312, 1.000,0.06057,0.1155,0.05664,0.01961,0.02832,0.02745,0.06754
0.01656,0.03442,0.02919,0.05577,0.04052,0.02179,0.02963,0.1438,0.04183,0.07887,0.02963,0.06057, 1.000,0.02789,0.04444,0.03137,0.03399,0.06580,0.02179
0.02876,0.02876,0.02963,0.02135,0.02963,0.05534,0.05098,0.03573,0.1129,0.03137,0.06623,0.1155,0.02789, 1.000,0.04357,0.02135,0.02919,0.02179,0.09847
0.05490,0.09891,0.02571,0.02135,0.02789,0.05011,0.09150,0.06580,0.02309,0.05272,0.03268,0.05664,0.04444,0.04357, 1.000,0.05054,0.02179,0.02963,0.05752
0.09978,0.07843,0.02745,0.05447,0.03791,0.03965,0.05185,0.04139,0.03312,0.03050,0.02658,0.01961,0.03137,0.02135,0.05054, 1.000,0.07582,0.02571,0.03050
0.1115,0.04401,0.05142,0.2039,0.06362,0.04096,0.03050,0.03094,0.05882,0.04009,0.02702,0.02832,0.03399,0.02919,0.02179,0.07582, 1.000,0.05272,0.03007
0.04532,0.03399,0.09412,0.06797,0.07146,0.06100,0.04314,0.02876,0.03050,0.04227,0.04357,0.02745,0.06580,0.02179,0.02963,0.02571,0.05272, 1.000,0.03224
0.04924,0.06841,0.07146,0.02440,0.05098,0.07800,0.1059,0.04270,0.03181,0.02832,0.05795,0.06754,0.02179,0.09847,0.05752,0.03050,0.03007,0.03224, 1.000
