Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2717,0.2790,0.3651,0.1563,0.1154,0.1081,0.07204,0.04701,0.05372,0.03358,0.03175,0.03602,0.05617,0.1758,0.2668,0.1398,0.09402,0.1838
0.2717, 1.000,0.09585,0.1783,0.2100,0.2527,0.3034,0.04640,0.03114,0.05617,0.03602,0.03480,0.04884,0.07753,0.1490,0.1911,0.1190,0.1056,0.1703
0.2790,0.09585, 1.000,0.2259,0.05617,0.05617,0.06105,0.1288,0.04701,0.02869,0.02808,0.02625,0.03297,0.03114,0.1258,0.1508,0.09341,0.05372,0.1227
0.3651,0.1783,0.2259, 1.000,0.2125,0.1245,0.05922,0.06105,0.07021,0.05800,0.04335,0.03480,0.04029,0.04579,0.1020,0.1801,0.1648,0.1142,0.2063
0.1563,0.2100,0.05617,0.2125, 1.000,0.3388,0.08730,0.03114,0.05311,0.1172,0.04640,0.02320,0.05922,0.07753,0.07631,0.1050,0.1068,0.1520,0.1844
0.1154,0.2527,0.05617,0.1245,0.3388, 1.000,0.1856,0.03114,0.04090,0.08059,0.05372,0.03175,0.07326,0.09096,0.08486,0.1105,0.08791,0.1190,0.1276
0.1081,0.3034,0.06105,0.05922,0.08730,0.1856, 1.000,0.04029,0.02564,0.03236,0.04396,0.06349,0.04579,0.09219,0.1111,0.08913,0.06105,0.07265,0.09035
0.07204,0.04640,0.1288,0.06105,0.03114,0.03114,0.04029, 1.000,0.05006,0.03968,0.03358,0.02808,0.03602,0.02015,0.07753,0.07570,0.05556,0.02442,0.04823
0.04701,0.03114,0.04701,0.07021,0.05311,0.04090,0.02564,0.05006, 1.000,0.06471,0.02259,0.02259,0.02930,0.02686,0.03968,0.05495,0.07082,0.03907,0.04701
0.05372,0.05617,0.02869,0.05800,0.1172,0.08059,0.03236,0.03968,0.06471, 1.000,0.05800,0.01709,0.06716,0.03663,0.03053,0.04579,0.07204,0.08303,0.08486
0.03358,0.03602,0.02808,0.04335,0.04640,0.05372,0.04396,0.03358,0.02259,0.05800, 1.000,0.03541,0.07692,0.05006,0.03175,0.02808,0.02686,0.04640,0.04212
0.03175,0.03480,0.02625,0.03480,0.02320,0.03175,0.06349,0.02808,0.02259,0.01709,0.03541, 1.000,0.04335,0.07021,0.02564,0.02259,0.02076,0.02442,0.02564
0.03602,0.04884,0.03297,0.04029,0.05922,0.07326,0.04579,0.03602,0.02930,0.06716,0.07692,0.04335, 1.000,0.1496,0.02991,0.02625,0.03785,0.09707,0.02686
0.05617,0.07753,0.03114,0.04579,0.07753,0.09096,0.09219,0.02015,0.02686,0.03663,0.05006,0.07021,0.1496, 1.000,0.03480,0.02808,0.02991,0.1508,0.03114
0.1758,0.1490,0.1258,0.1020,0.07631,0.08486,0.1111,0.07753,0.03968,0.03053,0.03175,0.02564,0.02991,0.03480, 1.000,0.2943,0.07998,0.05128,0.09829
0.2668,0.1911,0.1508,0.1801,0.1050,0.1105,0.08913,0.07570,0.05495,0.04579,0.02808,0.02259,0.02625,0.02808,0.2943, 1.000,0.1990,0.05800,0.2051
0.1398,0.1190,0.09341,0.1648,0.1068,0.08791,0.06105,0.05556,0.07082,0.07204,0.02686,0.02076,0.03785,0.02991,0.07998,0.1990, 1.000,0.05922,0.2112
0.09402,0.1056,0.05372,0.1142,0.1520,0.1190,0.07265,0.02442,0.03907,0.08303,0.04640,0.02442,0.09707,0.1508,0.05128,0.05800,0.05922, 1.000,0.1184
0.1838,0.1703,0.1227,0.2063,0.1844,0.1276,0.09035,0.04823,0.04701,0.08486,0.04212,0.02564,0.02686,0.03114,0.09829,0.2051,0.2112,0.1184, 1.000
