Fp1,Fp2,O2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.3431,0.1655,0.1727,0.2044,0.1849,0.1436,0.1046,0.06326,0.07056,0.08516,0.03893,0.07299,0.1071,0.1922,0.1119,0.1241,0.07056,0.1484
0.3431, 1.000,0.1363,0.1290,0.1241,0.1776,0.2336,0.1606,0.06813,0.07543,0.07056,0.02190,0.07056,0.1290,0.1655,0.1168,0.1436,0.07299,0.1655
0.1655,0.1363, 1.000,0.1314,0.1995,0.2092,0.1946,0.09246,0.08516,0.02190,0.1022,0.02676,0.05109,0.1265,0.09976,0.08029,0.2238,0.2993,0.2482
0.1727,0.1290,0.1314, 1.000,0.1922,0.08759,0.1071,0.07543,0.1168,0.04136,0.04866,0.05353,0.03650,0.09489,0.1411,0.09489,0.09976,0.06326,0.1314
0.2044,0.1241,0.1995,0.1922, 1.000,0.2433,0.1436,0.07299,0.07543,0.04866,0.04136,0.05109,0.08516,0.1509,0.1071,0.08759,0.1411,0.1144,0.1946
0.1849,0.1776,0.2092,0.08759,0.2433, 1.000,0.2798,0.05353,0.1192,0.03893,0.07786,0.03893,0.06569,0.1363,0.07543,0.08029,0.08759,0.1460,0.2044
0.1436,0.2336,0.1946,0.1071,0.1436,0.2798, 1.000,0.1387,0.1192,0.04866,0.08759,0.07786,0.04623,0.1436,0.1411,0.1119,0.1071,0.09489,0.2384
0.1046,0.1606,0.09246,0.07543,0.07299,0.05353,0.1387, 1.000,0.03406,0.09489,0.06813,0.03650,0.1752,0.08029,0.1022,0.09002,0.09246,0.1022,0.1022
0.06326,0.06813,0.08516,0.1168,0.07543,0.1192,0.1192,0.03406, 1.000,0.03650,0.1144,0.1436,0.03650,0.1995,0.06083,0.02920,0.06569,0.04623,0.08759
0.07056,0.07543,0.02190,0.04136,0.04866,0.03893,0.04866,0.09489,0.03650, 1.000,0.04136,0.03163,0.06326,0.02676,0.06813,0.05596,0.04866,0.05839,0.03163
0.08516,0.07056,0.1022,0.04866,0.04136,0.07786,0.08759,0.06813,0.1144,0.04136, 1.000,0.06569,0.05109,0.06083,0.03893,0.04136,0.06326,0.08516,0.07786
0.03893,0.02190,0.02676,0.05353,0.05109,0.03893,0.07786,0.03650,0.1436,0.03163,0.06569, 1.000,0.03406,0.06326,0.05839,0.04623,0.01946,0.01703,0.07299
0.07299,0.07056,0.05109,0.03650,0.08516,0.06569,0.04623,0.1752,0.03650,0.06326,0.05109,0.03406, 1.000,0.04623,0.04380,0.03163,0.05839,0.08273,0.06813
0.1071,0.1290,0.1265,0.09489,0.1509,0.1363,0.1436,0.08029,0.1995,0.02676,0.06083,0.06326,0.04623, 1.000,0.2190,0.03650,0.06083,0.05839,0.2798
0.1922,0.1655,0.09976,0.1411,0.1071,0.07543,0.1411,0.1022,0.06083,0.06813,0.03893,0.05839,0.04380,0.2190, 1.000,0.1655,0.09489,0.03893,0.1776
0.1119,0.1168,0.08029,0.09489,0.08759,0.08029,0.1119,0.09002,0.02920,0.05596,0.04136,0.04623,0.03163,0.03650,0.1655, 1.000,0.1095,0.03893,0.06813
0.1241,0.1436,0.2238,0.09976,0.1411,0.08759,0.1071,0.09246,0.06569,0.04866,0.06326,0.01946,0.05839,0.06083,0.09489,0.1095, 1.000,0.1655,0.08516
0.07056,0.07299,0.2993,0.06326,0.1144,0.1460,0.09489,0.1022,0.04623,0.05839,0.08516,0.01703,0.08273,0.05839,0.03893,0.03893,0.1655, 1.000,0.07056
0.1484,0.1655,0.2482,0.1314,0.1946,0.2044,0.2384,0.1022,0.08759,0.03163,0.07786,0.07299,0.06813,0.2798,0.1776,0.06813,0.08516,0.07056, 1.000
