Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1739,0.06625,0.06470,0.09886,0.08023,0.06315,0.03416,0.02950,0.03209,0.04141,0.02536,0.06418,0.08075,0.06004,0.07350,0.04814,0.06108,0.04865
0.1739, 1.000,0.05228,0.05072,0.1387,0.2769,0.1460,0.01708,0.02640,0.03468,0.03054,0.02588,0.09472,0.1154,0.06781,0.05228,0.05745,0.1299,0.06522
0.06625,0.05228, 1.000,0.1341,0.04193,0.03623,0.03313,0.1087,0.02743,0.02381,0.03727,0.03157,0.03830,0.04193,0.05797,0.06315,0.05435,0.06315,0.05952
0.06470,0.05072,0.1341, 1.000,0.1335,0.05590,0.02484,0.06263,0.05797,0.04089,0.03675,0.04658,0.04555,0.03727,0.05849,0.1170,0.1361,0.08954,0.1273
0.09886,0.1387,0.04193,0.1335, 1.000,0.1889,0.04503,0.02381,0.03727,0.06056,0.02536,0.03002,0.1061,0.05694,0.06159,0.06625,0.09317,0.1863,0.1237
0.08023,0.2769,0.03623,0.05590,0.1889, 1.000,0.1325,0.02329,0.02588,0.05124,0.04658,0.02743,0.08903,0.1149,0.05694,0.03364,0.05176,0.1749,0.07453
0.06315,0.1460,0.03313,0.02484,0.04503,0.1325, 1.000,0.02692,0.03157,0.02484,0.03106,0.05745,0.03830,0.1346,0.09213,0.03623,0.02381,0.06108,0.02743
0.03416,0.01708,0.1087,0.06263,0.02381,0.02329,0.02692, 1.000,0.03778,0.03002,0.03675,0.02381,0.01760,0.02019,0.03778,0.05124,0.02588,0.02588,0.03209
0.02950,0.02640,0.02743,0.05797,0.03727,0.02588,0.03157,0.03778, 1.000,0.03675,0.01708,0.05642,0.01553,0.02795,0.02640,0.03054,0.07091,0.02226,0.03934
0.03209,0.03468,0.02381,0.04089,0.06056,0.05124,0.02484,0.03002,0.03675, 1.000,0.04555,0.03520,0.05021,0.02536,0.03002,0.02743,0.06108,0.04865,0.05538
0.04141,0.03054,0.03727,0.03675,0.02536,0.04658,0.03106,0.03675,0.01708,0.04555, 1.000,0.02226,0.04089,0.03778,0.02226,0.03157,0.03157,0.04089,0.03209
0.02536,0.02588,0.03157,0.04658,0.03002,0.02743,0.05745,0.02381,0.05642,0.03520,0.02226, 1.000,0.02226,0.03313,0.04193,0.01605,0.03520,0.02226,0.02122
0.06418,0.09472,0.03830,0.04555,0.1061,0.08903,0.03830,0.01760,0.01553,0.05021,0.04089,0.02226, 1.000,0.1299,0.03520,0.02277,0.03986,0.1077,0.03157
0.08075,0.1154,0.04193,0.03727,0.05694,0.1149,0.1346,0.02019,0.02795,0.02536,0.03778,0.03313,0.1299, 1.000,0.07505,0.02588,0.02329,0.09679,0.03106
0.06004,0.06781,0.05797,0.05849,0.06159,0.05694,0.09213,0.03778,0.02640,0.03002,0.02226,0.04193,0.03520,0.07505, 1.000,0.07039,0.02484,0.06884,0.03468
0.07350,0.05228,0.06315,0.1170,0.06625,0.03364,0.03623,0.05124,0.03054,0.02743,0.03157,0.01605,0.02277,0.02588,0.07039, 1.000,0.07867,0.04607,0.09472
0.04814,0.05745,0.05435,0.1361,0.09317,0.05176,0.02381,0.02588,0.07091,0.06108,0.03157,0.03520,0.03986,0.02329,0.02484,0.07867, 1.000,0.08282,0.2469
0.06108,0.1299,0.06315,0.08954,0.1863,0.1749,0.06108,0.02588,0.02226,0.04865,0.04089,0.02226,0.1077,0.09679,0.06884,0.04607,0.08282, 1.000,0.1346
0.04865,0.06522,0.05952,0.1273,0.1237,0.07453,0.02743,0.03209,0.03934,0.05538,0.03209,0.02122,0.03157,0.03106,0.03468,0.09472,0.2469,0.1346, 1.000
