Fp1,Fp2,O2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.1995,0.1149,0.07389,0.1445,0.1355,0.07061,0.04105,0.01642,0.01970,0.03448,0.02627,0.03038,0.07061,0.08703,0.1322,0.1888,0.1084,0.1552
0.1995, 1.000,0.09606,0.02709,0.05911,0.1494,0.2151,0.09113,0.02791,0.04844,0.02545,0.02791,0.03038,0.1026,0.1010,0.07553,0.09031,0.07061,0.09524
0.1149,0.09606, 1.000,0.06404,0.1420,0.1355,0.08621,0.03448,0.02791,0.02463,0.05829,0.03530,0.04680,0.05583,0.04433,0.1092,0.1141,0.2020,0.1675
0.07389,0.02709,0.06404, 1.000,0.06979,0.04105,0.04269,0.02874,0.09360,0.02874,0.03695,0.04023,0.02874,0.03120,0.03202,0.07553,0.09934,0.04598,0.06322
0.1445,0.05911,0.1420,0.06979, 1.000,0.1831,0.05090,0.02381,0.02299,0.06404,0.06076,0.03530,0.05419,0.08539,0.05008,0.08128,0.09360,0.09031,0.2118
0.1355,0.1494,0.1355,0.04105,0.1831, 1.000,0.1568,0.03695,0.03366,0.04105,0.1051,0.03038,0.07061,0.1790,0.06732,0.06076,0.06568,0.1100,0.1626
0.07061,0.2151,0.08621,0.04269,0.05090,0.1568, 1.000,0.06076,0.05583,0.02627,0.05090,0.05583,0.03038,0.1535,0.1051,0.05501,0.06076,0.06322,0.09442
0.04105,0.09113,0.03448,0.02874,0.02381,0.03695,0.06076, 1.000,0.02791,0.02545,0.02381,0.01232,0.03366,0.03366,0.05911,0.03859,0.03612,0.03777,0.03284
0.01642,0.02791,0.02791,0.09360,0.02299,0.03366,0.05583,0.02791, 1.000,0.04187,0.03530,0.04680,0.01888,0.03284,0.02791,0.02463,0.02053,0.01396,0.01806
0.01970,0.04844,0.02463,0.02874,0.06404,0.04105,0.02627,0.02545,0.04187, 1.000,0.03859,0.03448,0.09934,0.04598,0.02709,0.02709,0.03941,0.05501,0.02627
0.03448,0.02545,0.05829,0.03695,0.06076,0.1051,0.05090,0.02381,0.03530,0.03859, 1.000,0.01970,0.1158,0.07718,0.03120,0.01478,0.02299,0.07143,0.07143
0.02627,0.02791,0.03530,0.04023,0.03530,0.03038,0.05583,0.01232,0.04680,0.03448,0.01970, 1.000,0.01478,0.03530,0.009852,0.04023,0.03941,0.03038,0.03284
0.03038,0.03038,0.04680,0.02874,0.05419,0.07061,0.03038,0.03366,0.01888,0.09934,0.1158,0.01478, 1.000,0.02874,0.02956,0.02463,0.02874,0.1018,0.03038
0.07061,0.1026,0.05583,0.03120,0.08539,0.1790,0.1535,0.03366,0.03284,0.04598,0.07718,0.03530,0.02874, 1.000,0.1174,0.03120,0.03448,0.06240,0.1511
0.08703,0.1010,0.04433,0.03202,0.05008,0.06732,0.1051,0.05911,0.02791,0.02709,0.03120,0.009852,0.02956,0.1174, 1.000,0.07307,0.07225,0.03777,0.09278
0.1322,0.07553,0.1092,0.07553,0.08128,0.06076,0.05501,0.03859,0.02463,0.02709,0.01478,0.04023,0.02463,0.03120,0.07307, 1.000,0.5911,0.06076,0.08456
0.1888,0.09031,0.1141,0.09934,0.09360,0.06568,0.06076,0.03612,0.02053,0.03941,0.02299,0.03941,0.02874,0.03448,0.07225,0.5911, 1.000,0.07882,0.09524
0.1084,0.07061,0.2020,0.04598,0.09031,0.1100,0.06322,0.03777,0.01396,0.05501,0.07143,0.03038,0.1018,0.06240,0.03777,0.06076,0.07882, 1.000,0.1108
0.1552,0.09524,0.1675,0.06322,0.2118,0.1626,0.09442,0.03284,0.01806,0.02627,0.07143,0.03284,0.03038,0.1511,0.09278,0.08456,0.09524,0.1108, 1.000
