Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.07862,0.1442,0.02319,0.04808,0.03281,0.02771,0.07749,0.02545,0.02658,0.03111,0.03394,0.02885,0.04072,0.03846,0.02941,0.02262,0.02885,0.02262
0.07862, 1.000,0.2347,0.03676,0.04581,0.06505,0.1861,0.02658,0.05090,0.08032,0.02376,0.02828,0.02771,0.07919,0.1900,0.04864,0.02149,0.03846,0.03054
0.1442,0.2347, 1.000,0.02545,0.05995,0.05656,0.1126,0.04977,0.03563,0.03394,0.03167,0.02545,0.05034,0.04355,0.09333,0.07919,0.02432,0.03054,0.05713
0.02319,0.03676,0.02545, 1.000,0.07127,0.02715,0.02432,0.02093,0.08597,0.2087,0.02206,0.06900,0.07127,0.03394,0.03620,0.03167,0.1193,0.08088,0.09615
0.04808,0.04581,0.05995,0.07127, 1.000,0.1012,0.03846,0.02262,0.04977,0.05373,0.04751,0.03111,0.1793,0.05373,0.05826,0.1024,0.1414,0.3032,0.2839
0.03281,0.06505,0.05656,0.02715,0.1012, 1.000,0.07353,0.03959,0.01301,0.02149,0.04129,0.02658,0.07410,0.1109,0.2104,0.07805,0.03111,0.1086,0.06335
0.02771,0.1861,0.1126,0.02432,0.03846,0.07353, 1.000,0.02602,0.04129,0.05600,0.01753,0.04016,0.03676,0.1210,0.1233,0.03903,0.02602,0.03733,0.03054
0.07749,0.02658,0.04977,0.02093,0.02262,0.03959,0.02602, 1.000,0.04242,0.01301,0.01188,0.01923,0.04299,0.03620,0.02376,0.01357,0.02828,0.02149,0.01980
0.02545,0.05090,0.03563,0.08597,0.04977,0.01301,0.04129,0.04242, 1.000,0.07070,0.01244,0.03563,0.03111,0.04468,0.03224,0.01584,0.03620,0.03111,0.05826
0.02658,0.08032,0.03394,0.2087,0.05373,0.02149,0.05600,0.01301,0.07070, 1.000,0.02545,0.04242,0.02602,0.02262,0.02376,0.02093,0.06222,0.04808,0.05260
0.03111,0.02376,0.03167,0.02206,0.04751,0.04129,0.01753,0.01188,0.01244,0.02545, 1.000,0.01923,0.05260,0.03620,0.02093,0.03054,0.02771,0.04129,0.02489
0.03394,0.02828,0.02545,0.06900,0.03111,0.02658,0.04016,0.01923,0.03563,0.04242,0.01923, 1.000,0.04751,0.02376,0.03790,0.02206,0.07975,0.02941,0.03846
0.02885,0.02771,0.05034,0.07127,0.1793,0.07410,0.03676,0.04299,0.03111,0.02602,0.05260,0.04751, 1.000,0.06957,0.03790,0.03507,0.1086,0.2438,0.1386
0.04072,0.07919,0.04355,0.03394,0.05373,0.1109,0.1210,0.03620,0.04468,0.02262,0.03620,0.02376,0.06957, 1.000,0.08654,0.03337,0.02432,0.08993,0.04242
0.03846,0.1900,0.09333,0.03620,0.05826,0.2104,0.1233,0.02376,0.03224,0.02376,0.02093,0.03790,0.03790,0.08654, 1.000,0.07070,0.03790,0.06391,0.05373
0.02941,0.04864,0.07919,0.03167,0.1024,0.07805,0.03903,0.01357,0.01584,0.02093,0.03054,0.02206,0.03507,0.03337,0.07070, 1.000,0.04525,0.05600,0.07410
0.02262,0.02149,0.02432,0.1193,0.1414,0.03111,0.02602,0.02828,0.03620,0.06222,0.02771,0.07975,0.1086,0.02432,0.03790,0.04525, 1.000,0.08145,0.2992
0.02885,0.03846,0.03054,0.08088,0.3032,0.1086,0.03733,0.02149,0.03111,0.04808,0.04129,0.02941,0.2438,0.08993,0.06391,0.05600,0.08145, 1.000,0.1759
0.02262,0.03054,0.05713,0.09615,0.2839,0.06335,0.03054,0.01980,0.05826,0.05260,0.02489,0.03846,0.1386,0.04242,0.05373,0.07410,0.2992,0.1759, 1.000
