Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.02639,0.03287,0.04120,0.03519,0.02315,0.03380,0.02963,0.02731,0.02546,0.02454,0.03426,0.01898,0.03380,0.04074,0.02685,0.02269,0.02454,0.01713
0.02639, 1.000,0.02407,0.02593,0.05833,0.1875,0.1324,0.03333,0.02917,0.02269,0.02500,0.03889,0.02500,0.05278,0.06481,0.03056,0.02685,0.03472,0.02778
0.03287,0.02407, 1.000,0.08333,0.03287,0.02269,0.03102,0.04398,0.02500,0.01713,0.02870,0.02454,0.02361,0.03472,0.02917,0.03981,0.04630,0.05185,0.05185
0.04120,0.02593,0.08333, 1.000,0.07361,0.02269,0.02824,0.02546,0.03657,0.02130,0.02546,0.02454,0.02731,0.03750,0.03519,0.03333,0.03704,0.06806,0.03333
0.03519,0.05833,0.03287,0.07361, 1.000,0.08056,0.02639,0.02222,0.01991,0.02593,0.02454,0.02407,0.03519,0.04907,0.05972,0.02222,0.03194,0.05278,0.04954
0.02315,0.1875,0.02269,0.02269,0.08056, 1.000,0.04815,0.04213,0.02824,0.03148,0.03472,0.02824,0.03194,0.04491,0.05556,0.02037,0.02315,0.03565,0.02269
0.03380,0.1324,0.03102,0.02824,0.02639,0.04815, 1.000,0.03009,0.03843,0.02315,0.01667,0.05185,0.03102,0.04907,0.05694,0.02315,0.02361,0.03380,0.02639
0.02963,0.03333,0.04398,0.02546,0.02222,0.04213,0.03009, 1.000,0.03241,0.03009,0.03472,0.04815,0.01944,0.02176,0.01806,0.02917,0.02778,0.02500,0.02546
0.02731,0.02917,0.02500,0.03657,0.01991,0.02824,0.03843,0.03241, 1.000,0.02731,0.02176,0.02546,0.01991,0.02546,0.02963,0.02222,0.02454,0.01620,0.03519
0.02546,0.02269,0.01713,0.02130,0.02593,0.03148,0.02315,0.03009,0.02731, 1.000,0.04167,0.02593,0.02269,0.01944,0.02222,0.03889,0.02546,0.02176,0.02176
0.02454,0.02500,0.02870,0.02546,0.02454,0.03472,0.01667,0.03472,0.02176,0.04167, 1.000,0.02685,0.03056,0.02639,0.02593,0.05741,0.02176,0.02361,0.02361
0.03426,0.03889,0.02454,0.02454,0.02407,0.02824,0.05185,0.04815,0.02546,0.02593,0.02685, 1.000,0.02824,0.03333,0.03611,0.02361,0.02500,0.01991,0.02500
0.01898,0.02500,0.02361,0.02731,0.03519,0.03194,0.03102,0.01944,0.01991,0.02269,0.03056,0.02824, 1.000,0.09028,0.06343,0.02222,0.02500,0.08009,0.02176
0.03380,0.05278,0.03472,0.03750,0.04907,0.04491,0.04907,0.02176,0.02546,0.01944,0.02639,0.03333,0.09028, 1.000,0.5606,0.02269,0.02037,0.06528,0.02222
0.04074,0.06481,0.02917,0.03519,0.05972,0.05556,0.05694,0.01806,0.02963,0.02222,0.02593,0.03611,0.06343,0.5606, 1.000,0.01991,0.01759,0.04630,0.01944
0.02685,0.03056,0.03981,0.03333,0.02222,0.02037,0.02315,0.02917,0.02222,0.03889,0.05741,0.02361,0.02222,0.02269,0.01991, 1.000,0.07407,0.02222,0.05833
0.02269,0.02685,0.04630,0.03704,0.03194,0.02315,0.02361,0.02778,0.02454,0.02546,0.02176,0.02500,0.02500,0.02037,0.01759,0.07407, 1.000,0.01806,0.08056
0.02454,0.03472,0.05185,0.06806,0.05278,0.03565,0.03380,0.02500,0.01620,0.02176,0.02361,0.01991,0.08009,0.06528,0.04630,0.02222,0.01806, 1.000,0.04769
0.01713,0.02778,0.05185,0.03333,0.04954,0.02269,0.02639,0.02546,0.03519,0.02176,0.02361,0.02500,0.02176,0.02222,0.01944,0.05833,0.08056,0.04769, 1.000
