Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.04857,0.1714,0.2086,0.09143,0.01857,0.004286,0.03714,0.004286,0.02429,0.06571,0.03286,0.05286,0.04714,0.1143,0.2129,0.04571,0.1300,0.1829
0.04857, 1.000,0.01286,0.03286,0.2914,0.1943,0.04857,0.03000,0.02143,0.004286,0.01857,0.03714,0.09000,0.04143,0.03714,0.05000,0.03286,0.04571,0.07000
0.1714,0.01286, 1.000,0.1086,0.02857,0.02429,0.01286,0.1814,0.01143,0.07286,0.08571,0.02571,0.03714,0.02857,0.06286,0.09429,0.01714,0.02571,0.04143
0.2086,0.03286,0.1086, 1.000,0.1057,0.01000,0.03000,0.02714,0.03857,0.01714,0.04000,0.06143,0.02571,0.03000,0.02000,0.1143,0.1286,0.05143,0.1271
0.09143,0.2914,0.02857,0.1057, 1.000,0.1200,0.03143,0.04429,0.02571,0.01143,0.02429,0.02000,0.1086,0.04429,0.02714,0.07286,0.07714,0.08714,0.1543
0.01857,0.1943,0.02429,0.01000,0.1200, 1.000,0.03857,0.03714,0.01571,0.03286,0.03143,0.03000,0.1743,0.05571,0.01286,0.02714,0.02857,0.07857,0.06714
0.004286,0.04857,0.01286,0.03000,0.03143,0.03857, 1.000,0.01429,0.07000,0.03571,0.06857,0.07857,0.01857,0.06571,0.04429,0.01571,0.02571,0.03571,0.02000
0.03714,0.03000,0.1814,0.02714,0.04429,0.03714,0.01429, 1.000,0.02000,0.1057,0.06429,0.01286,0.02286,0.04286,0.05857,0.03429,0.01286,0.03714,0.01857
0.004286,0.02143,0.01143,0.03857,0.02571,0.01571,0.07000,0.02000, 1.000,0.01714,0.05571,0.05286,0.01286,0.03714,0.01000,0.02571,0.05857,0.01571,0.02714
0.02429,0.004286,0.07286,0.01714,0.01143,0.03286,0.03571,0.1057,0.01714, 1.000,0.03857,0.02000,0.02143,0.04000,0.02714,0.02143,0.02286,0.005714,0.008571
0.06571,0.01857,0.08571,0.04000,0.02429,0.03143,0.06857,0.06429,0.05571,0.03857, 1.000,0.02857,0.04143,0.03143,0.03286,0.06857,0.01571,0.03429,0.03857
0.03286,0.03714,0.02571,0.06143,0.02000,0.03000,0.07857,0.01286,0.05286,0.02000,0.02857, 1.000,0.04143,0.01571,0.03143,0.02714,0.1714,0.02714,0.02714
0.05286,0.09000,0.03714,0.02571,0.1086,0.1743,0.01857,0.02286,0.01286,0.02143,0.04143,0.04143, 1.000,0.07000,0.02429,0.01857,0.03143,0.1229,0.05143
0.04714,0.04143,0.02857,0.03000,0.04429,0.05571,0.06571,0.04286,0.03714,0.04000,0.03143,0.01571,0.07000, 1.000,0.1729,0.03143,0.02571,0.1757,0.03571
0.1143,0.03714,0.06286,0.02000,0.02714,0.01286,0.04429,0.05857,0.01000,0.02714,0.03286,0.03143,0.02429,0.1729, 1.000,0.07286,0.01429,0.07429,0.06286
0.2129,0.05000,0.09429,0.1143,0.07286,0.02714,0.01571,0.03429,0.02571,0.02143,0.06857,0.02714,0.01857,0.03143,0.07286, 1.000,0.03286,0.07429,0.1814
0.04571,0.03286,0.01714,0.1286,0.07714,0.02857,0.02571,0.01286,0.05857,0.02286,0.01571,0.1714,0.03143,0.02571,0.01429,0.03286, 1.000,0.01143,0.05000
0.1300,0.04571,0.02571,0.05143,0.08714,0.07857,0.03571,0.03714,0.01571,0.005714,0.03429,0.02714,0.1229,0.1757,0.07429,0.07429,0.01143, 1.000,0.1429
0.1829,0.07000,0.04143,0.1271,0.1543,0.06714,0.02000,0.01857,0.02714,0.008571,0.03857,0.02714,0.05143,0.03571,0.06286,0.1814,0.05000,0.1429, 1.000
