Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2320,0.04169,0.07273,0.04169,0.03893,0.02663,0.02185,0.03489,0.03306,0.02810,0.02883,0.04187,0.04169,0.04848,0.09513,0.06281,0.06575,0.1416
0.2320, 1.000,0.03820,0.1264,0.1003,0.1038,0.03783,0.02369,0.02865,0.03618,0.02369,0.02498,0.06152,0.07695,0.07695,0.08136,0.08595,0.1772,0.4114
0.04169,0.03820, 1.000,0.02590,0.02553,0.02057,0.02479,0.02626,0.02112,0.03343,0.04206,0.02424,0.02443,0.02369,0.04096,0.03747,0.03416,0.02461,0.02994
0.07273,0.1264,0.02590, 1.000,0.05418,0.03930,0.02718,0.01855,0.02296,0.02461,0.02296,0.03012,0.03012,0.02883,0.04812,0.05675,0.05785,0.04114,0.06850
0.04169,0.1003,0.02553,0.05418, 1.000,0.2039,0.02130,0.02443,0.03893,0.06961,0.02406,0.02590,0.04224,0.03508,0.03122,0.03306,0.06428,0.09752,0.1181
0.03893,0.1038,0.02057,0.03930,0.2039, 1.000,0.03581,0.03526,0.02571,0.07897,0.05253,0.02277,0.1100,0.05748,0.02994,0.03122,0.03306,0.2422,0.1433
0.02663,0.03783,0.02479,0.02718,0.02130,0.03581, 1.000,0.02314,0.05087,0.02920,0.02718,0.08779,0.03838,0.08522,0.1082,0.02626,0.02645,0.05712,0.04114
0.02185,0.02369,0.02626,0.01855,0.02443,0.03526,0.02314, 1.000,0.02241,0.04444,0.04426,0.02461,0.04096,0.02590,0.02645,0.03159,0.02773,0.02314,0.02130
0.03489,0.02865,0.02112,0.02296,0.03893,0.02571,0.05087,0.02241, 1.000,0.04481,0.03214,0.1355,0.02736,0.03728,0.02351,0.04463,0.1350,0.02112,0.03030
0.03306,0.03618,0.03343,0.02461,0.06961,0.07897,0.02920,0.04444,0.04481, 1.000,0.03361,0.02773,0.03306,0.02663,0.02259,0.02608,0.02938,0.03949,0.03930
0.02810,0.02369,0.04206,0.02296,0.02406,0.05253,0.02718,0.04426,0.03214,0.03361, 1.000,0.03030,0.03747,0.03012,0.02388,0.03747,0.03030,0.03214,0.02094
0.02883,0.02498,0.02424,0.03012,0.02590,0.02277,0.08779,0.02461,0.1355,0.02773,0.03030, 1.000,0.02681,0.02810,0.01818,0.02681,0.09807,0.02461,0.02277
0.04187,0.06152,0.02443,0.03012,0.04224,0.1100,0.03838,0.04096,0.02736,0.03306,0.03747,0.02681, 1.000,0.07071,0.02847,0.02498,0.02369,0.2255,0.05381
0.04169,0.07695,0.02369,0.02883,0.03508,0.05748,0.08522,0.02590,0.03728,0.02663,0.03012,0.02810,0.07071, 1.000,0.04848,0.02351,0.02571,0.1249,0.06061
0.04848,0.07695,0.04096,0.04812,0.03122,0.02994,0.1082,0.02645,0.02351,0.02259,0.02388,0.01818,0.02847,0.04848, 1.000,0.1532,0.03967,0.05693,0.1196
0.09513,0.08136,0.03747,0.05675,0.03306,0.03122,0.02626,0.03159,0.04463,0.02608,0.03747,0.02681,0.02498,0.02351,0.1532, 1.000,0.1605,0.03324,0.1117
0.06281,0.08595,0.03416,0.05785,0.06428,0.03306,0.02645,0.02773,0.1350,0.02938,0.03030,0.09807,0.02369,0.02571,0.03967,0.1605, 1.000,0.03085,0.08724
0.06575,0.1772,0.02461,0.04114,0.09752,0.2422,0.05712,0.02314,0.02112,0.03949,0.03214,0.02461,0.2255,0.1249,0.05693,0.03324,0.03085, 1.000,0.2285
0.1416,0.4114,0.02994,0.06850,0.1181,0.1433,0.04114,0.02130,0.03030,0.03930,0.02094,0.02277,0.05381,0.06061,0.1196,0.1117,0.08724,0.2285, 1.000
