Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1518,0.07741,0.04525,0.03478,0.02057,0.07292,0.02880,0.02393,0.02543,0.02506,0.04114,0.02730,0.02730,0.1085,0.07779,0.03964,0.03590,0.05198
0.1518, 1.000,0.1032,0.1036,0.03515,0.02281,0.06021,0.02805,0.01870,0.02580,0.02506,0.03478,0.02842,0.04600,0.08863,0.05722,0.05610,0.05198,0.03740
0.07741,0.1032, 1.000,0.04974,0.04076,0.02693,0.05385,0.04188,0.03216,0.02917,0.02954,0.03254,0.03777,0.03964,0.05086,0.06245,0.08826,0.03328,0.05310
0.04525,0.1036,0.04974, 1.000,0.05310,0.03366,0.02431,0.03777,0.03515,0.02618,0.01907,0.05497,0.03777,0.02206,0.03141,0.06208,0.06993,0.04450,0.05161
0.03478,0.03515,0.04076,0.05310, 1.000,0.05310,0.02580,0.03029,0.03328,0.05273,0.01982,0.04151,0.02842,0.02805,0.03366,0.07031,0.07629,0.04600,0.05497
0.02057,0.02281,0.02693,0.03366,0.05310, 1.000,0.02767,0.01907,0.02506,0.03628,0.03104,0.03104,0.01870,0.02094,0.02693,0.03141,0.04001,0.02506,0.02543
0.07292,0.06021,0.05385,0.02431,0.02580,0.02767, 1.000,0.02356,0.03067,0.02805,0.02992,0.02094,0.02767,0.02730,0.08639,0.04039,0.03515,0.03029,0.02805
0.02880,0.02805,0.04188,0.03777,0.03029,0.01907,0.02356, 1.000,0.03141,0.03179,0.04413,0.02169,0.02506,0.02244,0.02506,0.03403,0.05011,0.02057,0.04039
0.02393,0.01870,0.03216,0.03515,0.03328,0.02506,0.03067,0.03141, 1.000,0.02805,0.01945,0.02506,0.01870,0.02206,0.02655,0.04039,0.04301,0.02917,0.03441
0.02543,0.02580,0.02917,0.02618,0.05273,0.03628,0.02805,0.03179,0.02805, 1.000,0.03665,0.02693,0.02618,0.02468,0.01982,0.04637,0.05722,0.03328,0.04712
0.02506,0.02506,0.02954,0.01907,0.01982,0.03104,0.02992,0.04413,0.01945,0.03665, 1.000,0.01608,0.02917,0.02693,0.02356,0.02057,0.02356,0.02356,0.01907
0.04114,0.03478,0.03254,0.05497,0.04151,0.03104,0.02094,0.02169,0.02506,0.02693,0.01608, 1.000,0.02730,0.03366,0.03328,0.03104,0.02880,0.01758,0.03216
0.02730,0.02842,0.03777,0.03777,0.02842,0.01870,0.02767,0.02506,0.01870,0.02618,0.02917,0.02730, 1.000,0.02693,0.02132,0.02805,0.03216,0.03029,0.02094
0.02730,0.04600,0.03964,0.02206,0.02805,0.02094,0.02730,0.02244,0.02206,0.02468,0.02693,0.03366,0.02693, 1.000,0.04188,0.02393,0.01645,0.03478,0.02244
0.1085,0.08863,0.05086,0.03141,0.03366,0.02693,0.08639,0.02506,0.02655,0.01982,0.02356,0.03328,0.02132,0.04188, 1.000,0.03927,0.03029,0.04001,0.03815
0.07779,0.05722,0.06245,0.06208,0.07031,0.03141,0.04039,0.03403,0.04039,0.04637,0.02057,0.03104,0.02805,0.02393,0.03927, 1.000,0.1488,0.04936,0.07704
0.03964,0.05610,0.08826,0.06993,0.07629,0.04001,0.03515,0.05011,0.04301,0.05722,0.02356,0.02880,0.03216,0.01645,0.03029,0.1488, 1.000,0.06657,0.08601
0.03590,0.05198,0.03328,0.04450,0.04600,0.02506,0.03029,0.02057,0.02917,0.03328,0.02356,0.01758,0.03029,0.03478,0.04001,0.04936,0.06657, 1.000,0.1444
0.05198,0.03740,0.05310,0.05161,0.05497,0.02543,0.02805,0.04039,0.03441,0.04712,0.01907,0.03216,0.02094,0.02244,0.03815,0.07704,0.08601,0.1444, 1.000
