Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.03516,0.08697,0.03925,0.03642,0.01821,0.01947,0.07818,0.02009,0.01727,0.03925,0.009733,0.01601,0.03234,0.1102,0.09199,0.03171,0.05149,0.04050
0.03516, 1.000,0.03014,0.01507,0.03893,0.04427,0.02292,0.02763,0.02920,0.02543,0.03046,0.01821,0.02983,0.02261,0.03454,0.02794,0.03359,0.02606,0.01978
0.08697,0.03014, 1.000,0.05243,0.02480,0.01884,0.02104,0.3256,0.01727,0.02700,0.03485,0.01350,0.02637,0.01758,0.04615,0.03862,0.02857,0.07786,0.05086
0.03925,0.01507,0.05243, 1.000,0.04207,0.02951,0.02009,0.02920,0.01852,0.03108,0.01821,0.02292,0.06876,0.01633,0.02041,0.02512,0.02920,0.05997,0.06625
0.03642,0.03893,0.02480,0.04207, 1.000,0.03046,0.02261,0.02386,0.01570,0.07127,0.02355,0.02104,0.04050,0.04270,0.02575,0.03862,0.04615,0.04019,0.04050
0.01821,0.04427,0.01884,0.02951,0.03046, 1.000,0.02323,0.01476,0.01758,0.02135,0.01099,0.04615,0.03265,0.02920,0.02449,0.03203,0.03046,0.03799,0.02857
0.01947,0.02292,0.02104,0.02009,0.02261,0.02323, 1.000,0.01350,0.03673,0.03171,0.02323,0.02732,0.02794,0.01821,0.01947,0.02041,0.01664,0.01852,0.03108
0.07818,0.02763,0.3256,0.02920,0.02386,0.01476,0.01350, 1.000,0.02104,0.02951,0.05463,0.01256,0.02418,0.01319,0.04270,0.03799,0.02480,0.05683,0.05651
0.02009,0.02920,0.01727,0.01852,0.01570,0.01758,0.03673,0.02104, 1.000,0.02732,0.02041,0.01947,0.01915,0.02512,0.01444,0.02512,0.02983,0.02355,0.01915
0.01727,0.02543,0.02700,0.03108,0.07127,0.02135,0.03171,0.02951,0.02732, 1.000,0.02104,0.03234,0.03203,0.02135,0.02951,0.02983,0.06342,0.03642,0.05149
0.03925,0.03046,0.03485,0.01821,0.02355,0.01099,0.02323,0.05463,0.02041,0.02104, 1.000,0.01978,0.02355,0.02198,0.01350,0.02261,0.02857,0.01570,0.02135
0.009733,0.01821,0.01350,0.02292,0.02104,0.04615,0.02732,0.01256,0.01947,0.03234,0.01978, 1.000,0.01287,0.01790,0.01978,0.01570,0.02009,0.02480,0.02072
0.01601,0.02983,0.02637,0.06876,0.04050,0.03265,0.02794,0.02418,0.01915,0.03203,0.02355,0.01287, 1.000,0.03077,0.02637,0.01350,0.05118,0.01790,0.02732
0.03234,0.02261,0.01758,0.01633,0.04270,0.02920,0.01821,0.01319,0.02512,0.02135,0.02198,0.01790,0.03077, 1.000,0.02480,0.01947,0.01727,0.03265,0.02449
0.1102,0.03454,0.04615,0.02041,0.02575,0.02449,0.01947,0.04270,0.01444,0.02951,0.01350,0.01978,0.02637,0.02480, 1.000,0.03297,0.02449,0.03391,0.02637
0.09199,0.02794,0.03862,0.02512,0.03862,0.03203,0.02041,0.03799,0.02512,0.02983,0.02261,0.01570,0.01350,0.01947,0.03297, 1.000,0.04364,0.06562,0.07033
0.03171,0.03359,0.02857,0.02920,0.04615,0.03046,0.01664,0.02480,0.02983,0.06342,0.02857,0.02009,0.05118,0.01727,0.02449,0.04364, 1.000,0.03673,0.09859
0.05149,0.02606,0.07786,0.05997,0.04019,0.03799,0.01852,0.05683,0.02355,0.03642,0.01570,0.02480,0.01790,0.03265,0.03391,0.06562,0.03673, 1.000,0.1695
0.04050,0.01978,0.05086,0.06625,0.04050,0.02857,0.03108,0.05651,0.01915,0.05149,0.02135,0.02072,0.02732,0.02449,0.02637,0.07033,0.09859,0.1695, 1.000
