Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.03922,0.2376,0.3183,0.06228,0.05075,0.03691,0.1130,0.04729,0.03806,0.1038,0.06574,0.05652,0.05882,0.05652,0.1995,0.1061,0.05998,0.07958
0.03922, 1.000,0.02884,0.05306,0.07728,0.07266,0.06459,0.03460,0.02999,0.02422,0.03460,0.03345,0.04268,0.03460,0.09112,0.05998,0.05652,0.04614,0.09804
0.2376,0.02884, 1.000,0.2076,0.04614,0.08074,0.06690,0.2803,0.1050,0.03345,0.1153,0.1430,0.1188,0.09343,0.03691,0.1038,0.07382,0.09343,0.04844
0.3183,0.05306,0.2076, 1.000,0.07843,0.05998,0.06459,0.1269,0.1269,0.03806,0.05882,0.1292,0.07151,0.07151,0.04268,0.1869,0.08651,0.06574,0.08420
0.06228,0.07728,0.04614,0.07843, 1.000,0.08420,0.02653,0.04960,0.05190,0.04614,0.05306,0.04844,0.05767,0.04037,0.03460,0.06920,0.06113,0.07036,0.1038
0.05075,0.07266,0.08074,0.05998,0.08420, 1.000,0.02422,0.1280,0.06459,0.05190,0.08766,0.08997,0.1522,0.1303,0.06805,0.06459,0.06228,0.2330,0.1050
0.03691,0.06459,0.06690,0.06459,0.02653,0.02422, 1.000,0.09689,0.1165,0.04037,0.03806,0.2099,0.06690,0.06113,0.05767,0.03460,0.01845,0.06690,0.04383
0.1130,0.03460,0.2803,0.1269,0.04960,0.1280,0.09689, 1.000,0.2249,0.03806,0.1834,0.2330,0.3818,0.1719,0.03114,0.1142,0.08074,0.1661,0.03114
0.04729,0.02999,0.1050,0.1269,0.05190,0.06459,0.1165,0.2249, 1.000,0.05421,0.07612,0.3610,0.1546,0.1442,0.04037,0.07151,0.06459,0.1326,0.02768
0.03806,0.02422,0.03345,0.03806,0.04614,0.05190,0.04037,0.03806,0.05421, 1.000,0.05767,0.03922,0.04498,0.04383,0.03114,0.02537,0.03230,0.03691,0.05536
0.1038,0.03460,0.1153,0.05882,0.05306,0.08766,0.03806,0.1834,0.07612,0.05767, 1.000,0.09227,0.1303,0.06805,0.01499,0.1003,0.04498,0.1003,0.03691
0.06574,0.03345,0.1430,0.1292,0.04844,0.08997,0.2099,0.2330,0.3610,0.03922,0.09227, 1.000,0.1534,0.1730,0.03576,0.07266,0.05536,0.1430,0.03345
0.05652,0.04268,0.1188,0.07151,0.05767,0.1522,0.06690,0.3818,0.1546,0.04498,0.1303,0.1534, 1.000,0.4048,0.04614,0.08997,0.04960,0.3506,0.03576
0.05882,0.03460,0.09343,0.07151,0.04037,0.1303,0.06113,0.1719,0.1442,0.04383,0.06805,0.1730,0.4048, 1.000,0.07151,0.07151,0.07036,0.3541,0.03922
0.05652,0.09112,0.03691,0.04268,0.03460,0.06805,0.05767,0.03114,0.04037,0.03114,0.01499,0.03576,0.04614,0.07151, 1.000,0.02999,0.02653,0.1038,0.05190
0.1995,0.05998,0.1038,0.1869,0.06920,0.06459,0.03460,0.1142,0.07151,0.02537,0.1003,0.07266,0.08997,0.07151,0.02999, 1.000,0.2734,0.05882,0.1280
0.1061,0.05652,0.07382,0.08651,0.06113,0.06228,0.01845,0.08074,0.06459,0.03230,0.04498,0.05536,0.04960,0.07036,0.02653,0.2734, 1.000,0.03922,0.1430
0.05998,0.04614,0.09343,0.06574,0.07036,0.2330,0.06690,0.1661,0.1326,0.03691,0.1003,0.1430,0.3506,0.3541,0.1038,0.05882,0.03922, 1.000,0.05421
0.07958,0.09804,0.04844,0.08420,0.1038,0.1050,0.04383,0.03114,0.02768,0.05536,0.03691,0.03345,0.03576,0.03922,0.05190,0.1280,0.1430,0.05421, 1.000
