Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3466,0.3043,0.4161,0.2621,0.1292,0.1012,0.07516,0.04596,0.05528,0.04099,0.02174,0.05528,0.06708,0.04472,0.1050,0.09689,0.1416,0.1720
0.3466, 1.000,0.1447,0.1727,0.2012,0.1950,0.1596,0.06149,0.02919,0.03230,0.03789,0.02919,0.04410,0.05031,0.05776,0.1211,0.07205,0.09565,0.1764
0.3043,0.1447, 1.000,0.2640,0.1255,0.07453,0.05901,0.1087,0.04658,0.04845,0.04224,0.02484,0.05404,0.05714,0.05093,0.08758,0.05528,0.09876,0.08696
0.4161,0.1727,0.2640, 1.000,0.2981,0.1255,0.05528,0.06770,0.07143,0.08137,0.03354,0.03602,0.07516,0.05590,0.03354,0.1124,0.1137,0.1230,0.1851
0.2621,0.2012,0.1255,0.2981, 1.000,0.2913,0.06149,0.03789,0.07081,0.1031,0.04720,0.03416,0.09441,0.05466,0.03478,0.07516,0.1491,0.1267,0.2845
0.1292,0.1950,0.07453,0.1255,0.2913, 1.000,0.08385,0.04161,0.04907,0.06708,0.06273,0.03292,0.08944,0.05280,0.03106,0.04845,0.07764,0.1093,0.1907
0.1012,0.1596,0.05901,0.05528,0.06149,0.08385, 1.000,0.04286,0.03354,0.04286,0.03354,0.03354,0.02919,0.06149,0.06460,0.04969,0.03789,0.05466,0.07764
0.07516,0.06149,0.1087,0.06770,0.03789,0.04161,0.04286, 1.000,0.04720,0.02919,0.03043,0.02298,0.03043,0.03043,0.06894,0.07950,0.04472,0.04783,0.06957
0.04596,0.02919,0.04658,0.07143,0.07081,0.04907,0.03354,0.04720, 1.000,0.07267,0.02795,0.1068,0.03354,0.05031,0.04286,0.04658,0.08944,0.04783,0.07764
0.05528,0.03230,0.04845,0.08137,0.1031,0.06708,0.04286,0.02919,0.07267, 1.000,0.06273,0.05404,0.1081,0.03478,0.03416,0.03727,0.08012,0.05839,0.07516
0.04099,0.03789,0.04224,0.03354,0.04720,0.06273,0.03354,0.03043,0.02795,0.06273, 1.000,0.02236,0.09193,0.03292,0.02050,0.03354,0.04596,0.06025,0.04472
0.02174,0.02919,0.02484,0.03602,0.03416,0.03292,0.03354,0.02298,0.1068,0.05404,0.02236, 1.000,0.02981,0.04720,0.07888,0.02422,0.03913,0.02484,0.03292
0.05528,0.04410,0.05404,0.07516,0.09441,0.08944,0.02919,0.03043,0.03354,0.1081,0.09193,0.02981, 1.000,0.03975,0.03540,0.03043,0.03727,0.1733,0.05155
0.06708,0.05031,0.05714,0.05590,0.05466,0.05280,0.06149,0.03043,0.05031,0.03478,0.03292,0.04720,0.03975, 1.000,0.04224,0.02981,0.03416,0.07702,0.04161
0.04472,0.05776,0.05093,0.03354,0.03478,0.03106,0.06460,0.06894,0.04286,0.03416,0.02050,0.07888,0.03540,0.04224, 1.000,0.03168,0.02050,0.03230,0.02981
0.1050,0.1211,0.08758,0.1124,0.07516,0.04845,0.04969,0.07950,0.04658,0.03727,0.03354,0.02422,0.03043,0.02981,0.03168, 1.000,0.09379,0.03727,0.1000
0.09689,0.07205,0.05528,0.1137,0.1491,0.07764,0.03789,0.04472,0.08944,0.08012,0.04596,0.03913,0.03727,0.03416,0.02050,0.09379, 1.000,0.03727,0.2081
0.1416,0.09565,0.09876,0.1230,0.1267,0.1093,0.05466,0.04783,0.04783,0.05839,0.06025,0.02484,0.1733,0.07702,0.03230,0.03727,0.03727, 1.000,0.1155
0.1720,0.1764,0.08696,0.1851,0.2845,0.1907,0.07764,0.06957,0.07764,0.07516,0.04472,0.03292,0.05155,0.04161,0.02981,0.1000,0.2081,0.1155, 1.000
