Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.09767,0.05065,0.03411,0.03824,0.05271,0.05891,0.02739,0.02584,0.04031,0.04341,0.03307,0.01860,0.03152,0.08269, 1.000,0.03876,0.02016,0.03928
0.09767, 1.000,0.02481,0.02429,0.04031,0.1106,0.1339,0.02222,0.03101,0.03359,0.03256,0.02791,0.03359,0.06770,0.06512,0.09767,0.02842,0.02894,0.02791
0.05065,0.02481, 1.000,0.03824,0.02791,0.01602,0.01705,0.03411,0.02377,0.02687,0.03204,0.02687,0.02377,0.02326,0.03463,0.05065,0.02739,0.02481,0.02532
0.03411,0.02429,0.03824, 1.000,0.05581,0.02687,0.01757,0.02791,0.02791,0.02481,0.02171,0.03256,0.02842,0.02067,0.03411,0.03411,0.03669,0.02791,0.03979
0.03824,0.04031,0.02791,0.05581, 1.000,0.05426,0.02119,0.02171,0.02481,0.01550,0.02429,0.02119,0.03152,0.04444,0.04548,0.03824,0.02636,0.05426,0.04083
0.05271,0.1106,0.01602,0.02687,0.05426, 1.000,0.07390,0.03049,0.02842,0.02119,0.01809,0.02016,0.04910,0.05271,0.04703,0.05271,0.02171,0.04083,0.02584
0.05891,0.1339,0.01705,0.01757,0.02119,0.07390, 1.000,0.02636,0.03979,0.02067,0.02326,0.02222,0.02791,0.05633,0.03307,0.05891,0.02274,0.02377,0.02067
0.02739,0.02222,0.03411,0.02791,0.02171,0.03049,0.02636, 1.000,0.03411,0.02584,0.03463,0.02532,0.03721,0.02687,0.02067,0.02739,0.02791,0.02997,0.03411
0.02584,0.03101,0.02377,0.02791,0.02481,0.02842,0.03979,0.03411, 1.000,0.03411,0.02687,0.03876,0.02481,0.02894,0.02636,0.02584,0.03359,0.02894,0.02842
0.04031,0.03359,0.02687,0.02481,0.01550,0.02119,0.02067,0.02584,0.03411, 1.000,0.03049,0.02791,0.02171,0.01654,0.03463,0.04031,0.01860,0.02997,0.02171
0.04341,0.03256,0.03204,0.02171,0.02429,0.01809,0.02326,0.03463,0.02687,0.03049, 1.000,0.02739,0.02997,0.02687,0.02739,0.04341,0.01964,0.03152,0.02016
0.03307,0.02791,0.02687,0.03256,0.02119,0.02016,0.02222,0.02532,0.03876,0.02791,0.02739, 1.000,0.02067,0.02326,0.01860,0.03307,0.02946,0.02377,0.03204
0.01860,0.03359,0.02377,0.02842,0.03152,0.04910,0.02791,0.03721,0.02481,0.02171,0.02997,0.02067, 1.000,0.04961,0.03101,0.01860,0.02016,0.05943,0.02997
0.03152,0.06770,0.02326,0.02067,0.04444,0.05271,0.05633,0.02687,0.02894,0.01654,0.02687,0.02326,0.04961, 1.000,0.04961,0.03152,0.02326,0.03204,0.01757
0.08269,0.06512,0.03463,0.03411,0.04548,0.04703,0.03307,0.02067,0.02636,0.03463,0.02739,0.01860,0.03101,0.04961, 1.000,0.08269,0.02946,0.02326,0.02739
 1.000,0.09767,0.05065,0.03411,0.03824,0.05271,0.05891,0.02739,0.02584,0.04031,0.04341,0.03307,0.01860,0.03152,0.08269, 1.000,0.03876,0.02016,0.03928
0.03876,0.02842,0.02739,0.03669,0.02636,0.02171,0.02274,0.02791,0.03359,0.01860,0.01964,0.02946,0.02016,0.02326,0.02946,0.03876, 1.000,0.02429,0.07752
0.02016,0.02894,0.02481,0.02791,0.05426,0.04083,0.02377,0.02997,0.02894,0.02997,0.03152,0.02377,0.05943,0.03204,0.02326,0.02016,0.02429, 1.000,0.03669
0.03928,0.02791,0.02532,0.03979,0.04083,0.02584,0.02067,0.03411,0.02842,0.02171,0.02016,0.03204,0.02997,0.01757,0.02739,0.03928,0.07752,0.03669, 1.000
