Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.07222,0.03056,0.5046,0.1546,0.1009,0.03981,0.05278,0.03056,0.1704,0.06204,0.03056,0.1074,0.1417,0.05463,0.03981,0.05463,0.1019,0.08889
0.07222, 1.000,0.03519,0.05000,0.2954,0.5074,0.1398,0.05556,0.02778,0.05185,0.03519,0.02963,0.1185,0.1907,0.06389,0.06296,0.05093,0.1324,0.08241
0.03056,0.03519, 1.000,0.02500,0.03981,0.03796,0.01759,0.03611,0.02222,0.01759,0.04167,0.04815,0.01759,0.02778,0.08889,0.2176,0.04907,0.03148,0.04630
0.5046,0.05000,0.02500, 1.000,0.1130,0.06574,0.03241,0.03611,0.05833,0.2019,0.05926,0.02778,0.09537,0.06389,0.04722,0.02963,0.05000,0.07315,0.06574
0.1546,0.2954,0.03981,0.1130, 1.000,0.5583,0.06111,0.05278,0.02963,0.1139,0.03519,0.04167,0.09815,0.1491,0.06019,0.05741,0.07963,0.1093,0.1028
0.1009,0.5074,0.03796,0.06574,0.5583, 1.000,0.08981,0.05000,0.01944,0.07593,0.03981,0.03889,0.09907,0.1731,0.05833,0.06019,0.05648,0.1333,0.09352
0.03981,0.1398,0.01759,0.03241,0.06111,0.08981, 1.000,0.05556,0.02407,0.02870,0.03889,0.05648,0.06019,0.07778,0.03519,0.03148,0.02315,0.06944,0.04815
0.05278,0.05556,0.03611,0.03611,0.05278,0.05000,0.05556, 1.000,0.02500,0.08056,0.1111,0.01574,0.06389,0.05926,0.01944,0.02593,0.03056,0.02593,0.02037
0.03056,0.02778,0.02222,0.05833,0.02963,0.01944,0.02407,0.02500, 1.000,0.03241,0.01852,0.01944,0.03889,0.01759,0.02963,0.03981,0.07778,0.04167,0.06667
0.1704,0.05185,0.01759,0.2019,0.1139,0.07593,0.02870,0.08056,0.03241, 1.000,0.09259,0.03056,0.09722,0.05741,0.02037,0.02685,0.05278,0.05463,0.05556
0.06204,0.03519,0.04167,0.05926,0.03519,0.03981,0.03889,0.1111,0.01852,0.09259, 1.000,0.03148,0.06852,0.02963,0.02500,0.02870,0.01852,0.02963,0.02222
0.03056,0.02963,0.04815,0.02778,0.04167,0.03889,0.05648,0.01574,0.01944,0.03056,0.03148, 1.000,0.02870,0.03241,0.03241,0.06019,0.1037,0.02685,0.03333
0.1074,0.1185,0.01759,0.09537,0.09815,0.09907,0.06019,0.06389,0.03889,0.09722,0.06852,0.02870, 1.000,0.09167,0.02870,0.01759,0.03426,0.08796,0.03981
0.1417,0.1907,0.02778,0.06389,0.1491,0.1731,0.07778,0.05926,0.01759,0.05741,0.02963,0.03241,0.09167, 1.000,0.07593,0.04074,0.03519,0.1259,0.06296
0.05463,0.06389,0.08889,0.04722,0.06019,0.05833,0.03519,0.01944,0.02963,0.02037,0.02500,0.03241,0.02870,0.07593, 1.000,0.1657,0.04722,0.06667,0.07685
0.03981,0.06296,0.2176,0.02963,0.05741,0.06019,0.03148,0.02593,0.03981,0.02685,0.02870,0.06019,0.01759,0.04074,0.1657, 1.000,0.1287,0.05463,0.1417
0.05463,0.05093,0.04907,0.05000,0.07963,0.05648,0.02315,0.03056,0.07778,0.05278,0.01852,0.1037,0.03426,0.03519,0.04722,0.1287, 1.000,0.06296,0.1963
0.1019,0.1324,0.03148,0.07315,0.1093,0.1333,0.06944,0.02593,0.04167,0.05463,0.02963,0.02685,0.08796,0.1259,0.06667,0.05463,0.06296, 1.000,0.1556
0.08889,0.08241,0.04630,0.06574,0.1028,0.09352,0.04815,0.02037,0.06667,0.05556,0.02222,0.03333,0.03981,0.06296,0.07685,0.1417,0.1963,0.1556, 1.000
