Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1417,0.3084,0.1249,0.04472,0.04472,0.07859,0.02764,0.01897,0.03767,0.03117,0.02385,0.02954,0.05691,0.1786,0.1049,0.03902,0.04661,0.05149
0.1417, 1.000,0.04363,0.03604,0.05149,0.1602,0.4024,0.02005,0.03848,0.03794,0.01924,0.03659,0.04634,0.09566,0.1436,0.05095,0.02846,0.05474,0.05691
0.3084,0.04363, 1.000,0.1184,0.02927,0.01870,0.03767,0.05935,0.02629,0.03659,0.06016,0.02466,0.02331,0.02710,0.09946,0.09079,0.03062,0.03360,0.04119
0.1249,0.03604,0.1184, 1.000,0.1195,0.03659,0.02981,0.02466,0.03144,0.02222,0.02683,0.03902,0.03523,0.03415,0.06721,0.08618,0.07805,0.07507,0.1238
0.04472,0.05149,0.02927,0.1195, 1.000,0.1103,0.03144,0.02683,0.02385,0.03333,0.01951,0.02818,0.06477,0.04824,0.05474,0.05420,0.07127,0.1572,0.2160
0.04472,0.1602,0.01870,0.03659,0.1103, 1.000,0.1041,0.05122,0.02602,0.01951,0.02385,0.02629,0.09648,0.09404,0.08753,0.03713,0.03550,0.1371,0.1244
0.07859,0.4024,0.03767,0.02981,0.03144,0.1041, 1.000,0.02520,0.05312,0.04228,0.02005,0.06965,0.05420,0.1079,0.1005,0.03821,0.02276,0.04715,0.03442
0.02764,0.02005,0.05935,0.02466,0.02683,0.05122,0.02520, 1.000,0.03469,0.04390,0.1545,0.04119,0.1423,0.04661,0.02412,0.04119,0.02412,0.05068,0.02331
0.01897,0.03848,0.02629,0.03144,0.02385,0.02602,0.05312,0.03469, 1.000,0.03767,0.03523,0.2407,0.03415,0.05691,0.02168,0.02981,0.04607,0.02520,0.03225
0.03767,0.03794,0.03659,0.02222,0.03333,0.01951,0.04228,0.04390,0.03767, 1.000,0.03550,0.04255,0.03415,0.02331,0.02575,0.02276,0.03225,0.03252,0.03062
0.03117,0.01924,0.06016,0.02683,0.01951,0.02385,0.02005,0.1545,0.03523,0.03550, 1.000,0.05962,0.05556,0.02683,0.02439,0.05501,0.03469,0.03550,0.02547
0.02385,0.03659,0.02466,0.03902,0.02818,0.02629,0.06965,0.04119,0.2407,0.04255,0.05962, 1.000,0.04119,0.06423,0.02249,0.03550,0.05556,0.02168,0.03089
0.02954,0.04634,0.02331,0.03523,0.06477,0.09648,0.05420,0.1423,0.03415,0.03415,0.05556,0.04119, 1.000,0.1732,0.03523,0.01978,0.03171,0.2680,0.06098
0.05691,0.09566,0.02710,0.03415,0.04824,0.09404,0.1079,0.04661,0.05691,0.02331,0.02683,0.06423,0.1732, 1.000,0.07995,0.02060,0.02249,0.1447,0.04444
0.1786,0.1436,0.09946,0.06721,0.05474,0.08753,0.1005,0.02412,0.02168,0.02575,0.02439,0.02249,0.03523,0.07995, 1.000,0.07751,0.03062,0.07046,0.07263
0.1049,0.05095,0.09079,0.08618,0.05420,0.03713,0.03821,0.04119,0.02981,0.02276,0.05501,0.03550,0.01978,0.02060,0.07751, 1.000,0.09051,0.02846,0.09837
0.03902,0.02846,0.03062,0.07805,0.07127,0.03550,0.02276,0.02412,0.04607,0.03225,0.03469,0.05556,0.03171,0.02249,0.03062,0.09051, 1.000,0.04634,0.1325
0.04661,0.05474,0.03360,0.07507,0.1572,0.1371,0.04715,0.05068,0.02520,0.03252,0.03550,0.02168,0.2680,0.1447,0.07046,0.02846,0.04634, 1.000,0.1848
0.05149,0.05691,0.04119,0.1238,0.2160,0.1244,0.03442,0.02331,0.03225,0.03062,0.02547,0.03089,0.06098,0.04444,0.07263,0.09837,0.1325,0.1848, 1.000
