Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1349,0.08122,0.1610,0.07469,0.06962,0.05040,0.02719,0.03445,0.02248,0.03445,0.02502,0.03626,0.1269,0.1033,0.08122,0.03988,0.1026,0.1037
0.1349, 1.000,0.1189,0.1128,0.09028,0.1345,0.05185,0.02611,0.03299,0.02756,0.03553,0.03227,0.04133,0.08303,0.1044,0.1294,0.05004,0.08847,0.2020
0.08122,0.1189, 1.000,0.09065,0.03408,0.04351,0.03191,0.05656,0.03118,0.02937,0.07868,0.02248,0.03046,0.04387,0.1407,0.09826,0.03263,0.03735,0.05910
0.1610,0.1128,0.09065, 1.000,0.08593,0.07034,0.02502,0.02683,0.04677,0.04931,0.04641,0.04387,0.04750,0.06236,0.07542,0.07578,0.05439,0.08992,0.1095
0.07469,0.09028,0.03408,0.08593, 1.000,0.1733,0.02067,0.03227,0.03009,0.06454,0.04206,0.02683,0.08666,0.07179,0.02937,0.04133,0.05402,0.08303,0.1051
0.06962,0.1345,0.04351,0.07034,0.1733, 1.000,0.03154,0.02611,0.02683,0.03118,0.03880,0.02611,0.06019,0.06019,0.04532,0.04387,0.07288,0.07469,0.1599
0.05040,0.05185,0.03191,0.02502,0.02067,0.03154, 1.000,0.02067,0.04315,0.03553,0.01777,0.06817,0.02103,0.05656,0.03408,0.02139,0.02901,0.03227,0.02611
0.02719,0.02611,0.05656,0.02683,0.03227,0.02611,0.02067, 1.000,0.02901,0.02792,0.05511,0.02828,0.06635,0.03118,0.04532,0.03880,0.03481,0.03408,0.02828
0.03445,0.03299,0.03118,0.04677,0.03009,0.02683,0.04315,0.02901, 1.000,0.07034,0.03336,0.06563,0.03553,0.04532,0.02538,0.05040,0.05910,0.03553,0.05910
0.02248,0.02756,0.02937,0.04931,0.06454,0.03118,0.03553,0.02792,0.07034, 1.000,0.02175,0.07578,0.03843,0.01922,0.03408,0.02248,0.07578,0.02828,0.04496
0.03445,0.03553,0.07868,0.04641,0.04206,0.03880,0.01777,0.05511,0.03336,0.02175, 1.000,0.03372,0.04895,0.03154,0.03517,0.06019,0.03807,0.02864,0.03118
0.02502,0.03227,0.02248,0.04387,0.02683,0.02611,0.06817,0.02828,0.06563,0.07578,0.03372, 1.000,0.02683,0.03408,0.02393,0.03988,0.05221,0.02103,0.02901
0.03626,0.04133,0.03046,0.04750,0.08666,0.06019,0.02103,0.06635,0.03553,0.03843,0.04895,0.02683, 1.000,0.05185,0.03445,0.02103,0.04278,0.04859,0.03880
0.1269,0.08303,0.04387,0.06236,0.07179,0.06019,0.05656,0.03118,0.04532,0.01922,0.03154,0.03408,0.05185, 1.000,0.06962,0.03880,0.03771,0.09427,0.05656
0.1033,0.1044,0.1407,0.07542,0.02937,0.04532,0.03408,0.04532,0.02538,0.03408,0.03517,0.02393,0.03445,0.06962, 1.000,0.07288,0.02683,0.03698,0.05149
0.08122,0.1294,0.09826,0.07578,0.04133,0.04387,0.02139,0.03880,0.05040,0.02248,0.06019,0.03988,0.02103,0.03880,0.07288, 1.000,0.05475,0.03299,0.1048
0.03988,0.05004,0.03263,0.05439,0.05402,0.07288,0.02901,0.03481,0.05910,0.07578,0.03807,0.05221,0.04278,0.03771,0.02683,0.05475, 1.000,0.05294,0.1599
0.1026,0.08847,0.03735,0.08992,0.08303,0.07469,0.03227,0.03408,0.03553,0.02828,0.02864,0.02103,0.04859,0.09427,0.03698,0.03299,0.05294, 1.000,0.1189
0.1037,0.2020,0.05910,0.1095,0.1051,0.1599,0.02611,0.02828,0.05910,0.04496,0.03118,0.02901,0.03880,0.05656,0.05149,0.1048,0.1599,0.1189, 1.000
