Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.02725,0.04672,0.1484,0.08905,0.03066,0.01995,0.01655,0.02676,0.02676,0.05255,0.02190,0.02579,0.03358,0.02190,0.06764,0.03601,0.02920,0.05547
0.02725, 1.000,0.02433,0.02287,0.03504,0.1883,0.04915,0.03552,0.04282,0.02141,0.02676,0.02384,0.04234,0.06229,0.06180,0.02871,0.01898,0.05937,0.02482
0.04672,0.02433, 1.000,0.07543,0.01995,0.02433,0.02238,0.06959,0.02871,0.02725,0.04574,0.03942,0.02579,0.02190,0.03358,0.05791,0.02190,0.01849,0.03358
0.1484,0.02287,0.07543, 1.000,0.08905,0.02920,0.02774,0.03260,0.05304,0.02141,0.04720,0.05499,0.02774,0.03066,0.02725,0.08224,0.05547,0.02628,0.07007
0.08905,0.03504,0.01995,0.08905, 1.000,0.03504,0.02579,0.02044,0.02141,0.03066,0.02822,0.03358,0.03893,0.03309,0.02579,0.05839,0.05207,0.03260,0.06715
0.03066,0.1883,0.02433,0.02920,0.03504, 1.000,0.07007,0.06375,0.04331,0.02968,0.05596,0.04380,0.09635,0.1182,0.05547,0.02384,0.02238,0.09781,0.02190
0.01995,0.04915,0.02238,0.02774,0.02579,0.07007, 1.000,0.03406,0.07105,0.03358,0.02725,0.08467,0.03455,0.07689,0.04672,0.02579,0.03212,0.03504,0.02384
0.01655,0.03552,0.06959,0.03260,0.02044,0.06375,0.03406, 1.000,0.07543,0.01752,0.04136,0.04428,0.08710,0.05450,0.02190,0.03796,0.03114,0.02482,0.02579
0.02676,0.04282,0.02871,0.05304,0.02141,0.04331,0.07105,0.07543, 1.000,0.03017,0.04185,0.07251,0.02871,0.05596,0.03747,0.05012,0.06813,0.02725,0.04331
0.02676,0.02141,0.02725,0.02141,0.03066,0.02968,0.03358,0.01752,0.03017, 1.000,0.02920,0.02287,0.02774,0.02774,0.02579,0.01995,0.02530,0.03504,0.02871
0.05255,0.02676,0.04574,0.04720,0.02822,0.05596,0.02725,0.04136,0.04185,0.02920, 1.000,0.04964,0.04720,0.04088,0.02384,0.05888,0.02774,0.03893,0.02920
0.02190,0.02384,0.03942,0.05499,0.03358,0.04380,0.08467,0.04428,0.07251,0.02287,0.04964, 1.000,0.02871,0.03552,0.02676,0.05255,0.09100,0.02871,0.02676
0.02579,0.04234,0.02579,0.02774,0.03893,0.09635,0.03455,0.08710,0.02871,0.02774,0.04720,0.02871, 1.000,0.09878,0.02676,0.02676,0.02871,0.08175,0.02190
0.03358,0.06229,0.02190,0.03066,0.03309,0.1182,0.07689,0.05450,0.05596,0.02774,0.04088,0.03552,0.09878, 1.000,0.04866,0.02822,0.03455,0.09197,0.02044
0.02190,0.06180,0.03358,0.02725,0.02579,0.05547,0.04672,0.02190,0.03747,0.02579,0.02384,0.02676,0.02676,0.04866, 1.000,0.02579,0.03212,0.05547,0.02968
0.06764,0.02871,0.05791,0.08224,0.05839,0.02384,0.02579,0.03796,0.05012,0.01995,0.05888,0.05255,0.02676,0.02822,0.02579, 1.000,0.07299,0.02530,0.08954
0.03601,0.01898,0.02190,0.05547,0.05207,0.02238,0.03212,0.03114,0.06813,0.02530,0.02774,0.09100,0.02871,0.03455,0.03212,0.07299, 1.000,0.03358,0.08613
0.02920,0.05937,0.01849,0.02628,0.03260,0.09781,0.03504,0.02482,0.02725,0.03504,0.03893,0.02871,0.08175,0.09197,0.05547,0.02530,0.03358, 1.000,0.01995
0.05547,0.02482,0.03358,0.07007,0.06715,0.02190,0.02384,0.02579,0.04331,0.02871,0.02920,0.02676,0.02190,0.02044,0.02968,0.08954,0.08613,0.01995, 1.000
