Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1167,0.04667,0.02667,0.04500,0.03333,0.1617,0.03667,0.1283,0.07167,0.06500,0.2633,0.06333,0.09833,0.04833,0.02333,0.02333,0.06000,0.04500
0.1167, 1.000,0.03833,0.02000,0.04667,0.05000,0.4100,0.02833,0.07500,0.05500,0.02000,0.1100,0.04667,0.1383,0.3200,0.05667,0.03000,0.07167,0.04167
0.04667,0.03833, 1.000,0.05167,0.04500,0.02333,0.03167,0.04667,0.06333,0.06333,0.02333,0.04167,0.06000,0.03667,0.07000,0.07167,0.08333,0.04833,0.07167
0.02667,0.02000,0.05167, 1.000,0.4367,0.4233,0.02667,0.02833,0.08167,0.1117,0.09000,0.02167,0.06167,0.04667,0.01333,0.06667,0.1733,0.1200,0.3017
0.04500,0.04667,0.04500,0.4367, 1.000,0.4633,0.03000,0.03333,0.1350,0.2433,0.1483,0.03000,0.1083,0.05667,0.02667,0.04000,0.1300,0.2050,0.2483
0.03333,0.05000,0.02333,0.4233,0.4633, 1.000,0.05167,0.01667,0.06500,0.1317,0.08333,0.01333,0.08667,0.08667,0.03833,0.05000,0.09500,0.1733,0.2450
0.1617,0.4100,0.03167,0.02667,0.03000,0.05167, 1.000,0.04000,0.07333,0.05000,0.02333,0.1383,0.04167,0.1367,0.2483,0.08000,0.03333,0.06000,0.04500
0.03667,0.02833,0.04667,0.02833,0.03333,0.01667,0.04000, 1.000,0.03500,0.04333,0.02500,0.02167,0.04667,0.05000,0.05333,0.09167,0.01833,0.02500,0.01667
0.1283,0.07500,0.06333,0.08167,0.1350,0.06500,0.07333,0.03500, 1.000,0.2250,0.08000,0.07833,0.09667,0.05667,0.04667,0.02167,0.1467,0.1767,0.1733
0.07167,0.05500,0.06333,0.1117,0.2433,0.1317,0.05000,0.04333,0.2250, 1.000,0.1800,0.07833,0.1567,0.07333,0.01833,0.02000,0.1300,0.2017,0.1583
0.06500,0.02000,0.02333,0.09000,0.1483,0.08333,0.02333,0.02500,0.08000,0.1800, 1.000,0.07167,0.2050,0.02833,0.01667,0.02833,0.06333,0.1550,0.09667
0.2633,0.1100,0.04167,0.02167,0.03000,0.01333,0.1383,0.02167,0.07833,0.07833,0.07167, 1.000,0.04833,0.05667,0.05333,0.03167,0.05333,0.05333,0.02833
0.06333,0.04667,0.06000,0.06167,0.1083,0.08667,0.04167,0.04667,0.09667,0.1567,0.2050,0.04833, 1.000,0.08500,0.01500,0.03333,0.06500,0.2967,0.07667
0.09833,0.1383,0.03667,0.04667,0.05667,0.08667,0.1367,0.05000,0.05667,0.07333,0.02833,0.05667,0.08500, 1.000,0.08167,0.03333,0.04667,0.1000,0.05333
0.04833,0.3200,0.07000,0.01333,0.02667,0.03833,0.2483,0.05333,0.04667,0.01833,0.01667,0.05333,0.01500,0.08167, 1.000,0.1250,0.006667,0.04000,0.03500
0.02333,0.05667,0.07167,0.06667,0.04000,0.05000,0.08000,0.09167,0.02167,0.02000,0.02833,0.03167,0.03333,0.03333,0.1250, 1.000,0.08833,0.03000,0.07333
0.02333,0.03000,0.08333,0.1733,0.1300,0.09500,0.03333,0.01833,0.1467,0.1300,0.06333,0.05333,0.06500,0.04667,0.006667,0.08833, 1.000,0.09833,0.2767
0.06000,0.07167,0.04833,0.1200,0.2050,0.1733,0.06000,0.02500,0.1767,0.2017,0.1550,0.05333,0.2967,0.1000,0.04000,0.03000,0.09833, 1.000,0.2050
0.04500,0.04167,0.07167,0.3017,0.2483,0.2450,0.04500,0.01667,0.1733,0.1583,0.09667,0.02833,0.07667,0.05333,0.03500,0.07333,0.2767,0.2050, 1.000
