Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.07438,0.1543,0.2755,0.1405,0.05234,0.03030,0.03306,0.04959,0.03030,0.02479,0.03857,0.01653,0.05510,0.09366,0.05234,0.06336,0.02755,0.05510
0.07438, 1.000,0.02479,0.05234,0.1102,0.3278,0.1818,0.03030,0.05785,0.04132,0.04132,0.04408,0.07163,0.1543,0.09917,0.09091,0.04683,0.09091,0.05785
0.1543,0.02479, 1.000,0.1185,0.02479,0.01653,0.06336,0.1102,0.06061,0.02204,0.03306,0.1322,0.01928,0.01102,0.09091,0.09091,0.08815,0.02755,0.03857
0.2755,0.05234,0.1185, 1.000,0.3526,0.06336,0.02755,0.01377,0.05785,0.09366,0.01653,0.05234,0.01102,0.03306,0.08264,0.07989,0.1791,0.1129,0.2259
0.1405,0.1102,0.02479,0.3526, 1.000,0.1736,0.02204,0.02755,0.01928,0.1377,0.02755,0.02755,0.1019,0.05234,0.06612,0.06336,0.1240,0.2645,0.2204
0.05234,0.3278,0.01653,0.06336,0.1736, 1.000,0.09091,0.02755,0.02755,0.03857,0.05785,0.03030,0.1377,0.1350,0.04683,0.07989,0.08264,0.2259,0.1322
0.03030,0.1818,0.06336,0.02755,0.02204,0.09091, 1.000,0.02204,0.03857,0.03306,0.05510,0.1377,0.01928,0.06887,0.04959,0.03306,0.03306,0.01102,0.008264
0.03306,0.03030,0.1102,0.01377,0.02755,0.02755,0.02204, 1.000,0.09642,0.06061,0.07713,0.06612,0.2039,0.05785,0.04959,0.08264,0.05510,0.04132,0.03306
0.04959,0.05785,0.06061,0.05785,0.01928,0.02755,0.03857,0.09642, 1.000,0.06612,0.06061,0.1708,0.06612,0.1212,0.05510,0.08540,0.1129,0.05234,0.06061
0.03030,0.04132,0.02204,0.09366,0.1377,0.03857,0.03306,0.06061,0.06612, 1.000,0.03581,0.02755,0.07989,0.03581,0.02755,0.02755,0.08540,0.1901,0.1074
0.02479,0.04132,0.03306,0.01653,0.02755,0.05785,0.05510,0.07713,0.06061,0.03581, 1.000,0.05234,0.1212,0.05510,0.04408,0.07713,0.04959,0.06061,0.06061
0.03857,0.04408,0.1322,0.05234,0.02755,0.03030,0.1377,0.06612,0.1708,0.02755,0.05234, 1.000,0.04132,0.07713,0.01928,0.07989,0.1322,0.01928,0.03306
0.01653,0.07163,0.01928,0.01102,0.1019,0.1377,0.01928,0.2039,0.06612,0.07989,0.1212,0.04132, 1.000,0.1543,0.03857,0.01377,0.03030,0.2259,0.03857
0.05510,0.1543,0.01102,0.03306,0.05234,0.1350,0.06887,0.05785,0.1212,0.03581,0.05510,0.07713,0.1543, 1.000,0.1074,0.04132,0.01928,0.06336,0.02755
0.09366,0.09917,0.09091,0.08264,0.06612,0.04683,0.04959,0.04959,0.05510,0.02755,0.04408,0.01928,0.03857,0.1074, 1.000,0.1240,0.03581,0.03030,0.07163
0.05234,0.09091,0.09091,0.07989,0.06336,0.07989,0.03306,0.08264,0.08540,0.02755,0.07713,0.07989,0.01377,0.04132,0.1240, 1.000,0.2397,0.04959,0.1102
0.06336,0.04683,0.08815,0.1791,0.1240,0.08264,0.03306,0.05510,0.1129,0.08540,0.04959,0.1322,0.03030,0.01928,0.03581,0.2397, 1.000,0.06061,0.3223
0.02755,0.09091,0.02755,0.1129,0.2645,0.2259,0.01102,0.04132,0.05234,0.1901,0.06061,0.01928,0.2259,0.06336,0.03030,0.04959,0.06061, 1.000,0.2645
0.05510,0.05785,0.03857,0.2259,0.2204,0.1322,0.008264,0.03306,0.06061,0.1074,0.06061,0.03306,0.03857,0.02755,0.07163,0.1102,0.3223,0.2645, 1.000
