Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.05773,0.02680,0.1086,0.08385,0.02749,0.02268,0.01581,0.01581,0.02405,0.02955,0.01787,0.02405,0.03849,0.03918,0.06186,0.03574,0.03299,0.05498
0.05773, 1.000,0.02612,0.03093,0.04124,0.1471,0.05086,0.03299,0.02199,0.02955,0.02818,0.02474,0.02955,0.07835,0.07010,0.03849,0.03024,0.05842,0.04055
0.02680,0.02612, 1.000,0.02199,0.02131,0.02268,0.01787,0.1058,0.02887,0.03574,0.02680,0.02131,0.02680,0.02749,0.03574,0.03574,0.01512,0.02543,0.02405
0.1086,0.03093,0.02199, 1.000,0.1271,0.03230,0.02199,0.02543,0.03711,0.02062,0.04399,0.03299,0.03299,0.03368,0.02818,0.07216,0.04948,0.03918,0.06873
0.08385,0.04124,0.02131,0.1271, 1.000,0.04605,0.02062,0.02062,0.02749,0.03024,0.02612,0.03368,0.03574,0.03299,0.02474,0.05979,0.05567,0.04192,0.09553
0.02749,0.1471,0.02268,0.03230,0.04605, 1.000,0.04811,0.05773,0.03162,0.03780,0.03643,0.02543,0.03918,0.07491,0.06254,0.03024,0.02543,0.05567,0.04880
0.02268,0.05086,0.01787,0.02199,0.02062,0.04811, 1.000,0.02062,0.04811,0.02268,0.03643,0.07285,0.01856,0.06598,0.04399,0.03024,0.02268,0.03986,0.02199
0.01581,0.03299,0.1058,0.02543,0.02062,0.05773,0.02062, 1.000,0.03780,0.02887,0.03986,0.02955,0.1196,0.03849,0.02749,0.03230,0.02199,0.02680,0.02749
0.01581,0.02199,0.02887,0.03711,0.02749,0.03162,0.04811,0.03780, 1.000,0.02199,0.03299,0.06392,0.03436,0.03643,0.02612,0.02818,0.04467,0.02337,0.03024
0.02405,0.02955,0.03574,0.02062,0.03024,0.03780,0.02268,0.02887,0.02199, 1.000,0.04192,0.02131,0.03436,0.02818,0.01718,0.01787,0.02955,0.03368,0.02131
0.02955,0.02818,0.02680,0.04399,0.02612,0.03643,0.03643,0.03986,0.03299,0.04192, 1.000,0.08591,0.03986,0.03093,0.01443,0.04948,0.02612,0.03849,0.01787
0.01787,0.02474,0.02131,0.03299,0.03368,0.02543,0.07285,0.02955,0.06392,0.02131,0.08591, 1.000,0.02680,0.03780,0.02955,0.06804,0.08591,0.02543,0.03093
0.02405,0.02955,0.02680,0.03299,0.03574,0.03918,0.01856,0.1196,0.03436,0.03436,0.03986,0.02680, 1.000,0.05430,0.02405,0.02474,0.01856,0.06460,0.03230
0.03849,0.07835,0.02749,0.03368,0.03299,0.07491,0.06598,0.03849,0.03643,0.02818,0.03093,0.03780,0.05430, 1.000,0.09347,0.02612,0.02612,0.07079,0.02474
0.03918,0.07010,0.03574,0.02818,0.02474,0.06254,0.04399,0.02749,0.02612,0.01718,0.01443,0.02955,0.02405,0.09347, 1.000,0.03711,0.01856,0.02818,0.02337
0.06186,0.03849,0.03574,0.07216,0.05979,0.03024,0.03024,0.03230,0.02818,0.01787,0.04948,0.06804,0.02474,0.02612,0.03711, 1.000,0.06392,0.02474,0.06735
0.03574,0.03024,0.01512,0.04948,0.05567,0.02543,0.02268,0.02199,0.04467,0.02955,0.02612,0.08591,0.01856,0.02612,0.01856,0.06392, 1.000,0.01581,0.04330
0.03299,0.05842,0.02543,0.03918,0.04192,0.05567,0.03986,0.02680,0.02337,0.03368,0.03849,0.02543,0.06460,0.07079,0.02818,0.02474,0.01581, 1.000,0.04811
0.05498,0.04055,0.02405,0.06873,0.09553,0.04880,0.02199,0.02749,0.03024,0.02131,0.01787,0.03093,0.03230,0.02474,0.02337,0.06735,0.04330,0.04811, 1.000
