Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1990,0.1525,0.3333,0.1266,0.1163,0.1576,0.1034,0.02584,0.02584,0.05168,0.04651,0.02842,0.08269,0.1473,0.2222,0.09819,0.1680,0.1654
0.1990, 1.000,0.1654,0.1886,0.09044,0.2248,0.1189,0.1266,0.03618,0.03618,0.04134,0.04910,0.02842,0.1395,0.3204,0.1628,0.1163,0.2041,0.1576
0.1525,0.1654, 1.000,0.1809,0.07494,0.06977,0.1602,0.5090,0.02326,0.01292,0.08010,0.02326,0.05168,0.08010,0.2713,0.1783,0.05943,0.1395,0.09561
0.3333,0.1886,0.1809, 1.000,0.1938,0.1059,0.07752,0.1473,0.04393,0.02584,0.05943,0.01292,0.03359,0.09044,0.1628,0.2558,0.08010,0.1499,0.1964
0.1266,0.09044,0.07494,0.1938, 1.000,0.1214,0.07494,0.04393,0.05943,0.03876,0.03359,0.04651,0.04393,0.1137,0.04651,0.1628,0.06460,0.1034,0.2171
0.1163,0.2248,0.06977,0.1059,0.1214, 1.000,0.1835,0.07494,0.02067,0.04910,0.05426,0.04651,0.04910,0.1318,0.1757,0.1085,0.07752,0.1964,0.1214
0.1576,0.1189,0.1602,0.07752,0.07494,0.1835, 1.000,0.09302,0.01550,0.03876,0.04393,0.05426,0.01550,0.1085,0.1654,0.1447,0.05685,0.09044,0.1085
0.1034,0.1266,0.5090,0.1473,0.04393,0.07494,0.09302, 1.000,0.03876,0.03359,0.06460,0.02326,0.04134,0.05426,0.2248,0.1576,0.07235,0.1085,0.1008
0.02584,0.03618,0.02326,0.04393,0.05943,0.02067,0.01550,0.03876, 1.000,0.04134,0.02584,0.03359,0.02067,0.02584,0.02584,0.03101,0.04134,0.03101,0.03101
0.02584,0.03618,0.01292,0.02584,0.03876,0.04910,0.03876,0.03359,0.04134, 1.000,0.04651,0.04393,0.04393,0.03876,0.02067,0.02842,0.03618,0.01809,0.02842
0.05168,0.04134,0.08010,0.05943,0.03359,0.05426,0.04393,0.06460,0.02584,0.04651, 1.000,0.05943,0.04651,0.03618,0.03101,0.03618,0.06977,0.04910,0.02067
0.04651,0.04910,0.02326,0.01292,0.04651,0.04651,0.05426,0.02326,0.03359,0.04393,0.05943, 1.000,0.01550,0.03618,0.02842,0.04134,0.09561,0.03101,0.01550
0.02842,0.02842,0.05168,0.03359,0.04393,0.04910,0.01550,0.04134,0.02067,0.04393,0.04651,0.01550, 1.000,0.07494,0.05685,0.02842,0.03101,0.08527,0.02842
0.08269,0.1395,0.08010,0.09044,0.1137,0.1318,0.1085,0.05426,0.02584,0.03876,0.03618,0.03618,0.07494, 1.000,0.1602,0.03359,0.04393,0.2946,0.04651
0.1473,0.3204,0.2713,0.1628,0.04651,0.1757,0.1654,0.2248,0.02584,0.02067,0.03101,0.02842,0.05685,0.1602, 1.000,0.1292,0.05943,0.2093,0.1137
0.2222,0.1628,0.1783,0.2558,0.1628,0.1085,0.1447,0.1576,0.03101,0.02842,0.03618,0.04134,0.02842,0.03359,0.1292, 1.000,0.1938,0.09819,0.3566
0.09819,0.1163,0.05943,0.08010,0.06460,0.07752,0.05685,0.07235,0.04134,0.03618,0.06977,0.09561,0.03101,0.04393,0.05943,0.1938, 1.000,0.04134,0.1292
0.1680,0.2041,0.1395,0.1499,0.1034,0.1964,0.09044,0.1085,0.03101,0.01809,0.04910,0.03101,0.08527,0.2946,0.2093,0.09819,0.04134, 1.000,0.1214
0.1654,0.1576,0.09561,0.1964,0.2171,0.1214,0.1085,0.1008,0.03101,0.02842,0.02067,0.01550,0.02842,0.04651,0.1137,0.3566,0.1292,0.1214, 1.000
