Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.03352,0.04581,0.1084,0.05028,0.03464,0.03240,0.02235,0.04804,0.04693,0.07486,0.04358,0.05587,0.03352,0.02235,0.09944,0.03464,0.05587,0.06927
0.03352, 1.000,0.08156,0.02123,0.03017,0.06145,0.04022,0.02011,0.03017,0.02570,0.03240,0.04022,0.05698,0.07598,0.09944,0.04804,0.02570,0.09162,0.04358
0.04581,0.08156, 1.000,0.05251,0.02905,0.01788,0.03575,0.05475,0.03911,0.06369,0.02682,0.03911,0.02011,0.05587,0.1151,0.05363,0.02793,0.04693,0.01899
0.1084,0.02123,0.05251, 1.000,0.1899,0.04358,0.02235,0.01788,0.05028,0.05140,0.03799,0.05587,0.05922,0.06592,0.02793,0.08603,0.1229,0.06369,0.1050
0.05028,0.03017,0.02905,0.1899, 1.000,0.05251,0.02570,0.01676,0.01676,0.005587,0.02682,0.04581,0.05140,0.02235,0.01117,0.06704,0.07263,0.02235,0.04916
0.03464,0.06145,0.01788,0.04358,0.05251, 1.000,0.03799,0.03128,0.05028,0.02793,0.02346,0.03799,0.04358,0.07374,0.03575,0.03575,0.01788,0.06034,0.03240
0.03240,0.04022,0.03575,0.02235,0.02570,0.03799, 1.000,0.02458,0.04804,0.03687,0.03352,0.1553,0.03128,0.06034,0.05587,0.01564,0.02123,0.05698,0.02793
0.02235,0.02011,0.05475,0.01788,0.01676,0.03128,0.02458, 1.000,0.01117,0.01899,0.04581,0.03352,0.02011,0.01899,0.03352,0.03687,0.02235,0.01453,0.02682
0.04804,0.03017,0.03911,0.05028,0.01676,0.05028,0.04804,0.01117, 1.000,0.05140,0.02458,0.03128,0.02570,0.08380,0.09274,0.06034,0.05251,0.06034,0.05028
0.04693,0.02570,0.06369,0.05140,0.005587,0.02793,0.03687,0.01899,0.05140, 1.000,0.04804,0.02458,0.01899,0.02793,0.04246,0.02905,0.02570,0.05140,0.05251
0.07486,0.03240,0.02682,0.03799,0.02682,0.02346,0.03352,0.04581,0.02458,0.04804, 1.000,0.01899,0.04358,0.04022,0.02570,0.05810,0.01229,0.05363,0.02235
0.04358,0.04022,0.03911,0.05587,0.04581,0.03799,0.1553,0.03352,0.03128,0.02458,0.01899, 1.000,0.02570,0.03799,0.04022,0.01788,0.05922,0.04358,0.03017
0.05587,0.05698,0.02011,0.05922,0.05140,0.04358,0.03128,0.02011,0.02570,0.01899,0.04358,0.02570, 1.000,0.05363,0.03128,0.03464,0.03464,0.05028,0.03352
0.03352,0.07598,0.05587,0.06592,0.02235,0.07374,0.06034,0.01899,0.08380,0.02793,0.04022,0.03799,0.05363, 1.000,0.09721,0.03575,0.03017,0.1173,0.02793
0.02235,0.09944,0.1151,0.02793,0.01117,0.03575,0.05587,0.03352,0.09274,0.04246,0.02570,0.04022,0.03128,0.09721, 1.000,0.02235,0.03352,0.07263,0.02235
0.09944,0.04804,0.05363,0.08603,0.06704,0.03575,0.01564,0.03687,0.06034,0.02905,0.05810,0.01788,0.03464,0.03575,0.02235, 1.000,0.06927,0.05698,0.1006
0.03464,0.02570,0.02793,0.1229,0.07263,0.01788,0.02123,0.02235,0.05251,0.02570,0.01229,0.05922,0.03464,0.03017,0.03352,0.06927, 1.000,0.02458,0.05810
0.05587,0.09162,0.04693,0.06369,0.02235,0.06034,0.05698,0.01453,0.06034,0.05140,0.05363,0.04358,0.05028,0.1173,0.07263,0.05698,0.02458, 1.000,0.05028
0.06927,0.04358,0.01899,0.1050,0.04916,0.03240,0.02793,0.02682,0.05028,0.05251,0.02235,0.03017,0.03352,0.02793,0.02235,0.1006,0.05810,0.05028, 1.000
