Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3570,0.08044,0.1074,0.1713,0.1317,0.1956,0.02424,0.01873,0.02424,0.02645,0.03306,0.05289,0.1025,0.09036,0.06116,0.06446,0.1256,0.06667
0.3570, 1.000,0.05675,0.09532,0.1328,0.09972,0.2617,0.01873,0.01598,0.02204,0.03196,0.02755,0.06942,0.1421,0.08926,0.05510,0.03967,0.1085,0.04683
0.08044,0.05675, 1.000,0.03636,0.03471,0.02259,0.03691,0.02975,0.02039,0.04022,0.04959,0.03085,0.02314,0.04187,0.05344,0.04573,0.05344,0.06556,0.06777
0.1074,0.09532,0.03636, 1.000,0.2430,0.09366,0.04132,0.01653,0.02810,0.01653,0.02314,0.05675,0.04298,0.02590,0.05179,0.09146,0.1311,0.08926,0.1019
0.1713,0.1328,0.03471,0.2430, 1.000,0.3471,0.08430,0.02149,0.01818,0.02590,0.02149,0.04408,0.06336,0.05069,0.05785,0.05124,0.07989,0.1383,0.1047
0.1317,0.09972,0.02259,0.09366,0.3471, 1.000,0.1223,0.03526,0.02645,0.02975,0.01818,0.02314,0.08375,0.07713,0.05785,0.02590,0.03747,0.09532,0.06061
0.1956,0.2617,0.03691,0.04132,0.08430,0.1223, 1.000,0.02865,0.03251,0.02259,0.02534,0.02369,0.07052,0.2182,0.1196,0.03526,0.02645,0.05510,0.02865
0.02424,0.01873,0.02975,0.01653,0.02149,0.03526,0.02865, 1.000,0.03636,0.02865,0.1047,0.03581,0.1025,0.03471,0.02865,0.03306,0.03361,0.02479,0.02479
0.01873,0.01598,0.02039,0.02810,0.01818,0.02645,0.03251,0.03636, 1.000,0.02645,0.02424,0.03140,0.01708,0.04022,0.02094,0.02534,0.02645,0.02700,0.02424
0.02424,0.02204,0.04022,0.01653,0.02590,0.02975,0.02259,0.02865,0.02645, 1.000,0.06556,0.02204,0.02479,0.02479,0.03471,0.01818,0.01653,0.03085,0.02534
0.02645,0.03196,0.04959,0.02314,0.02149,0.01818,0.02534,0.1047,0.02424,0.06556, 1.000,0.03196,0.02590,0.01928,0.03085,0.09311,0.04298,0.01653,0.02204
0.03306,0.02755,0.03085,0.05675,0.04408,0.02314,0.02369,0.03581,0.03140,0.02204,0.03196, 1.000,0.02149,0.02755,0.02094,0.06281,0.2738,0.03416,0.1047
0.05289,0.06942,0.02314,0.04298,0.06336,0.08375,0.07052,0.1025,0.01708,0.02479,0.02590,0.02149, 1.000,0.06556,0.02645,0.01763,0.01763,0.04683,0.02479
0.1025,0.1421,0.04187,0.02590,0.05069,0.07713,0.2182,0.03471,0.04022,0.02479,0.01928,0.02755,0.06556, 1.000,0.05785,0.01322,0.02094,0.06667,0.02094
0.09036,0.08926,0.05344,0.05179,0.05785,0.05785,0.1196,0.02865,0.02094,0.03471,0.03085,0.02094,0.02645,0.05785, 1.000,0.07769,0.03691,0.05179,0.05455
0.06116,0.05510,0.04573,0.09146,0.05124,0.02590,0.03526,0.03306,0.02534,0.01818,0.09311,0.06281,0.01763,0.01322,0.07769, 1.000,0.1725,0.03802,0.09421
0.06446,0.03967,0.05344,0.1311,0.07989,0.03747,0.02645,0.03361,0.02645,0.01653,0.04298,0.2738,0.01763,0.02094,0.03691,0.1725, 1.000,0.06556,0.2733
0.1256,0.1085,0.06556,0.08926,0.1383,0.09532,0.05510,0.02479,0.02700,0.03085,0.01653,0.03416,0.04683,0.06667,0.05179,0.03802,0.06556, 1.000,0.1642
0.06667,0.04683,0.06777,0.1019,0.1047,0.06061,0.02865,0.02479,0.02424,0.02534,0.02204,0.1047,0.02479,0.02094,0.05455,0.09421,0.2733,0.1642, 1.000
