Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1993,0.1371,0.3130,0.1411,0.1070,0.03545,0.02274,0.03813,0.02074,0.02943,0.03010,0.06421,0.07425,0.08896,0.1017,0.08896,0.09632,0.1278
0.1993, 1.000,0.04950,0.1284,0.1545,0.2301,0.1197,0.03411,0.03478,0.03278,0.02074,0.03746,0.08294,0.1585,0.1244,0.05619,0.05418,0.1298,0.1144
0.1371,0.04950, 1.000,0.06823,0.03545,0.03545,0.02207,0.07625,0.02809,0.02207,0.04883,0.02542,0.03278,0.03010,0.08495,0.09900,0.04281,0.02475,0.03478
0.3130,0.1284,0.06823, 1.000,0.2000,0.09431,0.04548,0.02140,0.04548,0.03411,0.02943,0.04749,0.07023,0.05151,0.04482,0.09699,0.1498,0.1110,0.1806
0.1411,0.1545,0.03545,0.2000, 1.000,0.2856,0.04482,0.03813,0.04214,0.06421,0.03478,0.03545,0.1017,0.04950,0.04482,0.04950,0.1104,0.1619,0.1953
0.1070,0.2301,0.03545,0.09431,0.2856, 1.000,0.05485,0.06087,0.02876,0.04281,0.02876,0.02542,0.1458,0.08495,0.03278,0.02207,0.07358,0.1779,0.1411
0.03545,0.1197,0.02207,0.04548,0.04482,0.05485, 1.000,0.02676,0.06154,0.02609,0.02408,0.1418,0.04883,0.09298,0.05284,0.01204,0.02609,0.05418,0.04013
0.02274,0.03411,0.07625,0.02140,0.03813,0.06087,0.02676, 1.000,0.03211,0.05351,0.1137,0.03211,0.06288,0.03679,0.02542,0.03612,0.02876,0.02809,0.03344
0.03813,0.03478,0.02809,0.04548,0.04214,0.02876,0.06154,0.03211, 1.000,0.06488,0.02542,0.08361,0.02274,0.04348,0.03411,0.02408,0.06689,0.02341,0.06087
0.02074,0.03278,0.02207,0.03411,0.06421,0.04281,0.02609,0.05351,0.06488, 1.000,0.07759,0.03411,0.04615,0.02341,0.04950,0.02074,0.05284,0.04816,0.05485
0.02943,0.02074,0.04883,0.02943,0.03478,0.02876,0.02408,0.1137,0.02542,0.07759, 1.000,0.02408,0.04415,0.02140,0.02408,0.05084,0.01605,0.02876,0.02074
0.03010,0.03746,0.02542,0.04749,0.03545,0.02542,0.1418,0.03211,0.08361,0.03411,0.02408, 1.000,0.02475,0.03880,0.01472,0.01472,0.05418,0.02876,0.03077
0.06421,0.08294,0.03278,0.07023,0.1017,0.1458,0.04883,0.06288,0.02274,0.04615,0.04415,0.02475, 1.000,0.08161,0.04749,0.01806,0.03946,0.2067,0.06823
0.07425,0.1585,0.03010,0.05151,0.04950,0.08495,0.09298,0.03679,0.04348,0.02341,0.02140,0.03880,0.08161, 1.000,0.1197,0.01873,0.02408,0.09833,0.03411
0.08896,0.1244,0.08495,0.04482,0.04482,0.03278,0.05284,0.02542,0.03411,0.04950,0.02408,0.01472,0.04749,0.1197, 1.000,0.09498,0.02609,0.05753,0.05017
0.1017,0.05619,0.09900,0.09699,0.04950,0.02207,0.01204,0.03612,0.02408,0.02074,0.05084,0.01472,0.01806,0.01873,0.09498, 1.000,0.07291,0.02542,0.06689
0.08896,0.05418,0.04281,0.1498,0.1104,0.07358,0.02609,0.02876,0.06689,0.05284,0.01605,0.05418,0.03946,0.02408,0.02609,0.07291, 1.000,0.05485,0.1839
0.09632,0.1298,0.02475,0.1110,0.1619,0.1779,0.05418,0.02809,0.02341,0.04816,0.02876,0.02876,0.2067,0.09833,0.05753,0.02542,0.05485, 1.000,0.1445
0.1278,0.1144,0.03478,0.1806,0.1953,0.1411,0.04013,0.03344,0.06087,0.05485,0.02074,0.03077,0.06823,0.03411,0.05017,0.06689,0.1839,0.1445, 1.000
