Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2732,0.1678,0.1989,0.1373,0.1180,0.04708,0.02918,0.01790,0.03515,0.05305,0.04642,0.04178,0.06366,0.1200,0.1691,0.1313,0.07493,0.1618
0.2732, 1.000,0.08355,0.06167,0.1320,0.2626,0.08355,0.02918,0.02387,0.03912,0.05504,0.04045,0.06565,0.1134,0.1558,0.1187,0.07759,0.09947,0.1034
0.1678,0.08355, 1.000,0.1466,0.03846,0.03581,0.03050,0.05902,0.02387,0.04443,0.07692,0.03714,0.03448,0.03846,0.08355,0.1286,0.04907,0.04310,0.08223
0.1989,0.06167,0.1466, 1.000,0.09947,0.05040,0.02918,0.03448,0.03581,0.02454,0.05106,0.06565,0.06034,0.03846,0.06963,0.09085,0.1545,0.09814,0.2095
0.1373,0.1320,0.03846,0.09947, 1.000,0.2991,0.04310,0.04841,0.01923,0.03515,0.02851,0.07692,0.09881,0.07294,0.05305,0.06897,0.1419,0.1194,0.1943
0.1180,0.2626,0.03581,0.05040,0.2991, 1.000,0.06432,0.02719,0.02387,0.02653,0.02056,0.04310,0.1174,0.1174,0.07361,0.07029,0.07427,0.1525,0.1320
0.04708,0.08355,0.03050,0.02918,0.04310,0.06432, 1.000,0.03581,0.05504,0.04642,0.02188,0.06101,0.03382,0.1041,0.1088,0.04576,0.02984,0.04377,0.03316
0.02918,0.02918,0.05902,0.03448,0.04841,0.02719,0.03581, 1.000,0.02188,0.1260,0.04045,0.04178,0.04973,0.02188,0.04111,0.04509,0.02653,0.05305,0.02255
0.01790,0.02387,0.02387,0.03581,0.01923,0.02387,0.05504,0.02188, 1.000,0.04443,0.01790,0.04775,0.01459,0.01724,0.01393,0.02653,0.03050,0.01260,0.03448
0.03515,0.03912,0.04443,0.02454,0.03515,0.02653,0.04642,0.1260,0.04443, 1.000,0.03846,0.03515,0.02387,0.02520,0.02984,0.03515,0.02586,0.02454,0.02653
0.05305,0.05504,0.07692,0.05106,0.02851,0.02056,0.02188,0.04045,0.01790,0.03846, 1.000,0.01525,0.02056,0.02056,0.02719,0.07825,0.02785,0.01790,0.03780
0.04642,0.04045,0.03714,0.06565,0.07692,0.04310,0.06101,0.04178,0.04775,0.03515,0.01525, 1.000,0.02520,0.02984,0.01857,0.03912,0.1452,0.02851,0.04775
0.04178,0.06565,0.03448,0.06034,0.09881,0.1174,0.03382,0.04973,0.01459,0.02387,0.02056,0.02520, 1.000,0.1724,0.04443,0.02653,0.03117,0.2633,0.06565
0.06366,0.1134,0.03846,0.03846,0.07294,0.1174,0.1041,0.02188,0.01724,0.02520,0.02056,0.02984,0.1724, 1.000,0.1286,0.03846,0.02719,0.1897,0.06233
0.1200,0.1558,0.08355,0.06963,0.05305,0.07361,0.1088,0.04111,0.01393,0.02984,0.02719,0.01857,0.04443,0.1286, 1.000,0.1160,0.04244,0.09350,0.09151
0.1691,0.1187,0.1286,0.09085,0.06897,0.07029,0.04576,0.04509,0.02653,0.03515,0.07825,0.03912,0.02653,0.03846,0.1160, 1.000,0.1432,0.04377,0.1121
0.1313,0.07759,0.04907,0.1545,0.1419,0.07427,0.02984,0.02653,0.03050,0.02586,0.02785,0.1452,0.03117,0.02719,0.04244,0.1432, 1.000,0.05968,0.1320
0.07493,0.09947,0.04310,0.09814,0.1194,0.1525,0.04377,0.05305,0.01260,0.02454,0.01790,0.02851,0.2633,0.1897,0.09350,0.04377,0.05968, 1.000,0.1724
0.1618,0.1034,0.08223,0.2095,0.1943,0.1320,0.03316,0.02255,0.03448,0.02653,0.03780,0.04775,0.06565,0.06233,0.09151,0.1121,0.1320,0.1724, 1.000
