Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.4421,0.2466,0.3116,0.1293,0.1155,0.2195,0.04618,0.03510,0.02586,0.02401,0.04741,0.04341,0.07143,0.07020,0.1219,0.08097,0.08251,0.09883
0.4421, 1.000,0.1407,0.2300,0.1776,0.1961,0.4264,0.03448,0.03202,0.03356,0.02340,0.04803,0.05142,0.07728,0.06496,0.09452,0.07882,0.09914,0.09945
0.2466,0.1407, 1.000,0.1219,0.05265,0.05111,0.1151,0.1404,0.02432,0.03325,0.04249,0.03633,0.03233,0.05511,0.1025,0.1444,0.05881,0.05080,0.07235
0.3116,0.2300,0.1219, 1.000,0.2189,0.1490,0.1327,0.03879,0.04895,0.04064,0.02956,0.03510,0.04988,0.04280,0.03787,0.08898,0.1139,0.09113,0.1576
0.1293,0.1776,0.05265,0.2189, 1.000,0.3910,0.1222,0.03171,0.03541,0.08344,0.03972,0.03479,0.1050,0.03972,0.02525,0.04557,0.08836,0.1222,0.1232
0.1155,0.1961,0.05111,0.1490,0.3910, 1.000,0.1952,0.02802,0.02494,0.07143,0.04926,0.05450,0.1207,0.05881,0.03017,0.04711,0.06619,0.1327,0.09637
0.2195,0.4264,0.1151,0.1327,0.1222,0.1952, 1.000,0.03356,0.03448,0.03110,0.03233,0.05172,0.04095,0.09483,0.06773,0.07143,0.05450,0.08590,0.08651
0.04618,0.03448,0.1404,0.03879,0.03171,0.02802,0.03356, 1.000,0.03325,0.04341,0.04926,0.02740,0.03356,0.02802,0.06096,0.07389,0.04310,0.03264,0.03756
0.03510,0.03202,0.02432,0.04895,0.03541,0.02494,0.03448,0.03325, 1.000,0.06065,0.02432,0.03849,0.03633,0.03140,0.02494,0.03325,0.07482,0.03849,0.06804
0.02586,0.03356,0.03325,0.04064,0.08344,0.07143,0.03110,0.04341,0.06065, 1.000,0.06804,0.03110,0.07451,0.02494,0.03356,0.02894,0.05511,0.05511,0.06096
0.02401,0.02340,0.04249,0.02956,0.03972,0.04926,0.03233,0.04926,0.02432,0.06804, 1.000,0.03756,0.07420,0.03171,0.02956,0.03448,0.02863,0.05511,0.03356
0.04741,0.04803,0.03633,0.03510,0.03479,0.05450,0.05172,0.02740,0.03849,0.03110,0.03756, 1.000,0.03725,0.1173,0.06496,0.03171,0.02986,0.04587,0.02494
0.04341,0.05142,0.03233,0.04988,0.1050,0.1207,0.04095,0.03356,0.03633,0.07451,0.07420,0.03725, 1.000,0.07297,0.02802,0.02186,0.02371,0.1897,0.03233
0.07143,0.07728,0.05511,0.04280,0.03972,0.05881,0.09483,0.02802,0.03140,0.02494,0.03171,0.1173,0.07297, 1.000,0.05973,0.02863,0.02309,0.08405,0.03264
0.07020,0.06496,0.1025,0.03787,0.02525,0.03017,0.06773,0.06096,0.02494,0.03356,0.02956,0.06496,0.02802,0.05973, 1.000,0.07605,0.02740,0.03110,0.02956
0.1219,0.09452,0.1444,0.08898,0.04557,0.04711,0.07143,0.07389,0.03325,0.02894,0.03448,0.03171,0.02186,0.02863,0.07605, 1.000,0.09821,0.03264,0.08929
0.08097,0.07882,0.05881,0.1139,0.08836,0.06619,0.05450,0.04310,0.07482,0.05511,0.02863,0.02986,0.02371,0.02309,0.02740,0.09821, 1.000,0.03448,0.1820
0.08251,0.09914,0.05080,0.09113,0.1222,0.1327,0.08590,0.03264,0.03849,0.05511,0.05511,0.04587,0.1897,0.08405,0.03110,0.03264,0.03448, 1.000,0.08344
0.09883,0.09945,0.07235,0.1576,0.1232,0.09637,0.08651,0.03756,0.06804,0.06096,0.03356,0.02494,0.03233,0.03264,0.02956,0.08929,0.1820,0.08344, 1.000
